Symbol,aging_log2FC_kidney,aging_log2FC_muscle,same_direction
Amigo1,-0.472627,-0.593443,True
Arcn1,-0.281315,-0.417290,True
Arfgef1,-0.254022,-0.478948,True
Arhgap5,-0.294717,-0.353029,True
Arhgef11,-0.300263,-0.314724,True
Arhgef7,-0.621397,-0.329214,True
Arih1,-0.471927,-0.280263,True
Ark2n,-0.363211,-0.441228,True
Arl6ip5,0.522222,0.544143,True
Atp9a,0.194250,0.429694,True
Bax,0.559723,0.657336,True
Cenpa,0.812112,1.463108,True
Cert1,-0.656371,-0.317387,True
Cfl1,0.198321,0.488592,True
Cnbp,-0.225037,-0.293919,True
Coch,0.578501,-1.030473,False
Cog1,0.488796,0.374227,True
Crkl,-0.454048,-0.303214,True
Crybg3,0.467291,-1.024991,False
Ctnna1,0.390860,0.372079,True
Ctps1,0.547302,0.369135,True
Dbnl,0.424754,0.367767,True
Dcaf8,-0.475870,-0.234014,True
Dnajc13,-0.961231,-0.451092,True
Eef1a1,-0.329861,1.108651,False
Eif4ebp2,-0.505129,-0.473525,True
Esd,-0.412411,0.535992,False
Evl,0.645816,0.950869,True
Gde1,-0.233152,-0.372751,True
Ggt6,-0.538406,0.664793,False
Gng11,0.471718,0.442739,True
Gramd1a,0.523270,0.496090,True
Grap,0.586081,0.576456,True
Grpel2,-0.825037,-0.306496,True
Gtdc1,-0.610494,-0.458982,True
Gtf2i,-0.423529,-0.290915,True
Hcls1,0.646108,1.026456,True
Hipk3,-0.436626,-0.385507,True
Hspb1,0.831095,0.420330,True
Huwe1,-0.391545,-0.441687,True
Icmt,-0.341275,-0.252797,True
Kcmf1,-0.391949,-0.302519,True
Laptm5,0.800559,0.548843,True
Lbh,0.534940,1.152470,True
Lgmn,-0.553389,0.571385,False
Lmna,0.446508,0.671855,True
Lrp6,-0.509262,-0.366843,True
Ly6e,0.837499,0.657071,True
Lztfl1,-0.484313,0.427565,False
Maf,-1.036263,-0.777049,True
Maf1,-0.639492,-0.419231,True
Man2b1,-0.554787,0.396923,False
Map1a,0.704038,0.403758,True
Mcm6,0.518697,0.662332,True
Minpp1,-0.292693,0.420460,False
Mmgt1,-0.370946,-0.297838,True
Mtdh,-0.346926,-0.321180,True
Mxi1,-0.506510,-0.466282,True
Ncoa2,-0.738905,-0.291421,True
Ninj1,-0.325437,0.569992,False
Nsmce4a,-0.267378,0.264027,False
Pcbp2,-0.549096,-0.365594,True
Pdk2,-0.536190,-0.242227,True
Ppm1a,-0.389364,-0.379029,True
Ppp1r37,-0.328178,-0.256098,True
Prkacb,-0.333928,-0.326985,True
Pxdn,0.354883,0.787001,True
Rab13,0.628949,0.511044,True
Rab4a,-0.338360,-0.401232,True
Rnf126,-0.330515,-0.476613,True
Rtf1,-0.416869,-0.257090,True
Sae1,0.399329,0.506032,True
Sec24c,-0.572096,-0.287075,True
Slc9a2,-0.317479,-0.458570,True
Spag9,-0.635573,-0.236434,True
Ssr3,-0.513385,-0.395231,True
Stmn1,0.330197,1.451943,True
Tars2,-0.340007,0.406656,False
Tbc1d1,-0.194408,0.543574,False
Tgfb1,0.459643,1.367775,True
Tln2,-0.851692,-0.505599,True
Tmed7,-0.303167,-0.303135,True
Tmem158,0.794002,1.857244,True
Tmem267,-0.693540,-0.357391,True
Tnks2,-0.497900,-0.325066,True
Tppp3,0.721090,0.545955,True
Trp53inp2,0.468037,0.286316,True
Ttll1,0.415050,0.850275,True
Ubxn4,-0.358777,0.325226,False
Unc93b1,0.731780,0.597686,True
Usp21,-0.387373,-0.540494,True
Zfp1009,-0.529385,-0.349474,True
Zfp275,-0.421160,-0.416482,True
Zftraf1,-0.261525,-0.332647,True
Zmat3,0.949243,0.366888,True
