"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043254","regulation of protein-containing complex assembly","20/243","463/25615",0.0431965442764579,4.5534135046974,7.55117386382489,2.14997227423461e-08,0.000138114218896832,0.000138114218896832,"Actr3/Myd88/Hcls1/Psmc6/Cryab/Tgfb1/Stmn1/Cfl1/Mmp3/Evl/Dbnl/Tmsb4x/Map1b/Arhgef2/Trp53/Isg15/Cttn/Cotl1/Bax/Tppp3",20
"GO:1902903","regulation of supramolecular fiber organization","18/243","398/25615",0.0452261306532663,4.76735529499349,7.41303234045586,5.61734827430602e-08,0.000180429226570709,0.000180429226570709,"Tgfbr1/Actr3/Ckap2l/Hcls1/Cryab/Stmn1/Cfl2/Cfl1/Evl/Map1a/Dbnl/Tmsb4x/Map1b/Arhgef2/App/Cttn/Cotl1/Plekhh2",18
"GO:0001558","regulation of cell growth","18/243","443/25615",0.0406320541760722,4.28308669843658,6.82165640809037,2.75631397079167e-07,0.000590218698278856,0.000590218698278856,"Tgfbr1/Actr3/Trpv2/Rrad/Cryab/Tgfb1/Cgref1/Zmat3/Cyba/Cfl1/Dbnl/Tro/Mt3/Map1b/Jup/Trp53/Cttn/Igfbp7",18
"GO:0071404","cellular response to low-density lipoprotein particle stimulus","6/243","33/25615",0.181818181818182,19.1657313879536,10.2189694018435,6.12436228518436e-07,0.000853012213621046,0.000853012213621046,"Myd88/Cd68/Tgfb1/Itgb2/Srebf2/App",6
"GO:0055094","response to lipoprotein particle","6/243","34/25615",0.176470588235294,18.602033405955,10.0509712003739,7.37795069431984e-07,0.000853012213621046,0.000853012213621046,"Myd88/Cd68/Tgfb1/Itgb2/Srebf2/App",6
"GO:0007015","actin filament organization","18/243","482/25615",0.037344398340249,3.93652989088674,6.36942557562093,9.33670323438372e-07,0.000853012213621046,0.000853012213621046,"Tgfbr1/Actr3/Spire1/Hcls1/Arpc1a/Stmn1/Cfl2/Cfl1/Actc1/Myo1a/Evl/Tmsb10/Dbnl/Tmsb4x/Arhgef2/Cttn/Cotl1/Plekhh2",18
"GO:0010721","negative regulation of cell development","14/243","295/25615",0.0474576271186441,5.00258073516077,6.76680631733006,9.86339149582862e-07,0.000853012213621046,0.000853012213621046,"Actr3/Thoc5/Hlx/Tmem176a/Tgfb1/Tspo/Ctnna1/Tmem176b/C1qc/Cfl1/Hspb1/Id2/Mt3/Arhgef2",14
"GO:0010639","negative regulation of organelle organization","16/243","388/25615",0.0412371134020619,4.34686691273175,6.50108718492515,1.06228171061151e-06,0.000853012213621046,0.000853012213621046,"Ckap2l/Spc25/Fez1/Stmn1/Ctps1/Cfl1/Birc5/Evl/Map1a/Tmsb4x/Lmna/Map1b/Arhgef2/Trp53/Cdc20/Plekhh2",16
"GO:0072593","reactive oxygen species metabolic process","13/243","260/25615",0.05,5.27057613168724,6.77338595712243,1.35669915571353e-06,0.000968381708478188,0.000968381708478188,"Cryab/Tgfb1/Tspo/Itgb2/Cyba/Mmp3/Pxdn/Txn1/Ncf1/Ccn1/Mt3/Trp53/App",13
"GO:0045649","regulation of macrophage differentiation","5/243","22/25615",0.227272727272727,23.957164234942,10.5422538927537,1.70196806946528e-06,0.0010933442878245,0.0010933442878245,"Thoc5/Hcls1/Tgfb1/C1qc/Id2",5
