"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007264","small GTPase-mediated signal transduction","43/622","468/25615",0.0918803418803419,3.78378610492758,9.58827317332151,9.13566491300533e-14,5.86875114011463e-10,5.86875114011463e-10,"Dennd4b/Dag1/Bnip2/Ssx2ip/Arhgef7/Dennd1a/Nfix/Arhgef9/Rhoq/Crkl/Tiam1/Ppp2cb/Tgfb2/Rdx/Arhgef11/Rock2/Rabgef1/Arfgef1/Myoc/Cul3/Rasa4/Cdh13/Cdon/Arhgap20/Tnfaip1/Sos2/Fermt2/Ripor2/Syngap1/Icmt/Rab4a/Arrb1/Sipa1l1/Arhgef10l/Arhgap5/Cdc42ep3/Arl3/Ccdc88c/Ntn1/Fnta/Dab2ip/Wnt4/Plaat1",43
"GO:0007517","muscle organ development","36/622","381/25615",0.094488188976378,3.89118160872978,8.96952637861315,4.42128861192374e-12,1.4201179021499e-08,1.4201179021499e-08,"Dag1/Nfix/Stac3/Six1/Large1/Ppp3cb/Jph1/Tgfb2/Zbtb18/Dmd/Mapk14/Ppp3ca/Ark2n/Vamp5/Foxp2/Homer1/Cdon/Ripor2/Mylk2/Capn3/Lbx1/Foxo4/Twist1/Fkrp/Hlf/Ryr1/Casq1/Ttn/Rbfox1/Egln1/Unc45b/Asnsd1/Mbnl1/Rxra/Zfhx3/Jph2",36
"GO:0051056","regulation of small GTPase mediated signal transduction","28/622","263/25615",0.106463878326996,4.38436051984889,8.7030821245494,6.8991091915506e-11,1.47732924821737e-07,1.47732924821737e-07,"Dennd4b/Dag1/Bnip2/Ssx2ip/Dennd1a/Crkl/Ppp2cb/Tgfb2/Rdx/Rabgef1/Arfgef1/Myoc/Cul3/Rasa4/Cdon/Arhgap20/Tnfaip1/Sos2/Fermt2/Ripor2/Syngap1/Icmt/Arrb1/Sipa1l1/Arhgef10l/Fnta/Dab2ip/Wnt4",28
"GO:0060538","skeletal muscle organ development","25/622","225/25615",0.111111111111111,4.5757413361915,8.49866487142821,2.9333429074089e-10,4.71094870929869e-07,4.71094870929869e-07,"Dag1/Nfix/Stac3/Six1/Large1/Ppp3cb/Zbtb18/Dmd/Mapk14/Ppp3ca/Ark2n/Vamp5/Foxp2/Homer1/Cdon/Mylk2/Capn3/Twist1/Fkrp/Hlf/Ryr1/Casq1/Rbfox1/Asnsd1/Mbnl1",25
"GO:0007519","skeletal muscle tissue development","24/622","210/25615",0.114285714285714,4.70647680293983,8.50816756383329,3.73000156585239e-10,4.79230601180715e-07,4.79230601180715e-07,"Nfix/Stac3/Six1/Large1/Ppp3cb/Zbtb18/Dmd/Mapk14/Ppp3ca/Ark2n/Vamp5/Foxp2/Homer1/Cdon/Mylk2/Capn3/Twist1/Fkrp/Hlf/Ryr1/Casq1/Rbfox1/Asnsd1/Mbnl1",24
"GO:0000209","protein polyubiquitination","29/622","322/25615",0.0900621118012422,3.7089083501428,7.71696936321274,1.66977372716105e-09,1.7877710705471e-06,1.7877710705471e-06,"Spop/Aktip/Ube2d2a/Anapc5/Tab2/Zfp91/Fbxl17/Arih2/Cbfb/Marchf6/Cdc23/Huwe1/Rnf14/Ube2r2/Cul5/Cul3/Ube2e1/Zdhhc5/Ube2d1/Foxo4/Tnks2/Rnf170/Rnf126/Prkaa2/Ube2q2/Ube2e3/Ywhag/Kcmf1/Asb11",29
"GO:0070936","protein K48-linked ubiquitination","17/622","118/25615",0.144067796610169,5.93295274946864,8.47282268079542,4.10752142446485e-09,3.76953109010888e-06,3.76953109010888e-06,"Ube2d2a/Anapc5/Arih2/Marchf6/Cdc23/Huwe1/Ube2r2/Cul5/Cul3/Ube2e1/Ube2d1/Foxo4/Rnf170/Rnf126/Ube2q2/Ube2e3/Kcmf1",17
"GO:0006936","muscle contraction","31/622","386/25615",0.0803108808290155,3.30733635439748,7.20575087541785,7.20040685503959e-09,5.78192670459679e-06,5.78192670459679e-06,"Cert1/Calm3/Nos1/Kbtbd13/Stac3/Scn4b/Slc8a1/Tmod4/Large1/Srf/Synm/Rock2/Dmd/Comp/Ark2n/Scn4a/Homer1/Sgcd/Cacna2d1/Mylk2/Edn3/Clcn1/Fkrp/Dlg1/Ryr1/Casq1/Ttn/Map2k6/Grk2/Hsp90aa1/Akap9",31
"GO:0014706","striated muscle tissue development","35/622","490/25615",0.0714285714285714,2.94154800183739,6.84569959580876,1.58294938185678e-08,1.12987409211644e-05,1.12987409211644e-05,"Nfix/Stac3/Slc8a1/Six1/Large1/Ppp3cb/Tgfb2/Srf/Zbtb18/Dmd/Mapk14/Ppp3ca/Ark2n/Vamp5/Foxp2/Homer1/Sgcd/Cdon/Mylk2/Capn3/Twist1/Fkrp/Hlf/Kcnj11/Acvr1/Ryr1/Casq1/Ttn/Sorbs2/Rbfox1/Egln1/Asnsd1/Mbnl1/Rxra/Jph2",35
"GO:0006941","striated muscle contraction","23/622","239/25615",0.096234309623431,3.96308977653406,7.26033864541985,2.38178864390894e-08,1.53006102484711e-05,1.53006102484711e-05,"Calm3/Nos1/Kbtbd13/Stac3/Scn4b/Slc8a1/Large1/Synm/Dmd/Ark2n/Scn4a/Homer1/Sgcd/Cacna2d1/Mylk2/Dlg1/Ryr1/Casq1/Ttn/Map2k6/Grk2/Hsp90aa1/Akap9",23
