"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072593","reactive oxygen species metabolic process","32/635","260/25615",0.123076923076923,4.96474863718958,10.2447148135631,9.59622727282761e-14,6.16461640006446e-10,6.16461640006446e-10,"Thbs1/Aldh2/Lipa/Mmp3/Cryab/Cat/Nfe2l2/Tgfb1/Trp53/Akt1/Mb/Car3/Slc25a33/Cyp1b1/Ncf1/Txn1/Cyba/Ccn1/App/Tlr4/Mt3/Gadd45a/Gpx1/Pxdn/Prdx6/Ucp1/Ddit4/Ucp2/Tspo/Itgb2/Dcxr/Cdkn1a",32
"GO:0006941","striated muscle contraction","29/635","239/25615",0.121338912133891,4.89463973907027,9.6445952546878,2.00818708122064e-12,6.4502969048807e-09,6.4502969048807e-09,"Tnni1/Kcne5/Mybpc1/Actc1/Rgs2/Myh3/Ehd3/Myh8/Chrng/Chrnd/Mb/Car3/Tnnt1/Camk2d/Myl2/Atp1a3/Myl4/Atp2a2/Chrna1/Chga/Tnnt2/Gstm7/Chrnb1/Myh14/P2rx4/Scn5a/Csrp3/Tnnc1/Jup",29
"GO:0030239","myofibril assembly","17/635","79/25615",0.215189873417722,8.68045450014951,10.9006747045981,7.82676469880913e-12,1.67597121417166e-08,1.67597121417166e-08,"Myom3/Mybpc1/Actc1/Flnc/Cfl2/Pgm5/Tnnt1/Myl2/Myoz2/Adprhl1/Tnnt2/Prkar1a/Actn2/Krt8/Csrp3/Myh10/Lmod2",17
"GO:0006936","muscle contraction","36/635","386/25615",0.0932642487046632,3.76214760719677,8.71806023696474,1.16412364055739e-11,1.86958256673517e-08,1.86958256673517e-08,"Tnni1/Kcne5/Mybpc1/Actc1/Rgs2/Myh3/F2r/Ehd3/Myh8/Chrng/Chrnd/Mb/Car3/Tnnt1/Myh1/Camk2d/Myl2/Atp1a3/Myl4/Atp2a2/Chrna1/Cttn/Chga/Tnnt2/Gstm7/Chrnb1/Myh14/P2rx4/Gdnf/Actn2/Scn5a/Csrp3/Tnnc1/Lmod2/Tpm2/Jup",36
"GO:0055001","muscle cell development","28/635","247/25615",0.11336032388664,4.57279479741146,8.99586198122842,2.50699621083234e-11,3.22098873167739e-08,3.22098873167739e-08,"Myom3/Mybpc1/Actc1/Flnc/Rgs2/Ccnb1/Cfl2/Pgm5/Tnnt1/Myf6/Camk2d/Myl2/Myoz2/Adprhl1/Atp2a2/Tnnt2/Myof/Prkar1a/Chrnb1/Lmna/Uchl1/Actn2/Gpx1/Myog/Krt8/Csrp3/Myh10/Lmod2",28
"GO:0031032","actomyosin structure organization","26/635","223/25615",0.116591928251121,4.70315313724798,8.85533503262862,6.90818593213440e-11,7.3963644046719e-08,7.3963644046719e-08,"Myom3/Rhoc/Mybpc1/Actc1/Sorbs1/Flnc/Evl/Eln/Pdcd6ip/Cfl2/Pgm5/Tnnt1/Ect2/Myl2/Myoz2/Adprhl1/Stmn1/Tnnt2/Prkar1a/Myh14/Tgfbr1/Actn2/Krt8/Csrp3/Myh10/Lmod2",26
"GO:0007517","muscle organ development","34/635","381/25615",0.089238845144357,3.5997685328704,8.15142373302211,1.43861854009164e-10,1.254058493855e-07,1.254058493855e-07,"Tnni1/Ly6e/Mustn1/Col19a1/Myc/Nln/Actc1/Ankrd2/Rb1/Cryab/Tgfb1/Eln/Ankrd1/Cfl2/Ass1/Chrnd/Fhl1/Myf6/Myl2/Myoz2/Chrna1/Nras/Tnnt2/Smtnl1/Myh14/Tgfbr1/Lmna/Gpx1/Myog/Csrp3/Tnnc1/Mymk/Mymx/Hlx",34
"GO:2001233","regulation of apoptotic signaling pathway","37/635","444/25615",0.0833333333333333,3.36154855643045,8.00327017523304,1.56171667976961e-10,1.254058493855e-07,1.254058493855e-07,"Tnfrsf23/Myc/Trp63/Thbs1/Lgals3/Bbc3/Ankrd2/Rb1/Nfe2l2/Trp53/Akt1/Cth/Car3/Cd74/Tnfrsf22/Hspb1/Nol3/Cttn/Cx3cl1/Wfs1/Dapk2/Bax/App/Hmgb2/Inca1/Tgfbr1/Lmna/Tlr4/Gdnf/Gpx1/Maged1/Icam1/Hmox1/Jun/Ctnna1/Tnfrsf12a/Sh3rf1",37
"GO:0051146","striated muscle cell differentiation","35/635","406/25615",0.0862068965517241,3.47746402389357,8.0227251232066,1.97633704801371e-10,1.29507017944353e-07,1.29507017944353e-07,"Myom3/Mybpc1/Nln/Gdf15/Actc1/Flnc/Plekho1/Rgs2/Ankrd2/Ccnb1/Rb1/Tgfb1/Cfl2/Akt1/Pgm5/Tnnt1/Myf6/Camk2d/Myl2/Myoz2/Adprhl1/Tnnt2/Ptgfrn/Prkar1a/Lmna/Actn2/Gpx1/Myog/Krt8/Csrp3/Myh10/Igfn1/Mymk/Lmod2/Mymx",35
"GO:0031099","regeneration","26/635","234/25615",0.111111111111111,4.48206474190726,8.5313891848888,2.01598720336789e-10,1.29507017944353e-07,1.29507017944353e-07,"Mustn1/Ccnb1/Ninj1/Tgfb1/Ccna2/Gas6/Car3/Myf6/Abcb1b/Ccnd1/Ptgfrn/Slc7a5/Adh1/Map1b/Gpx1/Hmox1/Apod/Pnpt1/Jun/Ucp2/Tspo/Mymk/Ctnna1/Mymx/Cdkn1a/Kremen1",26
"GO:0001666","response to hypoxia","31/635","332/25615",0.0933734939759036,3.76655440660279,8.08953024609887,3.09179843816097e-10,1.80561028788601e-07,1.80561028788601e-07,"Myc/Adam8/Bbc3/Ccnb1/Eif4ebp1/Agtrap/E2f1/Cryab/Cat/Nfe2l2/Tgfb1/Ccna2/Trp53/Akt1/Mb/Car3/Slc2a1/Camk2d/Clca1/Ccnd1/Nol3/Slc29a1/Cyba/Aldh3a1/Lmna/Mt3/Hmox1/Jun/Egln3/Ddit4/Ucp2",31
"GO:0009410","response to xenobiotic stimulus","38/635","479/25615",0.0793319415448852,3.2001380829484,7.74995105164475,3.61622637060268e-10,1.93588651706263e-07,1.93588651706263e-07,"Igfbp2/Nceh1/Myc/Abcc8/Actc1/Aldh2/Lipa/Aacs/Ccnb1/Rb1/E2f1/Ncam1/Cat/Cyp2e1/Nfe2l2/Tgfb1/Ankrd1/Trp53/Gas6/Ass1/Guk1/Abcb1b/Atp1a3/Acer2/Ccnd1/Cyp1b1/Gstm7/Cyba/Smtnl1/Aldh3a1/Aox1/Map1b/Uchl1/Gpx1/Gsta3/Mcm7/Jun/Tspo",38
"GO:0043542","endothelial cell migration","26/635","243/25615",0.106995884773663,4.31606234405884,8.2809053480523,4.61444148258893e-10,2.28024400647318e-07,2.28024400647318e-07,"Adam8/Thbs1/Stat5a/Rab13/Adtrp/Nfe2l2/Tgfb1/Plk2/Akt1/Hspb1/Vash1/Cxcl13/Sparc/Cyp1b1/Lgmn/Ehd4/Tgfbr1/Tmsb4x/P2rx4/Micall1/Gadd45a/Gpx1/Hmox1/Rras/Itgb2/Jup",26
"GO:0003009","skeletal muscle contraction","13/635","54/25615",0.240740740740741,9.7111402741324,10.2167393820023,5.15555594759844e-10,2.36566367195517e-07,2.36566367195517e-07,"Tnni1/Myh3/Myh8/Chrng/Chrnd/Mb/Car3/Tnnt1/Chrna1/Gstm7/Chrnb1/Myh14/Tnnc1",13
"GO:0055002","striated muscle cell development","24/635","210/25615",0.114285714285714,4.61012373453318,8.37532142597651,5.63952686826868e-10,2.41522137345053e-07,2.41522137345053e-07,"Myom3/Mybpc1/Actc1/Flnc/Rgs2/Ccnb1/Cfl2/Pgm5/Tnnt1/Myf6/Camk2d/Myl2/Myoz2/Adprhl1/Tnnt2/Prkar1a/Lmna/Actn2/Gpx1/Myog/Krt8/Csrp3/Myh10/Lmod2",24
"GO:2000377","regulation of reactive oxygen species metabolic process","21/635","163/25615",0.128834355828221,5.19699531423603,8.57039182174831,7.48649323311371e-10,3.00582703309515e-07,3.00582703309515e-07,"Thbs1/Aldh2/Mmp3/Cryab/Nfe2l2/Tgfb1/Trp53/Akt1/Car3/Slc25a33/Cyp1b1/Cyba/App/Tlr4/Mt3/Gadd45a/Ucp1/Tspo/Itgb2/Dcxr/Cdkn1a",21
"GO:0036293","response to decreased oxygen levels","32/635","369/25615",0.0867208672086721,3.4981968717325,7.70677895105673,1.02996045336395e-09,3.89203879553529e-07,3.89203879553529e-07,"Myc/Adam8/Bbc3/Ccnb1/Eif4ebp1/Agtrap/E2f1/Cryab/Cat/Nfe2l2/Tgfb1/Ccna2/Trp53/Akt1/Mb/Car3/Slc2a1/Camk2d/Clca1/Ccnd1/Nol3/Slc29a1/Cyba/Aldh3a1/Lmna/Mt3/Hmox1/Jun/Egln3/Map1lc3a/Ddit4/Ucp2",32
"GO:0050881","musculoskeletal movement","14/635","69/25615",0.202898550724638,8.18463996348282,9.52790568139189,1.26494645529946e-09,4.51445334935761e-07,4.51445334935761e-07,"Tnni1/Myh3/Myh8/Chrng/Chrnd/Mb/Car3/Tnnt1/Chrna1/Gstm7/Chrnb1/Myh14/Tnnc1/Map1a",14
