"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046209","nitric oxide metabolic process","7/83","104/25615",0.0673076923076923,20.7721269694161,11.5197127497056,4.77857326476653e-08,0.000175166428328783,0.000175166428328783,"Cyp1b1/Ass1/Icam1/Akt1/Chrna9/Tlr4/Tlr5",7
"GO:2001057","reactive nitrogen species metabolic process","7/83","106/25615",0.0660377358490566,20.3802000454649,11.3998674644243,5.45350025930208e-08,0.000175166428328783,0.000175166428328783,"Cyp1b1/Ass1/Icam1/Akt1/Chrna9/Tlr4/Tlr5",7
"GO:0080164","regulation of nitric oxide metabolic process","6/83","86/25615",0.0697674418604651,21.531241244046,10.8738380589598,3.68242139641083e-07,0.000734440891110353,0.000734440891110353,"Ass1/Icam1/Akt1/Chrna9/Tlr4/Tlr5",6
"GO:0071675","regulation of mononuclear cell migration","7/83","148/25615",0.0472972972972973,14.5966297622924,9.45820159086985,5.36156700742694e-07,0.000734440891110353,0.000734440891110353,"Thbs1/Adam8/Gas6/Lgals3/Akt1/Cxcl13/Apod",7
"GO:0045429","positive regulation of nitric oxide biosynthetic process","5/83","52/25615",0.0961538461538462,29.6744670991659,11.8012075434576,7.29065547794295e-07,0.000734440891110353,0.000734440891110353,"Ass1/Icam1/Akt1/Tlr4/Tlr5",5
"GO:0006809","nitric oxide biosynthetic process","6/83","97/25615",0.0618556701030928,19.0895540926593,10.1771398657585,7.52348940255759e-07,0.000734440891110353,0.000734440891110353,"Cyp1b1/Ass1/Icam1/Akt1/Tlr4/Tlr5",6
"GO:0071674","mononuclear cell migration","8/83","229/25615",0.0349344978165939,10.7812911032777,8.47719392939232,8.00293623563585e-07,0.000734440891110353,0.000734440891110353,"Thbs1/Adam8/Gas6/Lgals3/Icam1/Akt1/Cxcl13/Apod",8
"GO:0002685","regulation of leukocyte migration","8/83","242/25615",0.0330578512396694,10.2021308373992,8.20059771779287,1.21138937086106e-06,0.000972745664801432,0.000972745664801432,"Thbs1/Adam8/Gas6/Lgals3/Icam1/Akt1/Cxcl13/Apod",8
"GO:0072676","lymphocyte migration","6/83","111/25615",0.0540540540540541,16.681862585477,9.44039822171364,1.66284698356223e-06,0.00118690322471153,0.00118690322471153,"Adam8/Gas6/Icam1/Akt1/Cxcl13/Apod",6
"GO:0009267","cellular response to starvation","7/83","203/25615",0.0344827586206897,10.6418778562526,7.86367492629372,4.41615655525142e-06,0.00283693897109351,0.00283693897109351,"Gas6/Slc2a1/Ctsl/Akt1/Slc7a5/Plin3/Map1lc3a",7
"GO:0071466","cellular response to xenobiotic stimulus","7/83","214/25615",0.0327102803738318,10.0948654430807,7.61751097254768,6.24349857860212e-06,0.00302299933830156,0.00302299933830156,"Gas6/Cyp1b1/Cyp2e1/Acer2/Aldh2/Gsta3/Gstm7",7
"GO:0015911","long-chain fatty acid import across plasma membrane","3/83","12/25615",0.25,77.1536144578313,15.0442674941446,7.06650532357059e-06,0.00302299933830156,0.00302299933830156,"Thbs1/Slc2a1/Akt1",3
"GO:0099541","trans-synaptic signaling by lipid","3/83","12/25615",0.25,77.1536144578313,15.0442674941446,7.06650532357059e-06,0.00302299933830156,0.00302299933830156,"Abhd6/F2r/Fabp5",3
"GO:0099542","trans-synaptic signaling by endocannabinoid","3/83","12/25615",0.25,77.1536144578313,15.0442674941446,7.06650532357059e-06,0.00302299933830156,0.00302299933830156,"Abhd6/F2r/Fabp5",3
"GO:0034763","negative regulation of transmembrane transport","6/83","144/25615",0.0416666666666667,12.8589357429719,8.13653121478422,7.5172550392038e-06,0.00302299933830156,0.00302299933830156,"Kcne5/Thbs1/Ank3/Fabp5/Akt1/Slc43a2",6
"GO:0045428","regulation of nitric oxide biosynthetic process","5/83","83/25615",0.0602409638554217,18.5912323994774,9.15225739059829,7.52926360722679e-06,0.00302299933830156,0.00302299933830156,"Ass1/Icam1/Akt1/Tlr4/Tlr5",5
"GO:0007162","negative regulation of cell adhesion","8/83","327/25615",0.0244648318042813,7.55020080321285,6.7968326938772,1.11227868653637e-05,0.00420310487194683,0.00420310487194683,"Thbs1/Adam8/Cyp1b1/Lgals3/Ass1/Akt1/Acer2/Apod",8
"GO:0043542","endothelial cell migration","7/83","243/25615",0.0288065843621399,8.89012841489414,7.04604135630121,1.4265266773521e-05,0.0050911152085055,0.0050911152085055,"Thbs1/Adam8/Cyp1b1/Plk2/Akt1/Cxcl13/Micall1",7
"GO:0042594","response to starvation","7/83","246/25615",0.0284552845528455,8.78171221471251,6.99240179782777,1.54407229552256e-05,0.00521904044443465,0.00521904044443465,"Gas6/Slc2a1/Ctsl/Akt1/Slc7a5/Plin3/Map1lc3a",7
"GO:0002687","positive regulation of leukocyte migration","6/83","166/25615",0.036144578313253,11.1547394396865,7.48381078148427,1.69083213492079e-05,0.00521904044443465,0.00521904044443465,"Thbs1/Adam8/Gas6/Lgals3/Icam1/Cxcl13",6
