"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"1","5.39","GOTERM_BP_DIRECT","organic anion transport","10","303","35","26481","3.08","1.58e-10","2.93e-7","24.97","2.93e-7","2.91e-7","4.73e-12","SLC22A12,SLC22A6,SLCO3A1,SLC22A28,SLC22A2,SLCO1A1,SLCO4C1,SLC22A30,SLC22A7,SLC17A3"
"1","5.39","GOTERM_MF_DIRECT","transmembrane transporter activity","20","312","231","24402","6.15","1.58e-10","1.09e-7","6.77","1.09e-7","1.07e-7","2.16e-11","SLC15A1,SLC22A6,SLC44A4,SLC22A2,SLC7A15,SLC7A13,SLC7A12,SLC16A13,SLC22A12,MFSD4A,SV2C,SLCO3A1,SLC22A28,SLCO1A1,SLCO4C1,SLCO2A1,SLC22A30,SLC22A7,SLC17A2,SLC17A3"
"1","5.39","GOTERM_BP_DIRECT","transmembrane transport","28","303","574","26481","8.62","6.34e-10","5.89e-7","4.26","1.18e-6","5.84e-7","1.42e-10","SLC22A6,SLC44A4,CATSPER4,SLC22A2,SLC7A15,SLC7A13,SLC7A12,C8A,SLC22A12,MFSD4A,SV2C,SCN7A,SLC25A42,SLC22A30,SLC17A2,SLC17A3,SLC15A1,TMCO3,SLC16A13,GJB2,SLCO3A1,GJB4,SLC22A28,SLCO1A1,SLCO4C1,SLCO2A1,CDH17,SLC22A7"
"1","5.39","INTERPRO","MFS_trans_sf","16","312","146","22338","4.92","2.10e-9","2.19e-6","7.85","2.19e-6","2.17e-6","2.42e-10","SLC15A1,SLC22A6,SLC22A2,SLC16A13,SLC22A12,MFSD4A,SV2C,SLCO3A1,SLC22A28,SLCO1A1,SLCO4C1,SLCO2A1,SLC22A30,SLC22A7,SLC17A2,SLC17A3"
"1","5.39","GOTERM_MF_DIRECT","secondary active transmembrane transporter activity","9","312","32","24402","2.77","5.13e-9","1.76e-6","22.00","3.53e-6","1.73e-6","1.76e-10","SLC22A6,SLCO3A1,SLC22A28,SLCO1A1,SLCO4C1,SLCO2A1,SLC25A42,SLC22A30,SLC22A7"
"1","5.39","INTERPRO","MFS_dom","13","312","97","22338","4.00","1.06e-8","5.55e-6","9.60","1.11e-5","5.49e-6","9.78e-10","SLC22A6,SLC22A2,SLC16A13,SLC22A12,SV2C,SLCO3A1,SLC22A28,SLCO1A1,SLCO4C1,SLCO2A1,SLC22A30,SLC22A7,SLC17A2"
"1","5.39","GOTERM_BP_DIRECT","sodium-independent organic anion transport","6","303","21","26481","1.85","3.27e-6","1.22e-3","24.97","6.06e-3","1.20e-3","1.00e-7","SLC22A6,SLCO3A1,SLCO1A1,SLCO4C1,SLCO2A1,SLC22A7"
"1","5.39","GOTERM_BP_DIRECT","prostaglandin transport","5","303","12","26481","1.54","7.64e-6","2.30e-3","36.42","1.41e-2","2.28e-3","1.41e-7","SLC22A6,SLCO3A1,SLC22A2,SLCO2A1,SLC22A7"
"1","5.39","GOTERM_MF_DIRECT","prostaglandin transmembrane transporter activity","5","312","11","24402","1.54","7.96e-6","1.83e-3","35.55","5.46e-3","1.79e-3","1.44e-7","SLC22A6,SLCO3A1,SLC22A2,SLCO2A1,SLC22A7"
"1","5.39","UP_SEQ_FEATURE","DOMAIN:Major facilitator superfamily (MFS) profile","8","304","64","22331","2.46","2.53e-5","1.22e-2","9.18","2.40e-2","1.21e-2","2.46e-6","SLC22A12,SV2C,SLCO3A1,SLC22A28,SLCO1A1,SLCO2A1,SLC22A30,SLC22A7"
"1","5.39","INTERPRO","MFS","8","312","69","22338","2.46","4.88e-5","1.70e-2","8.30","4.96e-2","1.68e-2","5.28e-6","MFSD4A,SV2C,SLC22A28,SLC22A30,SLC22A7,SLC17A2,SLC17A3,SLC16A13"
"1","5.39","GOTERM_CC_DIRECT","basal plasma membrane","8","310","83","26676","2.46","5.11e-5","3.87e-3","8.29","1.53e-2","3.73e-3","5.63e-6","SLC22A6,ACE,SLCO3A1,SLC22A2,SLCO1A1,SLCO2A1,SLC7A12,SLC22A7"
