"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"1","3.47","UP_KW_BIOLOGICAL_PROCESS","Cell division","13","97","398","11926","7.26","8.02e-5","2.51e-3","4.02","4.88e-3","2.43e-3","1.92e-5","HELLS,CDCA2,PLK1,CDC7,CDC25C,PIMREG,AURKB,CKS1B,CCNB1,CCNE1,TACC3,KNTC1,CEP55"
"1","3.47","UP_KW_BIOLOGICAL_PROCESS","Cell cycle","17","97","671","11926","9.50","8.22e-5","2.51e-3","3.11","5.00e-3","2.43e-3","2.55e-5","HELLS,CDCA2,CDKN2A,PLK1,TRP63,CDC7,CDC25C,FOXM1,PIMREG,AURKB,CKS1B,CCNB1,CCNE1,SPIN2C,TACC3,KNTC1,CEP55"
"1","3.47","GOTERM_BP_DIRECT","cell division","11","168","377","26481","6.15","1.48e-4","5.70e-2","4.60","1.57e-1","5.69e-2","3.10e-5","HELLS,CCNB1,CDCA2,CCNE1,PLK1,TACC3,CDC7,KNTC1,CDC25C,PIMREG,CKS1B"
"1","3.47","KEGG_PATHWAY","Cell cycle","8","84","157","11151","4.47","1.63e-4","3.02e-2","6.76","2.98e-2","3.02e-2","2.28e-5","CCNB1,CDKN2A,CCNE1,PLK1,CDC7,TRIP13,CDC25C,AURKB"
"1","3.47","UP_KW_BIOLOGICAL_PROCESS","Mitosis","10","97","285","11926","5.59","4.72e-4","9.59e-3","4.31","2.84e-2","9.27e-3","1.04e-4","HELLS,CCNB1,CDCA2,PLK1,TACC3,KNTC1,CDC25C,PIMREG,CEP55,AURKB"
"1","3.47","GOTERM_CC_DIRECT","spindle pole","5","171","160","26676","2.79","1.94e-2","4.90e-1","4.88","9.96e-1","4.84e-1","3.77e-3","CCNB1,PLK1,TACC3,KNTC1,AURKB"
"2","2.65","GOTERM_MF_DIRECT","extracellular matrix structural constituent","7","165","101","24402","3.91","6.29e-5","1.13e-2","10.25","2.24e-2","1.13e-2","5.74e-6","FBN2,MFAP4,POSTN,COL3A1,SRPX2,DPT,FBLN1"
"2","2.65","GOTERM_CC_DIRECT","extracellular matrix","12","171","445","26676","6.70","1.41e-4","1.76e-2","4.21","3.84e-2","1.74e-2","3.23e-5","FBN2,MFAP4,SMOC2,POSTN,CLEC3B,COL3A1,SRPX2,TNN,F13A1,DPT,GPC2,FBLN1"
"2","2.65","UP_KW_CELLULAR_COMPONENT","Extracellular matrix","8","154","266","19217","4.47","5.51e-3","8.90e-2","3.75","1.67e-1","8.90e-2","1.39e-3","FBN2,MFAP4,SMOC2,POSTN,COL3A1,TNN,DPT,FBLN1"
"2","2.65","KEGG_PATHWAY","Cytoskeleton in muscle cells","3","84","233","11151","1.68","5.21e-1","1.00e+0","1.71","1.00e+0","1.00e+0","2.56e-1","FBN2,COL3A1,FBLN1"
"3","2.43","KEGG_PATHWAY","Cell cycle","8","84","157","11151","4.47","1.63e-4","3.02e-2","6.76","2.98e-2","3.02e-2","2.28e-5","CCNB1,CDKN2A,CCNE1,PLK1,CDC7,TRIP13,CDC25C,AURKB"
"3","2.43","GOTERM_MF_DIRECT","protein kinase binding","11","165","564","24402","6.15","4.95e-3","4.45e-1","2.88","8.32e-1","4.45e-1","1.64e-3","GRIA2,CCNB1,STING1,CDKN2A,CCNE1,PLK1,THY1,CDC25C,FOXM1,LAT,CKS1B"
"3","2.43","KEGG_PATHWAY","Oocyte meiosis","4","84","123","11151","2.23","6.37e-2","1.00e+0","4.32","1.00e+0","1.00e+0","1.38e-2","CCNB1,CCNE1,PLK1,CDC25C"
"4","2.33","UP_KW_DOMAIN","Signal","56","116","4790","15097","31.28","2.19e-4","3.94e-3","1.52","3.93e-3","3.94e-3","1.41e-4","CD86,ACHE,HHIP,PIGZ,TNN,LRAT,CPXM1,FCRL2,POSTN,6820408C15RIK,PDE4D,CACNA2D2,CD8B1,MUP7,ANK1,PRODH2,PDGFRL,FCGR1,RDH16F2,SFRP4,GREM2,TYRO3,CDHR4,DSCAML1,PAPPA2,FBN2,GRIA2,LYPD2,DPT,FBLN1,THY1,KLK8,IGKV2-137,CLEC3B,CLMP,CALCR,SRPX2,SCUBE1,SLITRK4,RDH16,GPC2,LY6G6D,GABRP,IGKV8-24,NEGR1,PCDHGC4,IGKV3-4,SHISAL1,MFAP4,SMOC2,SDK1,COL3A1,MANSC4,CNTN1,CD247,LAT"
