"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"1","6.47","KEGG_PATHWAY","Cytoskeleton in muscle cells","21","157","233","10620","6.84","1.77e-10","4.21e-8","6.10","4.21e-8","4.08e-8","2.67e-11","COL24A1,ACTN2,TNNC1,FHL1,ATP1A3,AMPD3,LMOD2,MYOM3,MYL4,CSRP3,ACTC1,MYH3,TNNT1,COL4A1,TNNT2,MYL2,TNNI1,ANKRD1,MYH8,ANKRD2,MYOZ2"
"1","6.47","UP_KW_MOLECULAR_FUNCTION","Muscle protein","12","182","63","12802","3.91","1.08e-9","8.33e-8","13.40","8.33e-8","8.01e-8","6.73e-11","MYL4,ACTC1,MYH3,MUSK,TNNT1,MB,MYL2,TNNC1,TNNT2,TNNI1,MYH8,SMTNL1"
"1","6.47","GOTERM_BP_DIRECT","cardiac muscle contraction","9","287","51","26568","2.93","6.97e-8","6.68e-5","16.34","1.34e-4","6.63e-5","3.61e-9","MYL4,CSRP3,ACTC1,MYL2,TNNC1,TNNT2,TNNI1,ATP1A3,SCN5A"
"1","6.47","KEGG_PATHWAY","Motor proteins","13","157","198","10620","4.23","3.40e-5","4.05e-3","4.44","8.06e-3","3.93e-3","7.17e-6","TNNC1,KIF11,MYL12A,MYL4,TUBB6,ACTC1,MYH3,MYO1A,TNNT1,TNNT2,MYL2,TNNI1,MYH8"
"1","6.47","KEGG_PATHWAY","Cardiac muscle contraction","6","157","89","10620","1.95","9.90e-3","1.96e-1","4.56","9.06e-1","1.91e-1","2.01e-3","MYL4,ACTC1,MYL2,TNNC1,TNNT2,ATP1A3"
"2","3.20","GOTERM_MF_DIRECT","actin filament binding","12","277","225","24521","3.91","5.29e-5","9.08e-3","4.72","2.69e-2","8.85e-3","1.05e-5","MYL4,MYH3,ACTN2,MYO1A,TNNC1,AVIL,MICALL2,FSCN1,MYH8,SHROOM3,HCLS1,AIF1L"
"2","3.20","GOTERM_MF_DIRECT","actin binding","14","277","411","24521","4.56","8.41e-4","5.52e-2","3.02","3.52e-1","5.38e-2","2.65e-4","ACTN2,AVIL,SHROOM3,AIF1L,LMOD2,CSRP3,MYH3,MYO1A,TNNT2,MAP1B,TNNI1,FSCN1,MYH8,MYOZ2"
"2","3.20","UP_KW_MOLECULAR_FUNCTION","Actin-binding","11","182","275","12802","3.58","5.75e-3","8.85e-2","2.81","3.58e-1","8.51e-2","1.92e-3","CSRP3,MYH3,ACTN2,MYO1A,AVIL,TNNI1,FSCN1,MYH8,SHROOM3,AIF1L,LMOD2"
"3","3.15","GOTERM_CC_DIRECT","troponin complex","4","289","8","27008","1.30","6.46e-5","2.58e-3","46.73","2.04e-2","2.31e-3","8.69e-7","TNNT1,TNNC1,TNNT2,TNNI1"
"3","3.15","INTERPRO","Troponin","3","285","6","22313","0.98","2.34e-3","1.89e-1","39.15","8.97e-1","1.89e-1","4.01e-5","TNNT1,TNNT2,TNNI1"
