"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"1","2.74","UP_KW_CELLULAR_COMPONENT","Microtubule","7","51","290","19181","11.67","1.03e-4","2.58e-3","9.08","2.57e-3","2.47e-3","1.10e-5","MAP1B,FEZ1,TEKT1,STMN1,BIRC5,ARHGEF2,GTSE1"
"1","2.74","GOTERM_CC_DIRECT","microtubule","7","57","375","27008","11.67","1.24e-4","9.02e-3","8.84","1.79e-2","8.90e-3","1.37e-5","MAP1B,FEZ1,TEKT1,STMN1,BIRC5,ARHGEF2,GTSE1"
"1","2.74","GOTERM_CC_DIRECT","microtubule cytoskeleton","6","57","287","27008","10.00","3.21e-4","1.55e-2","9.91","4.55e-2","1.53e-2","3.15e-5","CCNB2,CKAP2L,MAP1B,TEKT1,BIRC5,GTSE1"
"1","2.74","GOTERM_CC_DIRECT","cytoskeleton","11","57","1512","27008","18.33","9.87e-4","3.41e-2","3.45","1.33e-1","3.37e-2","2.78e-4","ACTC1,CKAP2L,MAP1B,FEZ1,TEKT1,STMN1,BIRC5,PGM5,ARHGEF2,GTSE1,DLGAP5"
"1","2.74","GOTERM_MF_DIRECT","microtubule binding","5","51","273","24521","8.33","2.32e-3","1.48e-1","8.81","2.57e-1","1.48e-1","2.55e-4","MAP1B,BIRC5,ARHGEF2,GTSE1,DLGAP5"
"1","2.74","UP_KW_CELLULAR_COMPONENT","Cytoskeleton","11","51","1392","19181","18.33","2.78e-3","3.47e-2","2.97","6.72e-2","3.33e-2","9.03e-4","ACTC1,CKAP2L,MAP1B,FEZ1,TEKT1,STMN1,BIRC5,PGM5,ARHGEF2,GTSE1,DLGAP5"
"1","2.74","UP_KW_CELLULAR_COMPONENT","Cytoplasm","24","51","5614","19181","40.00","8.90e-3","7.41e-2","1.61","2.00e-1","7.12e-2","5.37e-3","RAP1GAP2,CARMIL3,CKAP2L,NTAQ1,ARFGAP3,IGFN1,SH3RF1,NFKB2,EEF1A1,SERPINB1A,ALDH3A1,LBH,ACTC1,NEURL3,FEZ1,MAP1B,TEKT1,STMN1,BIRC5,PGM5,ARHGEF2,GTSE1,DLGAP5,SH3D19"
"1","2.74","GOTERM_CC_DIRECT","cell projection","4","57","1371","27008","6.67","5.46e-1","1.00e+0","1.38","1.00e+0","9.93e-1","3.28e-1","MAP1B,FEZ1,TEKT1,SH3RF1"
"2","2.28","GOTERM_BP_DIRECT","mitotic spindle organization","4","54","52","26568","6.67","1.55e-4","7.64e-2","37.85","7.35e-2","7.64e-2","3.84e-6","STMN1,BIRC5,DLGAP5,SPC25"
"2","2.28","GOTERM_BP_DIRECT","chromosome segregation","3","54","113","26568","5.00","2.15e-2","9.64e-1","13.06","1.00e+0","9.64e-1","1.59e-3","BIRC5,DLGAP5,SPC25"
"2","2.28","UP_KW_BIOLOGICAL_PROCESS","Cell cycle","5","25","669","11883","8.33","4.31e-2","4.16e-1","3.55","7.09e-1","4.16e-1","1.16e-2","CCNB2,BIRC5,ARHGEF2,DLGAP5,SPC25"
"3","1.79","UP_KW_DOMAIN","SH3 domain","4","37","212","15070","6.67","1.39e-2","1.67e-1","7.68","1.55e-1","1.67e-1","1.75e-3","HCLS1,OTOR,SH3RF1,SH3D19"
"3","1.79","UP_SEQ_FEATURE","DOMAIN:SH3","4","56","212","22290","6.67","1.55e-2","9.16e-1","7.51","9.74e-1","9.16e-1","1.98e-3","HCLS1,OTOR,SH3RF1,SH3D19"
"3","1.79","INTERPRO","SH3-like_dom_sf","4","57","213","22313","6.67","1.64e-2","1.00e+0","7.35","9.84e-1","1.00e+0","2.15e-3","HCLS1,OTOR,SH3RF1,SH3D19"
"3","1.79","INTERPRO","SH3_domain","4","57","221","22313","6.67","1.81e-2","1.00e+0","7.09","9.90e-1","1.00e+0","2.45e-3","HCLS1,OTOR,SH3RF1,SH3D19"
"3","1.79","SMART","SH3","4","32","199","10952","6.67","1.83e-2","6.67e-1","6.88","5.48e-1","6.67e-1","2.55e-3","HCLS1,OTOR,SH3RF1,SH3D19"
"4","1.69","GOTERM_MF_DIRECT","microtubule binding","5","51","273","24521","8.33","2.32e-3","1.48e-1","8.81","2.57e-1","1.48e-1","2.55e-4","MAP1B,BIRC5,ARHGEF2,GTSE1,DLGAP5"
"4","1.69","UP_KW_BIOLOGICAL_PROCESS","Cell cycle","5","25","669","11883","8.33","4.31e-2","4.16e-1","3.55","7.09e-1","4.16e-1","1.16e-2","CCNB2,BIRC5,ARHGEF2,DLGAP5,SPC25"
"4","1.69","GOTERM_CC_DIRECT","spindle","3","57","236","27008","5.00","8.61e-2","8.33e-1","6.02","1.00e+0","8.21e-1","1.36e-2","BIRC5,ARHGEF2,DLGAP5"
"5","1.44","UP_KW_BIOLOGICAL_PROCESS","Mitosis","4","25","285","11883","6.67","1.90e-2","4.16e-1","6.67","4.16e-1","4.16e-1","2.75e-3","CCNB2,BIRC5,ARHGEF2,SPC25"
"5","1.44","UP_KW_BIOLOGICAL_PROCESS","Cell cycle","5","25","669","11883","8.33","4.31e-2","4.16e-1","3.55","7.09e-1","4.16e-1","1.16e-2","CCNB2,BIRC5,ARHGEF2,DLGAP5,SPC25"
"5","1.44","UP_KW_BIOLOGICAL_PROCESS","Cell division","4","25","397","11883","6.67","4.46e-2","4.16e-1","4.79","7.21e-1","4.16e-1","8.90e-3","CCNB2,BIRC5,ARHGEF2,SPC25"
"5","1.44","GOTERM_BP_DIRECT","cell division","4","54","412","26568","6.67","4.91e-2","1.00e+0","4.78","1.00e+0","1.00e+0","9.79e-3","CCNB2,BIRC5,ARHGEF2,SPC25"
"6","1.23","GOTERM_BP_DIRECT","cellular response to growth factor stimulus","3","54","85","26568","5.00","1.25e-2","9.64e-1","17.36","9.98e-1","9.64e-1","6.97e-4","TGFB1,MAP1B,FEZ1"
"6","1.23","GOTERM_CC_DIRECT","neuronal cell body","5","57","667","27008","8.33","4.94e-2","6.35e-1","3.55","9.99e-1","6.27e-1","1.32e-2","TGFB1,MYO1A,MAP1B,FEZ1,ARHGEF2"
"6","1.23","GOTERM_CC_DIRECT","axon","3","57","554","27008","5.00","3.19e-1","1.00e+0","2.57","1.00e+0","9.93e-1","1.12e-1","TGFB1,MAP1B,FEZ1"
