"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"TAL-1","PT-1","Egf","Egfr",0.176649205446664,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","PT-1","Egf","Egfr",0.145761979057957,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"EC-1(gEC)","PT-1","Egf","Egfr",0.0539762051502151,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-2","PT-1","Egf","Egfr",0.0967288711073366,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","PT-1","Egf","Egfr",0.0869982703991556,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC","PT-1","Egf","Egfr",0.100075906359144,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"IMM","PT-1","Egf","Egfr",0.0716193546886994,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","TAL-1","Egf","Egfr",0.0424194033555675,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","TAL-1","Egf","Egfr",0.0340322319895366,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","PC_CNT","Egf","Egfr",0.0936648821454462,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","PC_CNT","Egf","Egfr",0.0759490717241248,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-2","PC_CNT","Egf","Egfr",0.0490519187496955,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","PC_CNT","Egf","Egfr",0.0438844445561081,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"IMM","PC_CNT","Egf","Egfr",0.0358277994827085,0.01,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","TAL-2","Egf","Egfr",0.0428155100267515,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","TAL-2","Egf","Egfr",0.0343528300225046,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","FIB","Egf","Egfr",0.0419128564761329,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","FIB","Egf","Egfr",0.0336223230418114,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","Undef","Egf","Egfr",0.158348789745962,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","Undef","Egf","Egfr",0.130155571043734,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"EC-1(gEC)","Undef","Egf","Egfr",0.0476489327058982,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-2","Undef","Egf","Egfr",0.0858447544152397,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","Undef","Egf","Egfr",0.0771155832865238,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC","Undef","Egf","Egfr",0.0888522214181809,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"IMM","Undef","Egf","Egfr",0.0633624152576923,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","PT-2","Egf","Egfr",0.141511936640236,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","PT-2","Egf","Egfr",0.115903621138726,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"EC-1(gEC)","PT-2","Egf","Egfr",0.0419952326926679,0.02,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-2","PT-2","Egf","Egfr",0.0760207649688977,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","PT-2","Egf","Egfr",0.0682160074831732,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
