"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"ATL","PODO","Wnt5a","Fzd2",0.00468757327290375,0,"WNT5A_FZD2","Wnt5a  - Fzd2","ncWNT","Secreted Signaling","KEGG: mmu04310"
"PECs?","PODO","Wnt5a","Fzd2",0.00306789143847707,0,"WNT5A_FZD2","Wnt5a  - Fzd2","ncWNT","Secreted Signaling","KEGG: mmu04310"
"TAL-1","PT-1","Egf","Egfr",0.158946761500952,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","PT-1","Egf","Egfr",0.121001246030847,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-2","PT-1","Egf","Egfr",0.0347443523570189,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"FIB","PT-1","Egf","Egfr",0.0207492417081827,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","PT-1","Egf","Egfr",0.064210011163523,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"vSMC/MC","PT-1","Egf","Egfr",0.0365609076631091,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"IMM","PT-1","Egf","Egfr",0.0408726355125644,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","TAL-1","Egf","Egfr",0.0228509823086417,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","TAL-1","Egf","Egfr",0.0167487336269884,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","DCT/CNT","Egf","Egfr",0.0479216886295927,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","DCT/CNT","Egf","Egfr",0.0353667423805376,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","DCT/CNT","Egf","Egfr",0.0179469455920079,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","PC_CNT","Egf","Egfr",0.129317022104693,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","PC_CNT","Egf","Egfr",0.0976239930823916,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-2","PC_CNT","Egf","Egfr",0.0275102382865754,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"FIB","PC_CNT","Egf","Egfr",0.016379599767203,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","PC_CNT","Egf","Egfr",0.0511660634578612,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"vSMC/MC","PC_CNT","Egf","Egfr",0.0289599166244081,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"IMM","PC_CNT","Egf","Egfr",0.0324053895210549,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","TAL-2","Egf","Egfr",0.0363607336305262,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","TAL-2","Egf","Egfr",0.0267495301262489,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","FIB","Egf","Egfr",0.0411544714524055,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","FIB","Egf","Egfr",0.0303160067185546,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","IC-B","Egf","Egfr",0.0240546790704358,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","IC-B","Egf","Egfr",0.0176367905347089,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","Undef","Egf","Egfr",0.160227839274672,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","Undef","Egf","Egfr",0.122020861413383,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-2","Undef","Egf","Egfr",0.0350661212933503,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"FIB","Undef","Egf","Egfr",0.0209442136009417,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","Undef","Egf","Egfr",0.0647863473958185,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"vSMC/MC","Undef","Egf","Egfr",0.0368988566951475,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"IMM","Undef","Egf","Egfr",0.0412487334333855,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","IC-A","Egf","Egfr",0.0181879039884832,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","PT-2","Egf","Egfr",0.114634210512334,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","PT-2","Egf","Egfr",0.0861834569403874,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-2","PT-2","Egf","Egfr",0.0240671744734631,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","PT-2","Egf","Egfr",0.0448990289543302,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"vSMC/MC","PT-2","Egf","Egfr",0.0253401449302171,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"IMM","PT-2","Egf","Egfr",0.0283675406974395,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","Uro","Egf","Egfr",0.124889152851173,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","Uro","Egf","Egfr",0.0941639444983425,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-2","Uro","Egf","Egfr",0.0264623303271884,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","Uro","Egf","Egfr",0.0492627138898161,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"vSMC/MC","Uro","Egf","Egfr",0.0278583700232337,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"IMM","Uro","Egf","Egfr",0.0311769954405115,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","ATL","Egf","Egfr",0.0745285390202675,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","ATL","Egf","Egfr",0.0554085727699773,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","ATL","Egf","Egfr",0.0284079365935172,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"IMM","ATL","Egf","Egfr",0.0178349629472694,0.04,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","PC","Egf","Egfr",0.164070572151158,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","PC","Egf","Egfr",0.125083763883751,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-2","PC","Egf","Egfr",0.0360359190783476,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"FIB","PC","Egf","Egfr",0.0215321674213235,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","PC","Egf","Egfr",0.0665214311869941,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"vSMC/MC","PC","Egf","Egfr",0.0379173493432658,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"IMM","PC","Egf","Egfr",0.0423820089858587,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","vSMC/MC","Egf","Egfr",0.0327466691614604,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","vSMC/MC","Egf","Egfr",0.0240669097091207,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","IMM","Egf","Egfr",0.0253861888958875,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","IMM","Egf","Egfr",0.0186198257688801,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","PECs?","Egf","Egfr",0.114795759447673,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","PECs?","Egf","Egfr",0.0863088200375353,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-2","PECs?","Egf","Egfr",0.0241045661348787,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","PECs?","Egf","Egfr",0.0449672944995325,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"vSMC/MC","PECs?","Egf","Egfr",0.0253794628944398,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"IMM","PECs?","Egf","Egfr",0.0284114190646795,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","PROLIF","Egf","Egfr",0.0811208378009394,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","PROLIF","Egf","Egfr",0.060420059349273,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","PROLIF","Egf","Egfr",0.0310576171240305,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"IMM","PROLIF","Egf","Egfr",0.019518286427837,0.02,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","PT-1","Btc","Egfr",0.0201650445168677,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"ADIPO","PT-1","Btc","Egfr",0.0110002914521576,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","TAL-1","Btc","Egfr",0.00254013946686613,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"ADIPO","TAL-1","Btc","Egfr",0.00137444252263527,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PC_CNT","DCT/CNT","Btc","Egfr",0.00545134334425685,0,"BTC_EGFR","Btc  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
