"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Undef","PODO","Wnt5a","Fzd2",0.0120709402297804,0,"WNT5A_FZD2","Wnt5a  - Fzd2","ncWNT","Secreted Signaling","KEGG: mmu04310"
"PT-2","PODO","Wnt5a","Fzd2",0.00809872524615499,0,"WNT5A_FZD2","Wnt5a  - Fzd2","ncWNT","Secreted Signaling","KEGG: mmu04310"
"PECs?","PODO","Wnt5a","Fzd2",0.0114039689157763,0,"WNT5A_FZD2","Wnt5a  - Fzd2","ncWNT","Secreted Signaling","KEGG: mmu04310"
"TAL-1","PT-1","Egf","Egfr",0.188224450499669,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","PT-1","Egf","Egfr",0.144453532600083,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"EC-2","PT-1","Egf","Egfr",0.0117200338568361,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"EC-3","PT-1","Egf","Egfr",0.0124640085986704,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"EC-4","PT-1","Egf","Egfr",0.0145223185014582,0.03,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-2","PT-1","Egf","Egfr",0.0338701837815137,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"FIB","PT-1","Egf","Egfr",0.0128273490236443,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","PT-1","Egf","Egfr",0.042646318156738,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"Undef","PT-1","Egf","Egfr",0.0188576705932975,0.04,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"vSMC/MC","PT-1","Egf","Egfr",0.0169664592887542,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"IMM","PT-1","Egf","Egfr",0.0140028346390773,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","TAL-1","Egf","Egfr",0.035758888383908,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","TAL-1","Egf","Egfr",0.0262948280509271,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","DCT/CNT","Egf","Egfr",0.0308382452095805,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","DCT/CNT","Egf","Egfr",0.0226459120611703,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","PC_CNT","Egf","Egfr",0.040734042329415,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","PC_CNT","Egf","Egfr",0.0299942012601369,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","FIB","Egf","Egfr",0.0472980322553232,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","FIB","Egf","Egfr",0.0348904923428041,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-2","FIB","Egf","Egfr",0.00745041082715418,0.01,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","FIB","Egf","Egfr",0.00944783761846486,0.03,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","IC-B","Egf","Egfr",0.0201436460947408,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","IC-B","Egf","Egfr",0.0147491496052211,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","Undef","Egf","Egfr",0.0398360035701395,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","Undef","Egf","Egfr",0.0293256988355609,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","IC-A","Egf","Egfr",0.0177791255051893,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","IC-A","Egf","Egfr",0.0130094437071758,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","PT-2","Egf","Egfr",0.159649391560981,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","PT-2","Egf","Egfr",0.121528691901873,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"EC-2","PT-2","Egf","Egfr",0.00962312315447769,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"EC-3","PT-2","Egf","Egfr",0.0102353669144275,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-2","PT-2","Egf","Egfr",0.0279222085364382,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"FIB","PT-2","Egf","Egfr",0.0105344328621906,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","PT-2","Egf","Egfr",0.0352133304449862,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"vSMC/MC","PT-2","Egf","Egfr",0.0139441192473155,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"IMM","PT-2","Egf","Egfr",0.011502246164958,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-1","PECs?","Egf","Egfr",0.0900688883538349,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"DCT/CNT","PECs?","Egf","Egfr",0.0672332113836333,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"TAL-2","PECs?","Egf","Egfr",0.0147454066081012,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PODO","PECs?","Egf","Egfr",0.0186618219852376,0,"EGF_EGFR","Egf  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012"
"PT-1","PT-1","Pdgfd","Pdgfrb",0.000346337547970254,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
