"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.7779255879828,0.871,0.02,0,"ADIPO","Rgs7"
0,1.20998579596488,0.903,0.063,0,"ADIPO","Ces1d"
0,7.44702917707082,0.847,0.007,0,"ADIPO","Hk2"
0,4.24631006595274,0.895,0.065,0,"ADIPO","Lpl"
0,5.09624615747906,0.831,0.012,0,"ADIPO","Cpt1b"
0,4.08748292409395,0.863,0.049,0,"ADIPO","Negr1"
0,4.97228821862441,0.815,0.014,0,"ADIPO","Pygl"
0,3.98975575932263,0.798,0.049,0,"ADIPO","Ifi27"
0,4.08863889458985,0.758,0.022,0,"ADIPO","Slc1a3"
0,3.90160081256747,0.766,0.032,0,"ADIPO","Snx10"
0,5.84113876629753,0.702,0.018,0,"ADIPO","Aox1"
0,4.8835886670015,0.694,0.019,0,"ADIPO","Adcy3"
0,1.29685244682669,0.653,0.028,0,"ADIPO","Ormdl3"
0,5.58761869928788,0.629,0.007,0,"ADIPO","Plbd1"
7.87587051185255e-306,3.53797180624623,0.798,0.053,3.61896250019625e-302,"ADIPO","Ank"
9.4671791482795e-294,1.97780906676279,0.823,0.057,4.35016881863443e-290,"ADIPO","Plin2"
2.70150004035906e-291,3.37127122202497,0.839,0.059,1.24133926854499e-287,"ADIPO","Sgcd"
9.51490659978648e-291,5.90591250510714,0.871,0.006,4.37209958260189e-287,"ADIPO","Ctcflos"
8.5169926853491e-289,1.64186167000134,0.871,0.066,3.91355813891791e-285,"ADIPO","Gpd1"
8.6384998278752e-289,6.19046899130854,0.855,0.003,3.96939067090865e-285,"ADIPO","Cidec"
1.12385339943026e-275,2.57435899834248,0.718,0.046,5.16410637038205e-272,"ADIPO","Cav1"
1.29209530816053e-274,2.73674612241234,0.484,0.02,5.93717794099766e-271,"ADIPO","Fitm2"
5.98460320075017e-263,0.438576955800333,0.919,0.074,2.7499251707447e-259,"ADIPO","Mlxipl"
1.592284802114e-253,4.39564325508746,0.54,0.026,7.31654866571384e-250,"ADIPO","Pakap"
4.23993387952027e-247,0.528068866431321,0.855,0.073,1.94824961763957e-243,"ADIPO","Acss3"
1.06537064636455e-234,2.83962793474925,0.669,0.044,4.89537812004509e-231,"ADIPO","Pcsk6"
5.81642173653826e-233,5.29375503052542,0.573,0.03,2.67264578793933e-229,"ADIPO","Palmd"
1.0700054618573e-230,4.7317211277469,0.589,0.007,4.91667509723431e-227,"ADIPO","Gys2"
7.56493644203312e-225,0.275499387979612,0.871,0.083,3.47608829511422e-221,"ADIPO","Cd36"
2.82626231527965e-223,0.896881719639964,0.863,0.083,1.298667533871e-219,"ADIPO","Elovl6"
8.61707579126083e-214,1.5276367609483,0.685,0.051,3.95954632608435e-210,"ADIPO","Aacs"
2.71777708820559e-213,1.29814148698371,0.815,0.079,1.24881857203047e-209,"ADIPO","Sh3kbp1"
6.25274254117817e-213,1.29343321791468,0.565,0.036,2.87313519767137e-209,"ADIPO","G0s2"
4.1568160020689e-203,5.93616795495505,0.71,0.003,1.91005695295066e-199,"ADIPO","Ucp1"
3.83610733690946e-181,2.43964942065632,0.903,0.116,1.7626913213099e-177,"ADIPO","Gbe1"
1.05312567710445e-175,0.875642364042553,0.556,0.005,4.83911248629493e-172,"ADIPO","Cd1d1"
5.68175551977364e-172,1.86208945687054,0.363,0.011,2.61076666133599e-168,"ADIPO","Acp5"
7.00869451678004e-172,2.1668076343537,0.516,0.036,3.22049513046043e-168,"ADIPO","Paqr9"
2.91996094171588e-167,1.93731798383007,0.363,0.016,1.34172205271845e-163,"ADIPO","Dhrs7"
9.16677456364889e-164,2.05610449700348,0.597,0.051,4.21213291199667e-160,"ADIPO","Acadvl"
2.32258404783895e-155,2.08159419681456,0.524,0.043,1.067227369982e-151,"ADIPO","Mmd"
1.60303168377307e-154,0.431888876264008,0.887,0.112,7.36593058693726e-151,"ADIPO","Vegfa"
1.12520582443091e-151,3.56590937205607,0.589,0.055,5.17032076326002e-148,"ADIPO","Svep1"
3.24700909303607e-140,1.32708732826845,0.411,0.028,1.49200067825007e-136,"ADIPO","Retsat"
5.30940037510657e-134,1.1613803786404,0.782,0.102,2.43966947236147e-130,"ADIPO","Efna5"
8.60327702185764e-133,0.273458020841484,0.589,0.059,3.95320579154358e-129,"ADIPO","Prxl2a"
2.88531470145249e-128,2.40084483618467,0.395,0.024,1.32580210531742e-124,"ADIPO","Acsm3"
1.45946270206635e-127,2.5547644932542,0.903,0.165,6.70623111599486e-124,"ADIPO","Dlc1"
1.06322945514069e-112,1.08547638667572,0.815,0.137,4.88553934637146e-109,"ADIPO","Pde7b"
3.7470889030936e-105,2.65199164502996,0.363,0.026,1.72178735097151e-101,"ADIPO","Phlda3"
1.78815889413092e-99,0.740725330822203,0.75,0.126,8.21659011853157e-96,"ADIPO","Stim1"
2.61088689105179e-93,1.86717050846117,0.306,0.023,1.1997025264383e-89,"ADIPO","Fabp3"
5.24074303712885e-92,1.98915372740104,0.25,0.015,2.40812142556071e-88,"ADIPO","Pmm1"
3.46801795604667e-87,2.60293022565858,0.419,0.046,1.59355425080344e-83,"ADIPO","Lrp1"
6.6870155434801e-86,1.84986120222146,0.766,0.151,3.07268364222911e-82,"ADIPO","Prex2"
8.16806185710768e-83,1.62820277912816,0.653,0.115,3.75322442334098e-79,"ADIPO","Epb41l2"
1.21700192938047e-81,1.50581230467302,0.798,0.163,5.59212386550326e-78,"ADIPO","Fry"
1.15956766978048e-77,4.40533654048911,0.242,0.018,5.3282134426413e-74,"ADIPO","Pla2g7"
6.28973387269107e-76,0.260044872944639,0.782,0.17,2.89013271450155e-72,"ADIPO","Plcb4"
2.50130400464829e-73,2.8878564679538,0.452,0.061,1.14934919013589e-69,"ADIPO","Ust"
3.74253205987203e-72,1.23847453330675,0.677,0.129,1.7196934815112e-68,"ADIPO","Prkd1"
3.42818262977006e-70,0.767792431497923,0.661,0.128,1.57524991837934e-66,"ADIPO","Tbc1d4"
2.11490190327481e-65,1.46376208460144,0.476,0.072,9.71797424554774e-62,"ADIPO","Ldha"
1.59842923359968e-63,0.432574748460482,0.331,0.038,7.34478232839053e-60,"ADIPO","Sdhd"
1.09122022780859e-62,1.95769216589277,0.355,0.038,5.01415694678049e-59,"ADIPO","Speg"
4.18942119050366e-61,1.74920640289148,0.282,0.028,1.92503903703643e-57,"ADIPO","Irak3"
1.39932279877425e-60,1.63650272182262,0.226,0.018,6.42988826036769e-57,"ADIPO","Eif4ebp1"
1.02380521021186e-57,1.2610877999289,0.274,0.026,4.70438494092348e-54,"ADIPO","Adora1"
1.41207295649443e-57,4.73620203297305,0.29,0.003,6.48847523509191e-54,"ADIPO","Bche"
2.40101145265381e-57,0.304549204900433,0.573,0.111,1.10326476249442e-53,"ADIPO","Ghitm"
1.59101317453846e-56,0.54688758245983,0.452,0.073,7.31070553700423e-53,"ADIPO","Vim"
2.0311266460222e-56,2.5917573363618,0.29,0.033,9.33302693847202e-53,"ADIPO","Zcchc24"
4.71682389012654e-55,0.411032817945268,0.411,0.06,2.16738057751315e-51,"ADIPO","Tmem45b"
2.11755154380539e-53,0.466278984492485,0.315,0.039,9.73014934378575e-50,"ADIPO","Ddt"
6.65480375213072e-51,1.40949405647842,0.379,0.058,3.05788232410406e-47,"ADIPO","Phb2"
6.96076658567278e-47,1.34249960819777,0.29,0.039,3.19847224611664e-43,"ADIPO","Cavin2"
4.54945456152509e-44,0.86970519301518,0.274,0.036,2.09047437102078e-40,"ADIPO","Dnajb9"
5.17822492375496e-44,2.80819437156213,0.218,0.024,2.3793943524654e-40,"ADIPO","Sowahc"
1.20404706711241e-43,0.298331215757747,0.306,0.045,5.53259627338151e-40,"ADIPO","Uqcrfs1"
5.04942801108091e-43,0.347244689763465,0.258,0.031,2.32021217109168e-39,"ADIPO","Btc"
8.82643709948426e-40,0.416528904492086,0.145,0.01,4.05574784721302e-36,"ADIPO","Fbp2"
1.19584097411853e-38,4.71004321004373,0.218,0.005,5.49488927607465e-35,"ADIPO","Cib2"
1.03925730668059e-37,0.931192048742321,0.234,0.031,4.7753873241973e-34,"ADIPO","Scamp3"
7.27912967820129e-36,1.33039011204881,0.202,0.014,3.34476008713349e-32,"ADIPO","Pltp"
