"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.92895041181334,0.446,0.008,0,"ATL","Psca"
0,5.39189634193163,0.438,0.013,0,"ATL","Bsnd"
0,4.4515906522286,0.281,0.011,0,"ATL","Cldn19"
5.49604661208194e-230,7.36799611210976,0.361,0.011,2.52543341825165e-226,"ATL","Ndrg4"
2.41446508633905e-228,4.36836358396799,0.442,0.037,1.10944670717279e-224,"ATL","Atp10b"
1.61819986248845e-205,5.77095066165221,0.309,0.019,7.43562836813442e-202,"ATL","Ccdc3"
7.52242771082637e-196,4.56617519534716,0.438,0.043,3.45655553312471e-192,"ATL","Proser2"
1.49051694260801e-154,4.10689293363199,0.341,0.034,6.84892535128382e-151,"ATL","Wnt7b"
6.29089402700055e-154,4.07462775714339,0.434,0.054,2.89066580540675e-150,"ATL","Scel"
3.21223055065495e-152,4.6876729242877,0.398,0.047,1.47601993802595e-148,"ATL","Slco4a1"
1.44499227673808e-141,3.97285388131997,0.309,0.03,6.63973951161147e-138,"ATL","Esrrb"
2.39124084805186e-121,4.45048323765274,0.217,0.017,1.09877516967983e-117,"ATL","Psat1"
4.22407995675198e-118,3.69795889466302,0.458,0.079,1.94096474012753e-114,"ATL","Tiam1"
1.6600578248346e-117,5.53249486057322,0.197,0.01,7.62796570511497e-114,"ATL","Hmga2"
3.29426535954329e-116,2.15365311106197,0.454,0.078,1.51371493271014e-112,"ATL","Scin"
5.44442402296498e-111,0.927893384200654,0.402,0.065,2.50171283855241e-107,"ATL","Nupr1"
3.44639839501145e-109,0.484928351674442,0.446,0.082,1.58362006250776e-105,"ATL","Spon1"
6.01765971954711e-106,2.67434130274162,0.458,0.084,2.7651146411319e-102,"ATL","Sim1"
1.37159161706846e-105,4.03069934482753,0.474,0.094,6.3024634804296e-102,"ATL","Srgap3"
5.98544577087763e-97,4.03612294175935,0.181,0.014,2.75031233171827e-93,"ATL","Tmem171"
1.58824376580187e-93,3.4188684154074,0.209,0.019,7.2979801038596e-90,"ATL","Cldn4"
2.08863336524526e-93,0.279389260969806,0.458,0.098,9.59727031330195e-90,"ATL","Cryab"
6.77868151515258e-92,1.69733751231052,0.426,0.084,3.11480415621261e-88,"ATL","Elovl6"
1.97117855612031e-90,4.55090119731811,0.201,0.018,9.05756546537283e-87,"ATL","Olfm1"
1.61893543699659e-85,2.93325553816456,0.398,0.075,7.43900833299935e-82,"ATL","Chst9"
2.54100285780805e-85,3.04022808764211,0.253,0.032,1.1675908131628e-81,"ATL","Muc1"
5.97003749484044e-85,4.4668097248475,0.169,0.012,2.74323222887918e-81,"ATL","Zfhx4"
7.47194602073908e-84,2.35599766431678,0.273,0.038,3.43335919652961e-80,"ATL","Rasl11b"
1.01863021250413e-82,3.58615658884425,0.281,0.041,4.68060582645648e-79,"ATL","Tmem30b"
9.11836722637494e-81,3.55943892505919,0.241,0.031,4.18988974051928e-77,"ATL","Ppp1r1a"
2.88562515610133e-79,2.82478134823381,0.474,0.116,1.32594475922856e-75,"ATL","Pax2"
1.68052767600702e-78,2.39327550939664,0.313,0.053,7.72202467125225e-75,"ATL","Pdgfa"
1.32436416181712e-76,2.78252605528946,0.213,0.026,6.08545332354965e-73,"ATL","Elf3"
5.75941684423928e-76,1.62378003322446,0.418,0.091,2.64645203992795e-72,"ATL","Cdkl1"
2.06977489808338e-73,6.94246642022507,0.213,0.005,9.51061565669313e-70,"ATL","Upk3b"
4.8743024733843e-73,3.27219922837429,0.458,0.116,2.23974198652009e-69,"ATL","Atp8b1"
2.39008979694838e-72,2.4266908285129,0.305,0.051,1.09824626169778e-68,"ATL","L1cam"
1.65110224586954e-71,3.50753561277581,0.414,0.097,7.58681481977054e-68,"ATL","Hsph1"
4.89836931124654e-71,3.40685281974235,0.301,0.054,2.25080069851779e-67,"ATL","Hacd4"
2.6628042851568e-67,2.25638898483712,0.418,0.102,1.22355856902955e-63,"ATL","Efna5"
1.61246693018124e-62,3.25300687584817,0.221,0.032,7.40928554418279e-59,"ATL","Krt18"
1.17362988872126e-60,4.59392406483278,0.337,0.077,5.39282933867417e-57,"ATL","Pid1"
5.82073638134236e-59,3.06032387435247,0.361,0.085,2.67462836722682e-55,"ATL","Myzap"
1.44919221665856e-55,2.33456417472312,0.285,0.056,6.65903823554607e-52,"ATL","Myo3b"
1.99327066283256e-55,3.04831190887006,0.43,0.128,9.15907869571562e-52,"ATL","Tbc1d4"
3.34041260913487e-54,8.08966602611048,0.197,0.005,1.53491959389747e-50,"ATL","Crlf1"
2.01221350518727e-53,1.83599154385583,0.269,0.053,9.24612105633549e-50,"ATL","Chsy3"
1.02491413686889e-51,1.29776229869232,0.185,0.028,4.70948045891256e-48,"ATL","Wnt5a"
5.66981924361635e-51,1.12031378897362,0.233,0.043,2.60528194244171e-47,"ATL","Lamb3"
4.26542899879077e-50,3.10738543382047,0.217,0.036,1.95996462494436e-46,"ATL","Camk2b"
4.91023333138662e-49,4.38240101478515,0.205,0.031,2.25625221577215e-45,"ATL","D030045P18Rik"
1.2950735427004e-48,2.87682183755826,0.273,0.059,5.95086292870833e-45,"ATL","Thbs1"
2.15746432053575e-47,3.0440254666674,0.337,0.09,9.91354855286179e-44,"ATL","Slc4a7"
1.08957605426049e-46,3.84725642015057,0.209,0.037,5.00660196932697e-43,"ATL","Ptprn2"
1.67436481171551e-46,0.369935077685904,0.478,0.184,7.69370630983275e-43,"ATL","Rbms3"
3.80055515112065e-46,0.526136682131757,0.43,0.136,1.74635509193994e-42,"ATL","Atp11a"
4.35042206133684e-46,3.66418249721976,0.333,0.092,1.99901893718428e-42,"ATL","Hspg2"
3.62750713060098e-44,5.92005407949473,0.177,0.008,1.66683952651115e-40,"ATL","Lypd2"
4.32502436972031e-44,3.38786661806936,0.177,0.029,1.98734869788648e-40,"ATL","Mid1ip1"
9.09580745245511e-43,1.60866800135678,0.305,0.077,4.17952352440312e-39,"ATL","Ehf"
4.42656390572733e-42,1.87640907285915,0.434,0.152,2.03400611468171e-38,"ATL","Tmcc3"
8.82947997136302e-42,2.66706744336372,0.197,0.036,4.05714604684131e-38,"ATL","Sostdc1"
2.09076441767965e-41,2.39914414111,0.394,0.13,9.60706249923799e-38,"ATL","Abcc4"
1.41830173524638e-40,2.87203979928987,0.221,0.046,6.51709647345712e-37,"ATL","Cpne2"
7.9365668708213e-40,2.37256862426313,0.281,0.073,3.64685247714239e-36,"ATL","Cd24a"
1.05413257416749e-39,2.17332161043695,0.293,0.076,4.8437391782996e-36,"ATL","Rnf24"
