"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.77945723309689,0.898,0.116,0,"EC-1(gEC)","Emcn"
0,2.13364804534243,0.828,0.109,0,"EC-1(gEC)","Flt1"
0,3.60474122118842,0.774,0.085,0,"EC-1(gEC)","Egfl7"
0,2.37360003146889,0.538,0.047,0,"EC-1(gEC)","Nostrin"
1.18346289705205e-305,2.13278074776495,0.586,0.064,5.43801201195415e-302,"EC-1(gEC)","Adgre5"
1.95209318375334e-291,1.63976339649187,0.879,0.163,8.96986817934658e-288,"EC-1(gEC)","Dlc1"
3.72180922685271e-283,1.49640452306795,0.707,0.099,1.71017133973882e-279,"EC-1(gEC)","Adgrf5"
1.23962151301306e-255,1.11724981587531,0.911,0.194,5.69606085229502e-252,"EC-1(gEC)","Ptprg"
2.43527961885853e-245,0.790525432731456,0.71,0.113,1.11901098486549e-241,"EC-1(gEC)","Csgalnact1"
1.04403132086519e-239,0.544829721325613,0.487,0.052,4.79732391937556e-236,"EC-1(gEC)","Cd300lg"
2.11084318477479e-225,0.740693737122167,0.92,0.22,9.69932443404018e-222,"EC-1(gEC)","Pbx1"
3.72508110962756e-225,0.904065899587734,0.787,0.149,1.71167476987387e-221,"EC-1(gEC)","Prex2"
9.38824703627695e-213,1.06808187002952,0.764,0.141,4.31389951316926e-209,"EC-1(gEC)","Podxl"
1.98881836890863e-206,3.34833776738363,0.35,0.029,9.13862040513515e-203,"EC-1(gEC)","Palmd"
9.37378649597214e-200,0.389899083965977,0.682,0.121,4.3072548948992e-196,"EC-1(gEC)","Nav1"
1.03237408189382e-196,1.80715480830428,0.433,0.052,4.74375890630208e-193,"EC-1(gEC)","Fas"
2.97435150517559e-196,2.0134267292222,0.564,0.087,1.36671451662818e-192,"EC-1(gEC)","Eml1"
2.01951870460582e-180,1.75045076898191,0.538,0.084,9.27968844766372e-177,"EC-1(gEC)","Rcsd1"
5.42310956348993e-176,3.07206836829657,0.36,0.036,2.49191884442362e-172,"EC-1(gEC)","P2rx7"
1.4963719231647e-166,1.99329777093585,0.373,0.045,6.8758289869418e-163,"EC-1(gEC)","Jcad"
3.89521101666003e-166,0.460482307179259,0.646,0.129,1.78984946215528e-162,"EC-1(gEC)","Plxna2"
3.65986576995136e-162,0.265451075093706,0.732,0.159,1.68170832129265e-158,"EC-1(gEC)","Samd12"
8.04096400563099e-157,2.09833451679439,0.411,0.057,3.69482296058744e-153,"EC-1(gEC)","Kank3"
4.97788681760982e-141,0.800619217947003,0.468,0.078,2.28733899269171e-137,"EC-1(gEC)","Afap1l1"
1.39392190334095e-140,0.317839460782505,0.65,0.146,6.40507114585166e-137,"EC-1(gEC)","Hip1"
5.14117616463101e-134,3.53196959201435,0.261,0.02,2.36237044764795e-130,"EC-1(gEC)","Add2"
6.99456465278702e-132,1.11625910204025,0.347,0.046,3.21400245795564e-128,"EC-1(gEC)","Chst8"
1.83830892938733e-131,1.28784421878378,0.395,0.06,8.44702953053479e-128,"EC-1(gEC)","Piezo2"
1.37626792026406e-129,2.00144686185017,0.213,0.018,6.32395109361335e-126,"EC-1(gEC)","Adamtsl5"
3.64478858181238e-127,1.40287516124556,0.557,0.116,1.67478035334279e-123,"EC-1(gEC)","Fyn"
