"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.09546102208625,0.9,0.096,0,"EC-3","Adgrl4"
0,4.11583621394506,0.891,0.105,0,"EC-3","Emcn"
0,4.00983734832766,0.87,0.097,0,"EC-3","Flt1"
0,1.82161620714123,0.806,0.088,0,"EC-3","Adgrf5"
0,2.24050144324863,0.838,0.124,0,"EC-3","Pde7b"
0,1.42145593608995,0.809,0.099,0,"EC-3","Dysf"
0,1.62156304231913,0.744,0.036,0,"EC-3","Sema3d"
0,1.0578092450688,0.845,0.14,0,"EC-3","Heg1"
0,3.1992811615422,0.832,0.134,0,"EC-3","Ehd4"
0,1.45643419999899,0.907,0.21,0,"EC-3","Pbx1"
0,3.00899039655796,0.772,0.075,0,"EC-3","Egfl7"
0,1.28730993114812,0.778,0.103,0,"EC-3","Csgalnact1"
0,1.76746405250584,0.846,0.185,0,"EC-3","Ptprg"
0,2.17732180750119,0.726,0.086,0,"EC-3","Sp100"
0,0.830509414338377,0.778,0.139,0,"EC-3","Prex2"
0,3.05582817056143,0.67,0.032,0,"EC-3","Car8"
0,1.81171704037007,0.773,0.159,0,"EC-3","Plcb4"
0,0.373800715630701,0.698,0.111,0,"EC-3","Vav3"
0,2.45857552298718,0.729,0.15,0,"EC-3","Samd12"
0,4.75319624230593,0.645,0.074,0,"EC-3","Fstl1"
0,0.932577521494291,0.704,0.133,0,"EC-3","Tmtc1"
0,0.273662912449049,0.715,0.144,0,"EC-3","Ly6e"
0,2.66769306655346,0.728,0.162,0,"EC-3","Nr2f2"
0,2.6592523939994,0.653,0.097,0,"EC-3","Thsd4"
0,1.41898241291004,0.646,0.107,0,"EC-3","Fyn"
0,1.93227949587488,0.653,0.118,0,"EC-3","Rarb"
0,2.25136893904767,0.577,0.048,0,"EC-3","Kank3"
0,2.04052227169862,0.625,0.107,0,"EC-3","Ica1"
0,1.57460046452659,0.576,0.062,0,"EC-3","Man1c1"
0,1.67316783003677,0.574,0.063,0,"EC-3","Marcks"
0,1.82918015489255,0.571,0.066,0,"EC-3","Flrt2"
0,2.15958368377575,0.583,0.1,0,"EC-3","Unc5c"
0,2.84968617276029,0.564,0.087,0,"EC-3","Ly6a"
0,1.6922801297065,0.539,0.071,0,"EC-3","Afap1l1"
0,4.51266011386735,0.54,0.073,0,"EC-3","Gas7"
0,3.61633317232897,0.556,0.098,0,"EC-3","Fmnl3"
0,1.28586039301934,0.548,0.1,0,"EC-3","Cd9"
0,0.688914179950366,0.583,0.137,0,"EC-3","Abcg2"
0,1.46818596134374,0.564,0.118,0,"EC-3","Chst11"
0,0.258645862259487,0.541,0.098,0,"EC-3","Anxa3"
0,5.42166002197068,0.486,0.043,0,"EC-3","Gli3"
0,2.86407723566368,0.574,0.143,0,"EC-3","Gnai2"
0,3.48059257398748,0.495,0.065,0,"EC-3","St3gal4"
0,0.392980325630679,0.541,0.121,0,"EC-3","Prkd1"
0,2.5819674041235,0.443,0.031,0,"EC-3","Cavin2"
0,0.609911828169979,0.501,0.091,0,"EC-3","Ppp1r16b"
0,1.48433301042374,0.488,0.079,0,"EC-3","Epha4"
0,2.94505707735588,0.444,0.043,0,"EC-3","Atp2b4"
0,3.08495621638633,0.515,0.114,0,"EC-3","B2m"
0,3.56930098284099,0.452,0.054,0,"EC-3","Jam3"
0,2.50242189483991,0.43,0.036,0,"EC-3","Stab1"
0,2.39940095936764,0.437,0.044,0,"EC-3","Esam"
0,0.727769090999328,0.455,0.076,0,"EC-3","Ifitm3"
0,3.99799152277637,0.421,0.047,0,"EC-3","Rassf9"
0,3.70120801621642,0.398,0.03,0,"EC-3","Vcam1"
0,0.739153724556399,0.446,0.08,0,"EC-3","Arhgef26"
0,2.71453486290178,0.401,0.038,0,"EC-3","Ramp2"
0,2.09649277946302,0.392,0.043,0,"EC-3","Cd93"
0,2.35801978997436,0.382,0.041,0,"EC-3","Cd34"
0,7.35358877710666,0.365,0.031,0,"EC-3","Ccm2l"
0,4.75915563547275,0.404,0.08,0,"EC-3","Rcsd1"
0,0.685249932231924,0.369,0.048,0,"EC-3","Fas"
0,0.526025921162435,0.36,0.04,0,"EC-3","Sema3f"
0,4.33468768988589,0.361,0.045,0,"EC-3","Adgrg6"
0,4.30198177599058,0.326,0.013,0,"EC-3","Lbp"
0,1.12768756311878,0.354,0.041,0,"EC-3","Dram1"
0,0.647390569282194,0.353,0.046,0,"EC-3","Il1r1"
0,1.10517634626704,0.356,0.051,0,"EC-3","Trim30a"
0,2.43536254751228,0.331,0.027,0,"EC-3","Abi3"
0,3.2458631950726,0.315,0.022,0,"EC-3","Fam167b"
0,0.913904052872454,0.336,0.044,0,"EC-3","Gng11"
0,1.32698966051983,0.326,0.039,0,"EC-3","Helz2"
0,5.77989215671508,0.315,0.032,0,"EC-3","Fat4"
0,7.38532127014925,0.299,0.017,0,"EC-3","Cmklr1"
0,1.39971164097379,0.313,0.035,0,"EC-3","Ggta1"
0,6.09571153832257,0.304,0.026,0,"EC-3","Il33"
0,2.32358144883243,0.306,0.034,0,"EC-3","Thsd1"
0,2.11655591893974,0.319,0.049,0,"EC-3","Dapk2"
0,2.58342915151304,0.299,0.035,0,"EC-3","Eln"
0,4.12703367660133,0.28,0.026,0,"EC-3","Nos3"
0,1.31871928189583,0.287,0.035,0,"EC-3","Gng2"
0,0.596569384414861,0.28,0.037,0,"EC-3","Tm6sf1"
0,3.98252932940767,0.253,0.02,0,"EC-3","Itprip"
0,2.05871525061565,0.256,0.025,0,"EC-3","Gbp9"
0,1.99596757673591,0.244,0.024,0,"EC-3","Itga5"
0,1.84330622065141,0.24,0.021,0,"EC-3","Cldn15"
0,2.25258385842067,0.22,0.017,0,"EC-3","Bace2"
0,6.08594104151353,0.205,0.023,0,"EC-3","Scn1b"
1.4756701098394e-301,1.45179053955205,0.616,0.152,6.78070415471205e-298,"EC-3","Nbea"
5.38425601760708e-298,2.47256482043906,0.351,0.064,2.47406564009045e-294,"EC-3","Sema6d"
4.42815001456407e-294,1.45907094099949,0.275,0.042,2.03473493169219e-290,"EC-3","Cdc42ep4"
1.55667067299845e-291,0.58063835736449,0.412,0.085,7.15290174242789e-288,"EC-3","St3gal1"
2.52437352783503e-291,2.07555843814804,0.277,0.042,1.15994963604019e-287,"EC-3","Jcad"
7.808604726435e-289,1.4912518738042,0.173,0.015,3.58805387179688e-285,"EC-3","Ltc4s"
1.50403353383599e-286,1.09808512098159,0.194,0.019,6.91103408797637e-283,"EC-3","Hs3st1"
5.4315495253175e-278,1.21979218426557,0.314,0.056,2.49579700688339e-274,"EC-3","Nid1"
4.09191984703603e-273,2.04922461530179,0.216,0.028,1.88023716971306e-269,"EC-3","Tgfb1"
1.90451378513533e-272,0.826979740543768,0.302,0.053,8.75124084269685e-269,"EC-3","Tlr4"
2.02501950821388e-263,0.862561024814268,0.346,0.068,9.30496464024279e-260,"EC-3","Stxbp1"
4.42841804885861e-263,0.593093548134517,0.311,0.056,2.03485809345053e-259,"EC-3","Boc"
1.60637570928816e-262,1.43154564080773,0.245,0.033,7.38129638417911e-259,"EC-3","Lgals9"
4.98966482844531e-262,1.41774974865833,0.226,0.032,2.29275098867062e-258,"EC-3","Fam43a"
3.63995983500377e-261,1.38386260334426,0.312,0.058,1.67256154418423e-257,"EC-3","Adam15"
1.42765940367603e-260,0.743422049900079,0.453,0.103,6.56009495989134e-257,"EC-3","Ntn1"
