"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.43510897516244,0.212,0.023,0,"IC-A","Atp6v0d2"
0,4.24691105180989,0.201,0.017,0,"IC-A","Atp6v1c2"
0,5.8480938546221,0.183,0.009,0,"IC-A","Aqp6"
0,4.37935078515353,0.177,0.019,0,"IC-A","Atp6v1g3"
0,5.5861856788664,0.141,0.009,0,"IC-A","Oxgr1"
0,6.03428935980001,0.13,0.007,0,"IC-A","Rhbg"
1.71284553215291e-279,3.79758280900864,0.171,0.02,7.8705252202426e-276,"IC-A","Atp6v1b1"
1.94927154351e-251,6.82944391087269,0.123,0.01,8.95690274242845e-248,"IC-A","Pdlim3"
1.63773991544951e-249,4.40505913236313,0.17,0.021,7.52541491149049e-246,"IC-A","Wscd2"
5.50708628974598e-227,2.66540119164287,0.185,0.029,2.53050615013828e-223,"IC-A","Clcnkb"
8.55767973016434e-227,4.37226478670128,0.129,0.013,3.93225383601052e-223,"IC-A","Slc4a9"
9.62962198268931e-222,3.08210512525892,0.189,0.03,4.42481130104574e-218,"IC-A","Rhcg"
1.70353442448368e-208,6.20816639361277,0.104,0.002,7.82774068050251e-205,"IC-A","Dmrt2"
3.17025138124678e-204,4.02071694510428,0.122,0.013,1.4567305096829e-200,"IC-A","Hepacam2"
4.01052320533628e-142,4.46748889240452,0.148,0.027,1.84283541285202e-138,"IC-A","Asb15"
3.03344014853409e-126,3.47564979920568,0.101,0.015,1.39386574825142e-122,"IC-A","Kcns3"
4.31862336386597e-117,3.29950289534962,0.13,0.025,1.98440743569641e-113,"IC-A","Tshr"
1.10693132350854e-105,3.83454515457572,0.197,0.059,5.08634943152174e-102,"IC-A","Ccbe1"
8.92698596457965e-98,2.87534986312649,0.199,0.062,4.10195005072435e-94,"IC-A","Kcnq1"
4.57355447674607e-96,4.02286406616216,0.148,0.038,2.10154828206482e-92,"IC-A","Slc35f1"
1.4324362895112e-90,1.76374851650967,0.217,0.076,6.58204475030398e-87,"IC-A","Tmem117"
4.19921626769015e-84,3.85425266154716,0.174,0.054,1.92953987500362e-80,"IC-A","Defb1"
5.11270900528975e-84,4.52274252273922,0.1,0.021,2.34928978793064e-80,"IC-A","Adgrf1"
4.81534549958311e-76,5.3775464508305,0.101,0.023,2.21265125705844e-72,"IC-A","P2ry14"
1.46633584249779e-75,2.8681943515202,0.172,0.057,6.73781319627733e-72,"IC-A","Blnk"
3.98062199564989e-73,3.69589152618167,0.113,0.028,1.82909580700112e-69,"IC-A","Lrrc31"
3.26620844086881e-72,2.82275941380463,0.166,0.055,1.50082277857922e-68,"IC-A","Myo3b"
1.27842066323746e-71,2.06412697067831,0.166,0.055,5.87434294757615e-68,"IC-A","Susd1"
2.7258333255315e-70,3.13184853160918,0.159,0.053,1.25252041308172e-66,"IC-A","Plcg2"
1.71565340036442e-67,0.899116627266982,0.177,0.063,7.88342737467449e-64,"IC-A","Car12"
2.72215601896694e-62,2.50091189090065,0.17,0.062,1.25083069071531e-58,"IC-A","Pde1c"
6.51878278253432e-56,4.98812161755441,0.213,0.1,2.99538068857452e-52,"IC-A","Adgrf5"
2.71576842299743e-55,2.2697223078553,0.215,0.098,1.24789559036732e-51,"IC-A","Bmpr1b"
5.24472790796577e-54,0.357392076128882,0.161,0.061,2.40995247371027e-50,"IC-A","Akr1c19"
7.38862266449286e-54,2.00794730399793,0.194,0.082,3.39507211433447e-50,"IC-A","Rnf152"
4.63445271231272e-51,0.519249677745464,0.209,0.095,2.1295310213077e-47,"IC-A","Atp6v0a4"
9.5244167574065e-48,2.08910466854031,0.165,0.068,4.37646950002829e-44,"IC-A","Slc16a7"
3.20859867072301e-43,2.42664851306579,0.116,0.042,1.47435108919722e-39,"IC-A","Fgf12"
6.37643065445942e-43,2.10004336095816,0.195,0.095,2.9299698857241e-39,"IC-A","Cacnb2"
4.00012607278268e-41,0.55571244070616,0.192,0.09,1.83805793044364e-37,"IC-A","Cdkl1"
2.95275774056469e-32,1.9104932202551,0.203,0.114,1.35679218178947e-28,"IC-A","Rcan2"
4.15518041552068e-29,3.13364197391079,0.109,0.046,1.90930540093175e-25,"IC-A","Chst8"
1.02217297169756e-26,1.61927041133765,0.194,0.116,4.69688480495029e-23,"IC-A","Ica1"
2.03666930357626e-26,1.73290240479673,0.123,0.057,9.35849544993292e-23,"IC-A","Gata3"
5.1308170633403e-26,2.39207176693966,0.118,0.054,2.35761044060487e-22,"IC-A","Ppp2r2b"
2.05462725457305e-24,0.69482146745864,0.101,0.045,9.44101223476318e-21,"IC-A","Sptbn2"
3.26998297633106e-24,1.71349413456768,0.11,0.052,1.50255717762412e-20,"IC-A","Plagl1"
3.53615888984584e-22,3.35125078584011,0.184,0.115,1.62486500988416e-18,"IC-A","Epb41l2"
5.45176642592444e-21,0.493243394720472,0.028,0.114,2.50508667271228e-17,"IC-A","Zbtb7c"
5.9725926755876e-19,1.55881843946361,0.139,0.079,2.7444063344325e-15,"IC-A","Gpr39"
6.77059745816562e-19,1.70390554574668,0.137,0.076,3.1110895320271e-15,"IC-A","Ehf"
1.95313094485463e-18,0.919140753293711,0.165,0.102,8.974636691607e-15,"IC-A","Stk39"
4.52294372039111e-18,1.10095899221422,0.21,0.145,2.07829263951972e-14,"IC-A","Alcam"
4.84424054786267e-18,1.04848735426468,0.147,0.084,2.2259285317429e-14,"IC-A","Sim1"
1.22149282477831e-17,0.478012877614638,0.075,0.169,5.61275952985632e-14,"IC-A","Dlc1"
1.49142066905072e-17,1.14803545866732,0.122,0.068,6.85307797428804e-14,"IC-A","Frmpd4"
1.47207789031111e-15,1.40998568160331,0.135,0.078,6.76419790597956e-12,"IC-A","Tesk2"
6.97050077881705e-15,1.55862110485491,0.112,0.064,3.20294510786644e-11,"IC-A","Kif26b"
1.71350882239466e-14,0.276542158380058,0.077,0.163,7.87357303890345e-11,"IC-A","Nbea"
8.3693971121512e-14,1.13915704770978,0.036,0.1,3.84573797303348e-10,"IC-A","Sp100"
1.7640646705767e-12,1.58631697960661,0.209,0.162,8.10587716129996e-09,"IC-A","Dmxl1"
1.19526703866357e-11,2.84078575311056,0.118,0.075,5.49225204265912e-08,"IC-A","Pros1"
5.45959916221103e-11,0.891534481490019,0.121,0.077,2.50868581503597e-07,"IC-A","Cacna1d"
2.24090441989174e-10,0.778869738915605,0.057,0.114,1.02969558094025e-06,"IC-A","Capns1"
4.03404233187448e-10,0.618827239665644,0.095,0.166,1.85364245149632e-06,"IC-A","Fry"
9.92774351824248e-10,1.31505210966289,0.195,0.152,4.56179814663242e-06,"IC-A","Tmcc3"
7.98314182949984e-09,1.43116149473952,0.162,0.124,3.66825367065518e-05,"IC-A","Nav1"
