"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.88907216921089,0.194,0.018,0,"IC-B","Slc26a4"
0,5.93914613504423,0.182,0.011,0,"IC-B","Slc4a9"
0,5.44533656612604,0.187,0.017,0,"IC-B","Atp6v1c2"
0,5.17943760522514,0.185,0.023,0,"IC-B","Atp6v0d2"
0,4.70757288917979,0.174,0.019,0,"IC-B","Atp6v1g3"
0,4.19233988161946,0.145,0.012,0,"IC-B","Hepacam2"
3.19879227257887e-214,4.72146938298812,0.145,0.02,1.46984504924999e-210,"IC-B","Atp6v1b1"
4.01075563416116e-196,2.92828293983387,0.166,0.029,1.84294221389705e-192,"IC-B","Clcnkb"
2.87872885730256e-145,2.8142518711443,0.152,0.03,1.32277590993053e-141,"IC-B","Rhcg"
1.49404764735436e-144,3.43175249266753,0.128,0.021,6.8651489395933e-141,"IC-B","Wscd2"
1.8400549824753e-125,4.0553567656221,0.128,0.025,8.45505264447399e-122,"IC-B","Tshr"
9.69741425144981e-96,3.34482426760533,0.141,0.037,4.45596184854119e-92,"IC-B","Tmem72"
1.10188410787497e-86,1.7679488262694,0.184,0.062,5.06315747568549e-83,"IC-B","Car12"
2.08598941576427e-79,4.81493476497425,0.159,0.052,9.58512136543681e-76,"IC-B","Plcg2"
2.48722777446936e-76,2.49730106303964,0.197,0.077,1.14288116236867e-72,"IC-B","Tmem117"
3.32490231896619e-73,3.9474402469809,0.189,0.074,1.52779261556497e-69,"IC-B","Lsamp"
5.8158958388921e-73,0.4413043354765,0.179,0.067,2.67240413797092e-69,"IC-B","Irs1"
5.80151946037801e-71,2.52981988375676,0.172,0.063,2.6657981920437e-67,"IC-B","Kcnq1"
3.72793410061125e-67,2.47400256102862,0.16,0.057,1.71298571923087e-63,"IC-B","Blnk"
8.14242981067886e-62,4.19603503314596,0.159,0.06,3.74144649800694e-58,"IC-B","Ccbe1"
1.76560521738684e-43,5.26820405724394,0.129,0.052,8.11295597389254e-40,"IC-B","Ank"
1.40285094281738e-41,2.43711055721293,0.174,0.082,6.44610008224586e-38,"IC-B","Rnf152"
6.17027543023873e-41,2.29078855462787,0.153,0.068,2.83524156019469e-37,"IC-B","Slc16a7"
1.38136857631398e-36,1.28178603197267,0.13,0.056,6.34738860816274e-33,"IC-B","Susd1"
5.50104100939516e-36,1.54418523220961,0.145,0.068,2.52772834381707e-32,"IC-B","Frmpd4"
3.28028745739922e-35,0.389407108252871,0.185,0.095,1.50729208667494e-31,"IC-B","Atp6v0a4"
3.33564119341186e-34,1.99150342355918,0.184,0.099,1.53272712837275e-30,"IC-B","Bmpr1b"
1.92923205852198e-32,2.54514306730924,0.172,0.092,8.86482130890849e-29,"IC-B","Phactr1"
5.30783630576334e-30,1.78987238758162,0.114,0.051,2.43895078249825e-26,"IC-B","Plagl1"
7.66167037297303e-27,0.449827582745627,0.105,0.236,3.52053753638111e-23,"IC-B","Eef1a1"
8.81679584039487e-24,1.95892189853183,0.184,0.114,4.05131768866144e-20,"IC-B","Rcan2"
3.50114699024167e-23,2.10865114137277,0.141,0.077,1.60877704201605e-19,"IC-B","Cacna1d"
4.22459780410433e-23,0.490821177471666,0.186,0.119,1.94120269098594e-19,"IC-B","Pde4b"
8.28228358248484e-22,0.917869159494677,0.06,0.154,3.80570930615178e-18,"IC-B","Gnai2"
1.82466408011538e-21,0.818413375931885,0.069,0.165,8.38433144813017e-18,"IC-B","Samd12"
1.86617898334176e-21,0.99919026023207,0.12,0.063,8.5750924284554e-18,"IC-B","Pde1c"
7.68663228429016e-18,1.38354739726054,0.135,0.078,3.53200753463133e-14,"IC-B","Tesk2"
8.048147963055e-18,1.17951604594276,0.043,0.12,3.69812398902377e-14,"IC-B","Fyn"
1.6023658878003e-16,2.00201976961048,0.101,0.055,7.36287125444238e-13,"IC-B","Ppp2r2b"
2.51924187233366e-16,1.51069244464723,0.109,0.061,1.15759164033732e-12,"IC-B","Klhl3"
3.59654504998358e-16,0.437981766380844,0.052,0.125,1.65261245046746e-12,"IC-B","Rack1"
1.45029894571439e-15,1.62442049542782,0.149,0.096,6.66412365555764e-12,"IC-B","Cacnb2"
9.92771590398364e-15,0.496268887041703,0.099,0.188,4.56178545788048e-11,"IC-B","Peak1"
2.12376217203401e-14,1.0438434380275,0.121,0.074,9.75868718049628e-11,"IC-B","Jag1"
6.78041414640436e-14,3.05238484690618,0.101,0.06,3.1156003002728e-10,"IC-B","Sgcd"
2.94762587299514e-13,1.06259233435577,0.133,0.084,1.35443408864127e-09,"IC-B","Sim1"
1.46836275385502e-12,2.17691232005014,0.042,0.1,6.74712685396381e-09,"IC-B","Sp100"
1.0350014315443e-11,0.65476888837219,0.139,0.091,4.75583157794607e-08,"IC-B","Cdkl1"
1.49487871538172e-11,0.250791506671477,0.056,0.115,6.86896769717898e-08,"IC-B","Rplp2"
1.59552793391696e-11,1.32829033954341,0.166,0.123,7.33145085634845e-08,"IC-B","Grb10"
1.67209489258377e-10,2.79957698915503,0.173,0.13,7.68327603142241e-07,"IC-B","Thsd7a"
2.94068595171626e-10,0.336365521577839,0.091,0.157,1.35124519481362e-06,"IC-B","Jund"
6.29843979095458e-10,0.424823033587168,0.082,0.147,2.89413308394363e-06,"IC-B","Tmtc1"
2.3487487763067e-09,0.419823163991631,0.084,0.144,1.07925006271293e-05,"IC-B","Hsp90aa1"
3.42804872380336e-09,1.55221384859292,0.053,0.104,1.57518838858764e-05,"IC-B","Adgrf5"
4.04179410966217e-09,3.1710933152654,0.19,0.161,1.85720439338977e-05,"IC-B","Nbea"
4.13224792618039e-09,2.00978366718743,0.057,0.11,1.89876792207989e-05,"IC-B","1700025G04Rik"
4.84146811270653e-09,0.932643660406505,0.067,0.119,2.22465459778865e-05,"IC-B","Actn1"
1.38334256059846e-08,0.527829131855102,0.063,0.113,6.35645906594991e-05,"IC-B","Ghitm"
5.85435927445745e-08,0.538673212425632,0.116,0.082,0.00026900780866132,"IC-B","Pgrmc1"
1.12201931409602e-07,2.12577621903227,0.191,0.163,0.000515567874827119,"IC-B","Dmxl1"
