"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.60088279936691,0.641,0.021,0,"IMM","Dock2"
0,2.18341192236119,0.619,0.069,0,"IMM","Dock10"
0,4.09143752603923,0.501,0.02,0,"IMM","Prkcb"
0,2.25449928584747,0.511,0.034,0,"IMM","Runx1"
0,2.60307265583432,0.498,0.037,0,"IMM","Slc9a9"
0,0.389335984511169,0.49,0.073,0,"IMM","Sh3kbp1"
0,1.81051275460065,0.469,0.071,0,"IMM","Pid1"
0,1.52575456276637,0.419,0.024,0,"IMM","Epsti1"
0,6.17039135739296,0.396,0.012,0,"IMM","Arhgap45"
0,0.420252476689036,0.425,0.048,0,"IMM","Cd74"
0,3.1724828627784,0.397,0.034,0,"IMM","Gng2"
0,2.78184821247515,0.36,0.023,0,"IMM","Ctsc"
0,4.06200465753361,0.345,0.008,0,"IMM","Pik3ap1"
0,2.93088193957626,0.349,0.014,0,"IMM","Pik3cd"
0,4.59354051199387,0.345,0.012,0,"IMM","Cybb"
0,5.298478064316,0.342,0.017,0,"IMM","Itga4"
0,3.32734769371123,0.33,0.012,0,"IMM","Ctss"
0,4.58568809426551,0.326,0.013,0,"IMM","Cyth4"
0,4.97434427622459,0.32,0.009,0,"IMM","Ly86"
0,2.1594828730271,0.348,0.04,0,"IMM","Dock11"
0,1.28212349919303,0.336,0.029,0,"IMM","Otulinl"
0,4.32768281012202,0.333,0.027,0,"IMM","H2-Aa"
0,3.64186155960636,0.309,0.005,0,"IMM","Nckap1l"
0,3.91030000055098,0.307,0.009,0,"IMM","Laptm5"
0,3.23933123219862,0.324,0.036,0,"IMM","Stk10"
0,4.12502644120309,0.292,0.009,0,"IMM","Adgre1"
0,1.86583233891111,0.306,0.029,0,"IMM","Cd44"
0,1.60907406953222,0.297,0.023,0,"IMM","Atp8b4"
0,4.99756235554275,0.272,0.006,0,"IMM","Sla"
0,3.55012404796869,0.266,0.013,0,"IMM","Mrc1"
0,4.36703030343558,0.262,0.011,0,"IMM","Adcy7"
0,2.56419617597202,0.265,0.019,0,"IMM","H2-Eb1"
0,3.85512703643275,0.238,0.01,0,"IMM","Fermt3"
0,3.76999080447921,0.237,0.014,0,"IMM","Syk"
