"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.01671107446252,0.845,0.074,0,"PC","Ehf"
0,2.37892711443513,0.811,0.042,0,"PC","Slc14a2"
0,1.36711530714597,0.815,0.06,0,"PC","Plet1"
0,1.19416078700633,0.836,0.096,0,"PC","Hsph1"
0,3.31754427524004,0.761,0.027,0,"PC","Muc20"
0,2.84638781403095,0.765,0.041,0,"PC","Foxq1"
0,2.03020682985707,0.752,0.045,0,"PC","Slco4a1"
0,1.39270851221788,0.71,0.03,0,"PC","Muc1"
0,2.16661360044577,0.714,0.039,0,"PC","Tmem30b"
0,3.50253420071655,0.702,0.028,0,"PC","Wnt4"
0,0.474154763070995,0.735,0.062,0,"PC","Pde1c"
0,1.6637696388668,0.681,0.033,0,"PC","Wnt7b"
0,1.15009906020484,0.66,0.047,0,"PC","Itga2"
0,2.20679094166081,0.655,0.059,0,"PC","Endod1"
0,0.252399842133322,0.63,0.038,0,"PC","Gstm2"
0,0.720122740510748,0.634,0.054,0,"PC","Lhfpl2"
0,0.992648126682306,0.622,0.052,0,"PC","Hacd4"
0,3.01962482688842,0.588,0.02,0,"PC","Adgrf1"
0,1.08387205745329,0.567,0.025,0,"PC","Elf5"
0,2.86224835068805,0.555,0.023,0,"PC","Hspa1a"
0,1.267747413538,0.559,0.039,0,"PC","Gem"
0,1.63629602854816,0.542,0.032,0,"PC","Otulinl"
0,1.77408023851223,0.546,0.037,0,"PC","Gprc5b"
0,0.975782787985129,0.45,0.021,0,"PC","Tnn"
0,2.57368191062056,0.445,0.017,0,"PC","Sbspon"
0,1.87895144385483,0.45,0.024,0,"PC","Rhou"
0,1.40736012223897,0.445,0.025,0,"PC","Elf3"
0,2.30768247066508,0.437,0.023,0,"PC","P2ry14"
0,2.10360437081741,0.37,0.016,0,"PC","Syk"
5.92187034025308e-301,0.368452930476752,0.643,0.056,2.72109942134629e-297,"PC","Gata3"
7.96548047187716e-300,1.33721040123126,0.769,0.087,3.66013827682756e-296,"PC","Mrps6"
1.06768278194503e-290,0.568885567957925,0.403,0.024,4.90600238303739e-287,"PC","Ptges"
1.10483466245966e-290,1.39481397043231,0.437,0.024,5.07671527400215e-287,"PC","Ptger1"
1.29333033942028e-277,0.492589436379117,0.584,0.05,5.9428529096362e-274,"PC","L1cam"
2.51037787961194e-276,2.12413559751275,0.5,0.04,1.15351863568169e-272,"PC","Tm6sf1"
