"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.38017646912952,0.234,0.055,0,"PC_CNT","Frmpd4"
0,0.266553887229723,0.189,0.019,0,"PC_CNT","Fxyd4"
0,4.64471521816257,0.211,0.052,0,"PC_CNT","Pde1c"
0,3.20694716929258,0.191,0.033,0,"PC_CNT","Sptbn2"
0,5.0353932251692,0.207,0.052,0,"PC_CNT","Kif26b"
0,2.95181462195117,0.197,0.046,0,"PC_CNT","Gata3"
0,4.40527742755619,0.198,0.049,0,"PC_CNT","Tpd52l1"
0,3.94291979126444,0.214,0.065,0,"PC_CNT","Ehf"
0,3.53457431421611,0.196,0.048,0,"PC_CNT","Tmem45b"
0,3.81863299023116,0.192,0.047,0,"PC_CNT","Blnk"
0,4.66972667347301,0.146,0.015,0,"PC_CNT","Ptger1"
0,4.99456554349475,0.154,0.033,0,"PC_CNT","Fanca"
0,6.59146705872055,0.128,0.018,0,"PC_CNT","Elf5"
0,3.31011938787465,0.131,0.021,0,"PC_CNT","Muc20"
0,3.93977680874481,0.129,0.024,0,"PC_CNT","Muc1"
2.02020083704046e-303,4.64352529583509,0.148,0.034,9.28282284620091e-300,"PC_CNT","Coro2a"
1.69905981834545e-295,2.90727327761014,0.189,0.054,7.80717986529735e-292,"PC_CNT","Kcnq1"
1.02326263532378e-292,5.56445012692639,0.199,0.063,4.70189180931279e-289,"PC_CNT","Rasgrf2"
3.93463807960173e-289,2.58242258279161,0.231,0.08,1.807966197577e-285,"PC_CNT","Cdkl1"
4.03514743354122e-287,5.06497020875035,0.136,0.03,1.85415024571219e-283,"PC_CNT","Atp10b"
9.02462382497628e-270,3.91203110819179,0.158,0.042,4.1468146475766e-266,"PC_CNT","L1cam"
1.40843203491274e-267,3.66183138772942,0.236,0.089,6.47174520042403e-264,"PC_CNT","Bmpr1b"
5.64378552054801e-262,2.92673471357943,0.152,0.04,2.59331944669181e-258,"PC_CNT","Apela"
1.17301226362305e-259,3.35878158315676,0.213,0.074,5.38999135134793e-256,"PC_CNT","Sim1"
7.36164769733679e-254,3.5832798635817,0.226,0.085,3.38267711692625e-250,"PC_CNT","Cacnb2"
6.94962942123934e-252,3.80882738149812,0.13,0.031,3.19335471905948e-248,"PC_CNT","Gprc5b"
4.97516990029691e-250,2.82808417403843,0.173,0.053,2.28609056918643e-246,"PC_CNT","Plet1"
2.33870484791852e-249,3.5558801009121,0.103,0.019,1.07463487761856e-245,"PC_CNT","Adora1"
9.02333135175988e-242,3.60865577108089,0.163,0.048,4.14622075613367e-238,"PC_CNT","Myo3b"
