"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.41585690061001,0.89,0.057,0,"PECs?","Ncam1"
0,1.14787439952461,0.867,0.089,0,"PECs?","Sdk1"
0,1.7593994573186,0.88,0.122,0,"PECs?","Tbc1d4"
0,3.81113148704741,0.72,0.016,0,"PECs?","Tnc"
0,0.633100081330888,0.75,0.056,0,"PECs?","Cdh6"
0,1.8425793186162,0.761,0.07,0,"PECs?","Chst9"
0,1.18402178384138,0.857,0.167,0,"PECs?","Nr2f2"
0,0.477954166592578,0.791,0.103,0,"PECs?","Fras1"
0,1.31561930496837,0.759,0.087,0,"PECs?","Plce1"
0,0.530654028002927,0.819,0.165,0,"PECs?","Plcb4"
0,0.834717983745553,0.804,0.155,0,"PECs?","Nbea"
0,0.346749222575629,0.727,0.086,0,"PECs?","Dcdc2a"
0,2.21146103427504,0.678,0.05,0,"PECs?","Ppp2r2b"
0,1.4371019584133,0.738,0.112,0,"PECs?","Actn1"
0,1.70582749830944,0.68,0.064,0,"PECs?","Wt1"
0,2.07213649380333,0.688,0.086,0,"PECs?","Timp2"
0,1.43589860857498,0.692,0.106,0,"PECs?","Zbtb7c"
0,0.413511456957171,0.662,0.079,0,"PECs?","Plekhh2"
0,1.36847063034221,0.688,0.109,0,"PECs?","Srgap1"
0,5.86558380056292,0.581,0.008,0,"PECs?","Stc2"
0,2.68930401265941,0.604,0.032,0,"PECs?","Dkk3"
0,1.36821603604863,0.621,0.049,0,"PECs?","Chsy3"
0,0.532638553450685,0.609,0.047,0,"PECs?","Cdh2"
0,1.53768476596054,0.609,0.069,0,"PECs?","Robo1"
0,2.96210943089645,0.577,0.037,0,"PECs?","Mark1"
0,2.31169058735476,0.577,0.048,0,"PECs?","Trpm6"
0,2.88136949499261,0.577,0.054,0,"PECs?","Adamts5"
0,0.98940230389365,0.579,0.075,0,"PECs?","Col4a6"
0,1.59835688503424,0.536,0.046,0,"PECs?","Adgrg6"
0,1.64950000145274,0.527,0.039,0,"PECs?","Proser2"
0,0.853622569844789,0.522,0.04,0,"PECs?","Cpe"
0,1.70382150500454,0.552,0.073,0,"PECs?","Pid1"
0,1.23119821041923,0.554,0.081,0,"PECs?","Fstl1"
0,5.50369317822074,0.46,0.011,0,"PECs?","Wnt16"
0,2.18692706278847,0.497,0.048,0,"PECs?","Gli3"
0,0.343692188541081,0.515,0.069,0,"PECs?","Kctd1"
0,4.82940208951868,0.453,0.01,0,"PECs?","Lsp1"
0,2.80761650541707,0.474,0.038,0,"PECs?","Abi3bp"
0,1.11377711334688,0.469,0.056,0,"PECs?","Thbs1"
0,1.08290321508951,0.423,0.044,0,"PECs?","Aebp1"
0,1.5495534429603,0.418,0.04,0,"PECs?","Pdpn"
0,4.14286672328818,0.381,0.014,0,"PECs?","Cacna1g"
0,3.20400014709131,0.377,0.019,0,"PECs?","Gxylt2"
0,2.9554632640446,0.331,0.02,0,"PECs?","Antxr1"
0,1.82026943987676,0.313,0.023,0,"PECs?","Rhou"
0,2.27882813634075,0.29,0.015,0,"PECs?","Bmp3"
0,2.38001643947764,0.273,0.014,0,"PECs?","Aldh1a2"
4.19170520737113e-306,0.478558937244824,0.536,0.085,1.92608854278704e-302,"PECs?","B130024G19Rik"
3.2893061664185e-305,1.50503729345695,0.372,0.038,1.5114361834693e-301,"PECs?","Amph"
1.51389074431829e-303,2.2726810401617,0.358,0.031,6.95632797014253e-300,"PECs?","Foxd1"
2.71109394213132e-296,0.376400711424404,0.832,0.199,1.24574766640934e-292,"PECs?","Oxr1"
6.55677593630124e-293,1.73834251210682,0.373,0.043,3.01283854273042e-289,"PECs?","Foxc1"
4.2070973619409e-292,1.57203105836507,0.296,0.027,1.93316123781184e-288,"PECs?","Arl4c"
1.36980901599253e-290,0.900156835546604,0.577,0.102,6.29427242848566e-287,"PECs?","Anxa3"
2.01163708610777e-288,0.442333180465903,0.65,0.124,9.2434724106652e-285,"PECs?","Gulp1"
2.23542054555498e-287,1.45367178665325,0.37,0.044,1.02717574068251e-283,"PECs?","Epha7"
3.9633427475098e-284,0.566430241358643,0.358,0.04,1.82115599248075e-280,"PECs?","Klhl14"
4.5411018892872e-279,2.31379420969634,0.4,0.052,2.08663631812747e-275,"PECs?","Svep1"
3.14736834396239e-275,0.433015362618889,0.559,0.097,1.44621575405072e-271,"PECs?","St6gal1"
1.71845634510798e-274,2.10257259559855,0.235,0.016,7.89630690577117e-271,"PECs?","C3"
4.21320489714773e-255,0.915995826842854,0.428,0.064,1.93596765023938e-251,"PECs?","Sned1"
1.2430618651405e-254,0.914138551268052,0.706,0.159,5.7118692703206e-251,"PECs?","Fry"
3.36772819461055e-242,2.34208311119065,0.315,0.038,1.54747110542355e-238,"PECs?","Mxra7"
8.08449439393045e-237,0.676695554702079,0.531,0.103,3.71482517401104e-233,"PECs?","Fmnl3"
2.67167956856897e-234,1.86667116357576,0.336,0.042,1.22763676175744e-230,"PECs?","Dock11"
1.17494400139317e-228,0.77819183240618,0.324,0.042,5.39886768640161e-225,"PECs?","Pxdn"
1.67629632870258e-225,1.9819240505946,0.379,0.058,7.70258163038836e-222,"PECs?","Nid1"
2.41377806452773e-208,1.2922659168752,0.375,0.059,1.10913102065049e-204,"PECs?","Map1b"
9.98954772786807e-205,1.93322883272023,0.184,0.014,4.59019718095538e-201,"PECs?","Smad9"
9.03898827166123e-196,4.3795727429075,0.269,0.006,4.15341511082834e-192,"PECs?","Adam33"
6.85600054156243e-191,1.78578270406162,0.281,0.038,3.15033224884794e-187,"PECs?","Fbn1"
5.634305805623e-173,0.410499791170109,0.419,0.084,2.58896351768377e-169,"PECs?","Epha4"
7.56316317833217e-169,1.8293026465848,0.264,0.035,3.47527348044363e-165,"PECs?","Cyp1b1"
9.53517136994267e-169,0.563217755773967,0.281,0.041,4.38141124448866e-165,"PECs?","Nid2"
7.2635426400828e-168,3.60246791250426,0.195,0.017,3.33759784311805e-164,"PECs?","Lpcat2"
7.14239942486806e-167,0.605138080560438,0.306,0.049,3.28193253572687e-163,"PECs?","Dennd2a"
2.87839231187244e-165,1.11888268381329,0.283,0.041,1.32262126730539e-161,"PECs?","Fgf12"
1.72252864312034e-164,1.61347265566791,0.209,0.021,7.91501911513797e-161,"PECs?","Nbl1"
2.77805640644542e-163,1.82056504417274,0.163,0.008,1.27651691876167e-159,"PECs?","Edn3"
1.06693883533748e-162,0.63029915344852,0.319,0.053,4.90258394837572e-159,"PECs?","Dlgap1"
1.17580878973459e-155,1.07935619252213,0.273,0.04,5.40284138883046e-152,"PECs?","Tbc1d9"
1.21673379855441e-151,0.545319231123002,0.304,0.052,5.59089180435753e-148,"PECs?","Sox4"
1.37192039286077e-151,3.44991834843359,0.136,0.011,6.30397420519522e-148,"PECs?","Hoxd10"
8.86074179661606e-145,0.576768846405066,0.204,0.023,4.07151085554508e-141,"PECs?","Pamr1"
9.3500152974482e-140,0.576729772452391,0.218,0.028,4.29633202917745e-136,"PECs?","Cdh3"
2.06835081497429e-139,3.20152801787182,0.216,0.018,9.50407199480686e-136,"PECs?","Lbp"
2.19486565759139e-134,3.60277122118036,0.214,0.012,1.00854076966324e-130,"PECs?","Trank1"
