"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.91272171726909,0.719,0.009,0,"PROLIF","Top2a"
0,4.93213700981663,0.735,0.036,0,"PROLIF","Diaph3"
0,6.86480954197777,0.658,0.008,0,"PROLIF","Mki67"
0,7.06507953646318,0.658,0.011,0,"PROLIF","Anln"
0,2.89451222086111,0.668,0.028,0,"PROLIF","Cenpp"
0,5.83999253345828,0.648,0.011,0,"PROLIF","Knl1"
0,5.46125930592941,0.607,0.007,0,"PROLIF","Tpx2"
0,4.85310127561616,0.622,0.022,0,"PROLIF","Kif23"
0,7.81022893161263,0.602,0.005,0,"PROLIF","Kif4"
0,7.69068731011397,0.582,0.007,0,"PROLIF","Prc1"
0,8.24428585352219,0.582,0.008,0,"PROLIF","Lockd"
0,6.39968379044184,0.577,0.006,0,"PROLIF","Kif11"
0,6.40219992307476,0.566,0.012,0,"PROLIF","Nusap1"
0,4.94836677455137,0.571,0.022,0,"PROLIF","Kif20b"
0,6.99271341581382,0.536,0.005,0,"PROLIF","Cenpf"
0,4.57060902798747,0.561,0.034,0,"PROLIF","Atad2"
0,2.12605239181816,0.515,0.006,0,"PROLIF","Ckap2"
5.63155907238716e-282,4.61731928048859,0.362,0.007,2.5877013937619e-278,"PROLIF","Gas2l3"
1.78249479233939e-280,7.33268563099618,0.474,0.005,8.19056357079949e-277,"PROLIF","Cdca8"
1.07239694267519e-278,4.37769372380374,0.434,0.005,4.92766395159251e-275,"PROLIF","Aspm"
6.14262751083683e-259,6.90457056917521,0.51,0.004,2.82253734122952e-255,"PROLIF","Cdca2"
1.07701237992259e-258,5.87399021729282,0.464,0.005,4.94887188574431e-255,"PROLIF","Mis18bp1"
7.94298674741563e-258,2.46605077889416,0.398,0.022,3.64980241043748e-254,"PROLIF","Stmn1"
3.38129984607516e-213,9.32365763289498,0.515,0.003,1.55370727927154e-209,"PROLIF","Hmmr"
7.15014614446867e-199,7.59449581131182,0.515,0.004,3.28549215338336e-195,"PROLIF","Neil3"
4.29520986816329e-193,3.88524169170245,0.429,0.034,1.97364893442103e-189,"PROLIF","Rad18"
4.87944176531708e-192,6.23158906412802,0.352,0.007,2.2421034911632e-188,"PROLIF","Fancd2"
5.71043876751175e-189,7.89061280261822,0.418,0.004,2.62394661367165e-185,"PROLIF","Bub1b"
3.26136490819734e-187,5.23422053946532,0.357,0.006,1.49859717531668e-183,"PROLIF","Cip2a"
