"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.37430683751641,0.208,0.038,0,"PT-1","Mlxipl"
0,3.68984355123218,0.22,0.056,0,"PT-1","Glis1"
0,5.28240284142955,0.222,0.058,0,"PT-1","Slc47a1"
0,2.87902451851057,0.193,0.035,0,"PT-1","Cyp2j13"
0,1.53913345172083,0.225,0.068,0,"PT-1","Abcc2"
0,5.04863442298955,0.19,0.034,0,"PT-1","Acsm1"
0,5.42925683070891,0.241,0.085,0,"PT-1","Bnc2"
0,4.88269238249324,0.207,0.052,0,"PT-1","Hnf4a"
0,0.395547784598151,0.028,0.183,0,"PT-1","Hip1"
0,5.81505450535828,0.198,0.044,0,"PT-1","Slc34a1"
0,2.60432648775696,0.212,0.059,0,"PT-1","Trim7"
0,3.38176686034434,0.214,0.063,0,"PT-1","Pdzk1"
0,3.13724272408287,0.218,0.067,0,"PT-1","Tinag"
0,1.8606050116065,0.218,0.068,0,"PT-1","Them7"
0,5.21574832236326,0.181,0.031,0,"PT-1","Agxt2"
0,5.17673156671231,0.183,0.034,0,"PT-1","Hnf4aos"
0,4.91884219203495,0.189,0.042,0,"PT-1","B3gat2"
0,5.77192130398545,0.19,0.044,0,"PT-1","Pah"
0,6.07518664321268,0.203,0.057,0,"PT-1","Ppara"
0,5.81928205361242,0.191,0.046,0,"PT-1","Hgd"
0,5.6041648905637,0.207,0.063,0,"PT-1","Nr1h4"
0,1.5508407664263,0.23,0.087,0,"PT-1","Slc27a2"
0,5.92016900195653,0.203,0.06,0,"PT-1","Glyat"
0,1.38981467335297,0.183,0.041,0,"PT-1","Slc13a3"
0,2.64459471434504,0.192,0.051,0,"PT-1","Slco1a6"
0,5.19741863082904,0.19,0.049,0,"PT-1","Slc6a20b"
0,0.621614259625814,0.2,0.06,0,"PT-1","Hnf4g"
0,5.68334722550322,0.189,0.049,0,"PT-1","Slc17a1"
0,4.94350168283282,0.209,0.07,0,"PT-1","Cubn"
0,5.16915061467348,0.197,0.059,0,"PT-1","Aoah"
0,1.85313293205201,0.226,0.089,0,"PT-1","Pter"
0,2.1800354330507,0.208,0.071,0,"PT-1","Rhobtb1"
0,4.50646389294409,0.179,0.043,0,"PT-1","Slc17a3"
0,2.17040179316998,0.201,0.066,0,"PT-1","Galnt14"
0,2.2003589922042,0.214,0.08,0,"PT-1","Gas2"
0,5.07914524857611,0.187,0.054,0,"PT-1","Aspa"
0,3.57355997378815,0.231,0.098,0,"PT-1","Kcnj15"
0,2.86087754386801,0.19,0.057,0,"PT-1","Mapk4"
0,2.65488883538185,0.215,0.083,0,"PT-1","Cyp2j5"
