"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.56756271056198,0.591,0.102,0,"Undef","Pax2"
0,2.51356605032779,0.517,0.063,0,"Undef","Ehf"
0,0.338434587683827,0.593,0.14,0,"Undef","Gramd1b"
0,2.71455815124909,0.499,0.072,0,"Undef","Sim1"
0,4.12441578876965,0.517,0.116,0,"Undef","Tbc1d4"
0,0.524694697809844,0.599,0.208,0,"Undef","Utrn"
0,4.68506861247694,0.422,0.032,0,"Undef","Proser2"
0,2.24097528676462,0.447,0.068,0,"Undef","Tiam1"
0,2.72250127728539,0.4,0.022,0,"Undef","Slc4a11"
0,2.1078569390391,0.383,0.023,0,"Undef","Bst1"
0,1.64943429417839,0.442,0.084,0,"Undef","Srgap3"
0,0.33691259603289,0.526,0.174,0,"Undef","Rbms3"
0,1.24158865828371,0.427,0.082,0,"Undef","Cdkl1"
0,2.30313250703374,0.396,0.052,0,"Undef","Cdh6"
0,3.30973426355691,0.408,0.066,0,"Undef","Chst9"
0,1.57680712438596,0.499,0.16,0,"Undef","Tpm1"
0,2.85672889545655,0.376,0.038,0,"Undef","Apela"
0,2.35540065448044,0.443,0.113,0,"Undef","Btg1"
0,0.978564567905867,0.505,0.18,0,"Undef","Ankrd44"
0,1.94779767675602,0.351,0.031,0,"Undef","Bcat1"
0,4.16820649611036,0.361,0.045,0,"Undef","Scel"
0,1.33692716871003,0.384,0.071,0,"Undef","Satb2"
0,3.65803402050664,0.336,0.028,0,"Undef","Rtn1"
0,1.75276726519172,0.429,0.121,0,"Undef","Abcc4"
0,3.51520636178789,0.331,0.026,0,"Undef","Wnt7b"
0,2.47079882243907,0.357,0.053,0,"Undef","Plet1"
0,0.721414653199541,0.393,0.094,0,"Undef","Slc22a23"
0,1.86645953910001,0.387,0.089,0,"Undef","Hsph1"
0,2.04208243381681,0.397,0.101,0,"Undef","Fras1"
0,0.486027000474402,0.382,0.094,0,"Undef","Stk39"
0,0.635750329927884,0.359,0.071,0,"Undef","Scin"
0,1.72200243350892,0.313,0.031,0,"Undef","Rasl11b"
0,0.299960306377185,0.382,0.102,0,"Undef","Cp"
0,1.40974010537127,0.364,0.089,0,"Undef","Bcam"
0,3.06120579634572,0.311,0.038,0,"Undef","Epha7"
0,0.911930702372495,0.318,0.057,0,"Undef","Jazf1"
0,3.55194927072133,0.326,0.072,0,"Undef","Col4a6"
0,3.34386100830114,0.274,0.028,0,"Undef","Pgm5"
0,1.50858247291127,0.276,0.032,0,"Undef","Klf5"
0,4.03938064824391,0.277,0.04,0,"Undef","Chst8"
0,4.13346855423625,0.259,0.024,0,"Undef","D030045P18Rik"
0,2.79086884445508,0.263,0.034,0,"Undef","Tmem30b"
0,2.78931130500479,0.268,0.041,0,"Undef","Slco4a1"
0,2.05307567071105,0.272,0.048,0,"Undef","Hacd4"
0,2.30196546071325,0.251,0.027,0,"Undef","Fst"
0,1.80182443222618,0.268,0.045,0,"Undef","L1cam"
0,4.2332442744989,0.238,0.02,0,"Undef","Zan"
0,2.59010068830459,0.269,0.053,0,"Undef","Thbs1"
0,4.20588785166521,0.247,0.04,0,"Undef","Foxc1"
0,2.65983687530507,0.237,0.039,0,"Undef","Slc14a2"
0,2.70714552513391,0.221,0.026,0,"Undef","F2rl1"
0,1.02402816059059,0.221,0.028,0,"Undef","Ccnjl"
0,0.267022198041003,0.225,0.038,0,"Undef","Fam174b"
0,2.31220827789538,0.219,0.038,0,"Undef","Nid2"
0,2.31671522451776,0.196,0.025,0,"Undef","Lrrc31"
0,3.10822599588977,0.188,0.02,0,"Undef","Hspa1a"
0,0.503678409103035,0.173,0.011,0,"Undef","Misp"
0,6.35641702377387,0.163,0.009,0,"Undef","Mkx"
0,4.40588856852016,0.166,0.019,0,"Undef","Slc1a3"
0,1.58757764654209,0.156,0.015,0,"Undef","Cldn4"
0,4.72535408334803,0.138,0.012,0,"Undef","Phgdh"
2.42992101448117e-304,1.94962903198794,0.23,0.041,1.1165487061541e-300,"Undef","Cpne2"
2.28375065565963e-303,4.60708455369937,0.23,0.042,1.0493834262756e-299,"Undef","Abcg1"
2.63339485520761e-293,1.96504194028888,0.201,0.031,1.2100449359679e-289,"Undef","Camk2b"
1.58133951991978e-290,1.7615678618584,0.185,0.029,7.26625509403141e-287,"Undef","Capg"
2.88277717457003e-287,3.50547320013158,0.214,0.037,1.32463611171493e-283,"Undef","Klhl14"
