"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.27326449010564,0.834,0.054,0,"Uro","Gata3"
0,0.931178176012732,0.883,0.112,0,"Uro","Atp8b1"
0,0.644057009483862,0.796,0.073,0,"Uro","Ehf"
0,2.09901581341593,0.742,0.037,0,"Uro","Runx1"
0,4.25847972767033,0.73,0.026,0,"Uro","Rab27b"
0,2.75901417905144,0.742,0.04,0,"Uro","Foxq1"
0,1.69427888743134,0.776,0.075,0,"Uro","Col4a6"
0,0.528466275444276,0.821,0.126,0,"Uro","Abcc4"
0,4.43708291463365,0.681,0.015,0,"Uro","Kcnk2"
0,0.316654618418783,0.758,0.099,0,"Uro","Efna5"
0,0.93141720393628,0.719,0.076,0,"Uro","Gpr39"
0,3.36475030637122,0.628,0.018,0,"Uro","Abcc3"
0,3.76027825524417,0.617,0.009,0,"Uro","Krt19"
0,0.578540111200716,0.686,0.082,0,"Uro","Myzap"
0,0.29554134580889,0.666,0.064,0,"Uro","Lurap1l"
0,7.71046588210666,0.605,0.003,0,"Uro","Upk1b"
0,0.362394956412404,0.638,0.039,0,"Uro","Ahr"
0,0.759694988120295,0.671,0.076,0,"Uro","Tiam1"
0,1.28327889272944,0.625,0.04,0,"Uro","Styk1"
0,0.396945903738936,0.63,0.057,0,"Uro","Tmem45b"
0,7.67749309492422,0.559,0.003,0,"Uro","Gsdmc2"
0,1.50315582777372,0.628,0.074,0,"Uro","Apobec3"
0,0.732455722780202,0.602,0.059,0,"Uro","Plet1"
0,1.96162682758751,0.612,0.074,0,"Uro","Pid1"
0,1.93002564578577,0.564,0.029,0,"Uro","Krt18"
0,1.21236427623728,0.599,0.071,0,"Uro","Robo1"
0,1.56249141791352,0.589,0.073,0,"Uro","Chst9"
0,1.50633233003753,0.569,0.054,0,"Uro","Tspan8"
0,1.40823992000965,0.571,0.06,0,"Uro","Pla2g4a"
0,2.88378667490509,0.561,0.059,0,"Uro","Piezo2"
0,8.45022538146088,0.505,0.006,0,"Uro","Gsdmc3"
0,0.908266069152861,0.543,0.048,0,"Uro","Adgrg6"
0,1.34424718812278,0.546,0.055,0,"Uro","Fam3c"
0,0.605208468998116,0.526,0.035,0,"Uro","Macc1"
0,4.80514809655264,0.49,0.003,0,"Uro","Clca3a2"
0,1.8588881114245,0.518,0.032,0,"Uro","Trp63"
0,1.39732572717121,0.52,0.047,0,"Uro","Itga2"
0,3.34804235531305,0.457,0.015,0,"Uro","Bmp3"
0,2.27828266999326,0.457,0.022,0,"Uro","Snx31"
0,1.56195610910183,0.469,0.037,0,"Uro","Ptpre"
0,1.9705838078612,0.462,0.033,0,"Uro","Dapp1"
0,3.67243410818918,0.441,0.013,0,"Uro","Gsto1"
0,2.35728978895932,0.449,0.022,0,"Uro","Gsta4"
0,2.57395472413017,0.452,0.028,0,"Uro","Wnt4"
0,4.47335309657383,0.434,0.018,0,"Uro","Bace2"
0,2.56391500552679,0.418,0.011,0,"Uro","Rasef"
0,1.76411390759007,0.436,0.032,0,"Uro","Ctnnd2"
0,3.45078629056045,0.362,0.009,0,"Uro","Il18r1"
0,2.68357789802862,0.357,0.012,0,"Uro","Sdc1"
