"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.78358833001753e-143,1.02681783465516,0.395,0.145,2.65755883764306e-139,"PT-2","Cox8a"
7.28552427116016e-68,2.10185320755143,0.246,0.096,3.34769840259809e-64,"PT-2","Uqcr11"
2.38455586086469e-43,5.65302025066165,0.159,0.063,1.09570341806733e-39,"PT-2","Romo1"
1.31500907529582e-35,0.694436477844951,0.109,0.011,6.04246670098428e-32,"PC","Suox"
4.22400494164959e-24,0.89180699056844,0.324,0.099,1.94093027068799e-20,"PC","Uqcr11"
9.1501560186547e-24,1.65740064142889,0.122,0.022,4.20449669057183e-20,"PC","Polr2i"
0,1.85479839098796,0.225,0.024,0,"FIB","Zcchc24"
1.03178157738444e-301,0.5215572980918,0.428,0.137,4.74103634808149e-298,"FIB","Cox8a"
3.06597900098956e-251,0.904398534086601,0.163,0.021,1.4088173509547e-247,"FIB","Gpsm1"
1.23694705645566e-80,8.03144476498652,0.15,0.053,5.68377172441376e-77,"FIB","Ndufs6"
8.28032234239458e-132,2.68123130783906,0.2,0.027,3.80480811633031e-128,"PECs?","Tfpi"
2.90388068118232e-12,0.389041114774236,0.204,0.099,1.33433317300328e-08,"PECs?","Uqcr11"
3.33106474514612e-66,0.978383179196077,0.362,0.147,1.53062425039464e-62,"IMM","Cox8a"
7.95953517657318e-37,1.02142970234106,0.253,0.147,3.65740641363537e-33,"Undef","Cox8a"
7.00441897000995e-05,1.0832271228764,0.134,0.098,0.321853051671957,"Undef","Uqcr11"
0,4.81289517664841,0.137,0.035,0,"PT-1","Slc9a3"
3.37798468718487e-60,0.412993479497322,0.096,0.166,1.55218396376145e-56,"PT-1","Cox8a"
1.25198128799071e-47,1.0792531779963,0.197,0.096,5.75285401831732e-44,"PODO","Uqcr11"
2.34243157201526e-38,1.07355466594013,0.213,0.033,1.07634730734101e-34,"EC-6","Zcchc24"
1.33906290539337e-23,0.661321220697456,0.153,0.028,6.15299405028252e-20,"EC-6","Tfpi"
7.44379641163686e-153,1.35156134661926,0.18,0.03,3.42042445114714e-149,"EC-3","Zcchc24"
8.1403266146536e-99,1.8453566078844,0.401,0.145,3.74048007943333e-95,"EC-3","Cox8a"
1.59038119472346e-16,2.63888260865476,0.112,0.027,7.30780158975428e-13,"ATL","Gpsm1"
9.89087199915963e-09,1.09026306418497,0.1,0.035,4.54485568361385e-05,"ATL","Higd2a"
1.99293326335998e-07,0.579853435237947,0.253,0.15,0.00091575283451391,"ATL","Cox8a"
1.42111684443164e-135,1.08443978243827,0.131,0.029,6.5300319001634e-132,"EC-2","Zcchc24"
7.40036953253137e-54,0.460286861614498,0.169,0.032,3.40046980019816e-50,"EC-4","Zcchc24"
3.19685346304626e-134,0.319389648354673,0.414,0.145,1.46895416626975e-130,"vSMC/MC","Cox8a"
1.22656438199781e-35,2.25195507559469,0.109,0.032,5.63606333527995e-32,"vSMC/MC","Zcchc24"
5.42916631201606e-34,5.54725968678909,0.176,0.076,2.49470192037138e-30,"vSMC/MC","Rnasek"
3.11258435750607e-10,1.17855472666213,0.113,0.154,1.43023251227404e-06,"PC_CNT","Cox8a"
2.0311266460222e-56,2.5917573363618,0.29,0.033,9.33302693847202e-53,"ADIPO","Zcchc24"
0.000401755057766822,0.752509025240733,0.065,0.1,1,"IC-A","Uqcr11"
4.09270345879612e-18,1.30295606707787,0.121,0.033,1.88059723931682e-14,"EC-1(gEC)","Zcchc24"
8.19325829483483e-29,0.554114601163366,0.086,0.156,3.7648021864766e-25,"TAL-2","Cox8a"
4.71552874050855e-20,1.5708825107847,0.054,0.103,2.16678545626368e-16,"TAL-2","Uqcr11"
