"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.02386869669203,0.703,0.174,0,"vSMC/MC","Cald1"
0,5.17217066502413,0.637,0.156,0,"vSMC/MC","Dlc1"
0,1.43991529632245,0.574,0.106,0,"vSMC/MC","Rcan2"
0,2.29274135533337,0.6,0.154,0,"vSMC/MC","Fry"
0,0.941722437963547,0.559,0.139,0,"vSMC/MC","Hip1"
0,7.38642070283414,0.442,0.029,0,"vSMC/MC","Rgs5"
0,4.23528399831072,0.53,0.122,0,"vSMC/MC","Sorbs2"
0,0.920676913949394,0.436,0.056,0,"vSMC/MC","Serpine2"
0,7.09193805797773,0.423,0.053,0,"vSMC/MC","Flna"
0,4.94140191430301,0.462,0.1,0,"vSMC/MC","Thsd4"
0,0.358633902401805,0.434,0.089,0,"vSMC/MC","Cacnb2"
0,3.7337865191049,0.417,0.077,0,"vSMC/MC","Lbh"
0,5.39630326456195,0.372,0.041,0,"vSMC/MC","Gucy1a1"
0,1.52099901556977,0.326,0.041,0,"vSMC/MC","Ngf"
0,1.84100823486344,0.355,0.07,0,"vSMC/MC","Ltbp1"
0,3.17891891290243,0.299,0.016,0,"vSMC/MC","Itga4"
0,2.19761300922978,0.335,0.053,0,"vSMC/MC","Gata3"
0,3.86382335682433,0.287,0.015,0,"vSMC/MC","S1pr3"
0,2.31856847334201,0.321,0.053,0,"vSMC/MC","Adamts5"
0,3.31295822187345,0.319,0.056,0,"vSMC/MC","Piezo2"
0,1.62487920400815,0.299,0.044,0,"vSMC/MC","Csrp1"
0,6.60144702107447,0.257,0.017,0,"vSMC/MC","Synpo2"
0,1.63016209213061,0.194,0.008,0,"vSMC/MC","Pdlim3"
0,5.31119876751589,0.175,0.009,0,"vSMC/MC","Ldb3"
4.47368985883235e-304,7.38376609183855,0.185,0.02,2.05566049013347e-300,"vSMC/MC","Rgs2"
7.24469875267904e-302,6.5416964825122,0.362,0.072,3.32893907685602e-298,"vSMC/MC","Ccn2"
1.76052815371434e-290,6.13433915999812,0.19,0.022,8.08962686631741e-287,"vSMC/MC","Col19a1"
2.88802668021219e-280,0.976981009853592,0.351,0.072,1.3270482595575e-276,"vSMC/MC","Dock10"
6.67545226971475e-261,0.47245226094739,0.419,0.098,3.06737031793393e-257,"vSMC/MC","Pde1a"
4.07834511525139e-258,2.42216082583012,0.193,0.024,1.87399958045801e-254,"vSMC/MC","Col12a1"
3.47940409379178e-255,2.25135908724195,0.244,0.039,1.59878618109732e-251,"vSMC/MC","Gjc1"
5.17923584845902e-250,2.00848652040337,0.352,0.075,2.37985887236692e-246,"vSMC/MC","Mgp"
2.51882352876055e-246,2.44689979079047,0.251,0.038,1.15739941146547e-242,"vSMC/MC","Mark1"
6.50902058236363e-245,6.90572025539552,0.304,0.058,2.99089495759609e-241,"vSMC/MC","Crip1"
2.93056850346236e-234,2.01370372804522,0.172,0.007,1.34659622734096e-230,"vSMC/MC","Prkg2"
2.48818132104629e-232,0.565101967186084,0.557,0.178,1.14331931702077e-228,"vSMC/MC","Tmsb4x"
2.30577475829713e-230,3.05601013780602,0.269,0.05,1.05950350143753e-226,"vSMC/MC","Axl"
5.0551210544247e-229,2.31793256826965,0.35,0.083,2.32282812450815e-225,"vSMC/MC","B130024G19Rik"
3.87142053211891e-227,2.58716887752883,0.156,0.013,1.77891773450864e-223,"vSMC/MC","Rab6b"
2.04176871204075e-222,3.66736339368444,0.395,0.103,9.38192723182724e-219,"vSMC/MC","Msrb3"
4.04899432693492e-221,2.96337506693867,0.64,0.215,1.8605128932266e-217,"vSMC/MC","Pbx1"
1.26291993043888e-208,2.48205689194781,0.178,0.016,5.80311708036664e-205,"vSMC/MC","Ptp4a3"
1.91053608318198e-208,7.85059782901346,0.174,0.025,8.77891330222121e-205,"vSMC/MC","Nexn"
3.89943496316974e-200,1.52532328445692,0.212,0.038,1.7917903655765e-196,"vSMC/MC","Arhgef6"
3.86908220249166e-195,4.08832656526369,0.251,0.047,1.77784327204492e-191,"vSMC/MC","Mfge8"
2.28490291522381e-189,4.54019155775307,0.326,0.079,1.04991288954534e-185,"vSMC/MC","Mt1"
2.74635875218795e-187,0.72896729055214,0.292,0.069,1.26195184663036e-183,"vSMC/MC","Vim"
2.07519248124541e-184,2.08374593086313,0.193,0.034,9.53550945132265e-181,"vSMC/MC","Col5a2"
4.81101689639393e-177,0.282254822930224,0.289,0.07,2.21066226389301e-173,"vSMC/MC","Robo1"
3.46394221250512e-172,0.394682466551622,0.422,0.134,1.5916814466461e-168,"vSMC/MC","Fign"
1.48946152712882e-171,4.53091485723351,0.476,0.164,6.84407571715692e-168,"vSMC/MC","Tpm1"
4.20475305090568e-170,2.53199140357432,0.161,0.011,1.93208402689116e-166,"vSMC/MC","Gja5"
6.98709948100218e-166,6.49313077099738,0.223,0.047,3.2105722115205e-162,"vSMC/MC","Atp2b4"
1.04130132530742e-163,1.02009556862837,0.454,0.145,4.78477958978759e-160,"vSMC/MC","Gpx3"
3.54762587259173e-163,1.35171879152523,0.509,0.188,1.6301340884559e-159,"vSMC/MC","Rasal2"
1.28332151398334e-159,0.817397025220826,0.304,0.082,5.89686235675346e-156,"vSMC/MC","Rcsd1"
3.16075145844786e-156,0.872068264461778,0.163,0.029,1.45236529515679e-152,"vSMC/MC","Abcc9"
5.54122014902834e-148,2.28413881087524,0.29,0.079,2.54619065847852e-144,"vSMC/MC","Ifitm3"
1.44792977726035e-145,1.7972690579633,0.441,0.155,6.65323732651131e-142,"vSMC/MC","Rpl28"
1.17313035202646e-143,1.24840904466644,0.203,0.044,5.39053396756157e-140,"vSMC/MC","Lrp1"
5.41625729070883e-142,1.29746002852067,0.24,0.048,2.48877022508071e-138,"vSMC/MC","Serping1"
6.26282984709883e-142,1.17025814595171,0.304,0.085,2.87777031474191e-138,"vSMC/MC","Eml1"
1.25765324194236e-140,3.39611435343616,0.406,0.138,5.77891664672515e-137,"vSMC/MC","Cox4i1"
1.41615508830771e-140,6.60626556519998,0.137,0.023,6.50723263077391e-137,"vSMC/MC","Ckb"
2.9798403486441e-136,2.61646259579472,0.348,0.113,1.36923664020196e-132,"vSMC/MC","Actn1"
4.18505181606158e-136,2.0048678387875,0.524,0.2,1.9230313094803e-132,"vSMC/MC","Tpt1"
3.95285711806294e-135,2.12329080938031,0.47,0.17,1.81633784574992e-131,"vSMC/MC","Ftl1"
3.19685346304626e-134,0.319389648354673,0.414,0.145,1.46895416626975e-130,"vSMC/MC","Cox8a"
3.90969288902906e-134,3.71842649087282,0.382,0.132,1.79650388250885e-130,"vSMC/MC","Sparc"
2.46564933339399e-129,3.5644605862357,0.158,0.023,1.13296586869454e-125,"vSMC/MC","Rasgrp2"
7.31911143698943e-127,2.75029056375829,0.338,0.112,3.36313170529664e-123,"vSMC/MC","Epb41l2"
2.7398370729394e-126,1.11458594780468,0.154,0.022,1.25895513501565e-122,"vSMC/MC","Mbnl3"
2.8617253129976e-126,0.408970232311368,0.514,0.207,1.3149627813224e-122,"vSMC/MC","Crim1"
3.27115259912778e-126,2.94524248168027,0.157,0.024,1.50309461929921e-122,"vSMC/MC","Pakap"
4.60686041223081e-126,1.5719313302734,0.428,0.155,2.11685235942006e-122,"vSMC/MC","Nbea"
6.50967921768652e-126,0.788127924751261,0.129,0.018,2.99119760052695e-122,"vSMC/MC","Adcy3"
1.23425724941221e-123,0.977974483625156,0.212,0.052,5.67141206104911e-120,"vSMC/MC","Dlgap1"
5.24609555037148e-123,1.12805813560566,0.204,0.047,2.4105809053957e-119,"vSMC/MC","Nostrin"
5.18524556447953e-121,1.33703928462038,0.483,0.185,2.38262033687835e-117,"vSMC/MC","Fth1"
2.42934189235537e-120,2.25374400865448,0.313,0.089,1.11628259953729e-116,"vSMC/MC","Plce1"
1.64009385900119e-119,2.53174189137703,0.381,0.135,7.53623128211045e-116,"vSMC/MC","Palld"
1.71201416258329e-115,1.76025010325217,0.177,0.041,7.86670507707024e-112,"vSMC/MC","Pdlim7"
1.49330781252682e-114,2.03300426406981,0.442,0.176,6.86174939856075e-111,"vSMC/MC","Rps8"
2.54875006063579e-114,3.59247314531752,0.543,0.225,1.17115065286214e-110,"vSMC/MC","Eef1a1"
2.96719013080802e-114,0.927789326334059,0.208,0.034,1.36342386510628e-110,"vSMC/MC","Speg"
7.04401488643431e-104,1.42882056729129,0.243,0.061,3.23672484031657e-100,"vSMC/MC","Hba-a1"
7.24841427428525e-104,0.969776443811322,0.203,0.055,3.33064635903407e-100,"vSMC/MC","Cavin1"
8.18864972112801e-104,1.28481705458182,0.331,0.116,3.76268454685832e-100,"vSMC/MC","Gapdh"
1.94425196252827e-103,1.54464292896361,0.121,0.02,8.93383776781741e-100,"vSMC/MC","Antxr1"
2.50750556734273e-102,4.76614576183626,0.307,0.096,1.15219880819398e-98,"vSMC/MC","St6gal1"
1.69870264930503e-100,1.13577196240013,0.177,0.044,7.80553867355661e-97,"vSMC/MC","Foxc1"
6.93986917228916e-100,0.888218605118851,0.209,0.058,3.18886988466687e-96,"vSMC/MC","Slc2a13"
1.28453767210027e-99,1.7729479933589,0.157,0.037,5.90245060330073e-96,"vSMC/MC","Ntm"
4.87395957505079e-97,0.591495307599226,0.325,0.119,2.23958442473584e-93,"vSMC/MC","Rpl14"
5.82930429051664e-96,0.669124243712461,0.16,0.037,2.6785653214924e-92,"vSMC/MC","Fbn1"
9.08973977608609e-92,4.36595723840133,0.363,0.145,4.17673542711156e-88,"vSMC/MC","Actg1"
8.57344877204827e-88,1.4782490628553,0.371,0.154,3.93949971075618e-84,"vSMC/MC","Cd81"
1.63008623399045e-87,4.04178557962758,0.366,0.147,7.4902462451861e-84,"vSMC/MC","Rpsa"
1.01413053102127e-86,1.74836356207742,0.204,0.063,4.65992979004273e-83,"vSMC/MC","Lamb2"
2.46928486357285e-86,3.74148235805076,0.295,0.108,1.13463639481173e-82,"vSMC/MC","Nme2"
1.21993660585937e-84,4.76514923678758,0.128,0.029,5.60560870392381e-81,"vSMC/MC","Unc5b"
6.92822842107833e-84,1.81199356819076,0.122,0.018,3.18352095948549e-80,"vSMC/MC","Ccdc3"
1.12339849488303e-83,0.933008318543717,0.194,0.058,5.16201608398753e-80,"vSMC/MC","Nid1"
2.20829179981134e-83,1.26715900141622,0.176,0.049,1.01471008201331e-79,"vSMC/MC","Esam"
3.65855457574017e-83,2.63122293074792,0.327,0.127,1.68110582755261e-79,"vSMC/MC","Cd63"
1.980325182419e-81,0.261503889500054,0.193,0.049,9.09959421321531e-78,"vSMC/MC","Fam13c"
4.17766687042462e-81,4.72779726605543,0.176,0.045,1.91963792696012e-77,"vSMC/MC","Abca13"
1.42775007095054e-80,1.44440602374665,0.175,0.047,6.56051157601773e-77,"vSMC/MC","Gng11"
3.06691946488999e-80,3.92039276290171,0.289,0.099,1.40924949411695e-76,"vSMC/MC","Stk39"
7.8650695472751e-80,4.35618275329636,0.304,0.119,3.61399945697291e-76,"vSMC/MC","Rack1"
1.53335648297036e-78,4.53799543298825,0.252,0.09,7.04577303924882e-75,"vSMC/MC","Id1"
9.89775683371673e-78,1.22656504145652,0.196,0.058,4.54801926509284e-74,"vSMC/MC","Mill2"
2.53138283462512e-77,3.49372481664581,0.364,0.156,1.16317041251024e-73,"vSMC/MC","Ubc"
3.10910953051974e-77,0.90381610842372,0.281,0.105,1.42863582927382e-73,"vSMC/MC","Ndufa13"
6.84319797985143e-77,5.78093360947353,0.173,0.051,3.14444947174173e-73,"vSMC/MC","Selenow"
1.58003029635737e-76,1.72031063697009,0.182,0.056,7.26023921176213e-73,"vSMC/MC","Crip2"
5.7901280307205e-76,4.68755386842014,0.212,0.065,2.66056383011607e-72,"vSMC/MC","Egf"
1.20250480476781e-75,0.486147654169935,0.266,0.098,5.52550957790811e-72,"vSMC/MC","Chchd10"
4.87092902908125e-74,3.82708987062089,0.194,0.059,2.23819188886284e-70,"vSMC/MC","Map1b"
4.98198934004282e-74,4.98596464732613,0.187,0.057,2.28922410174967e-70,"vSMC/MC","Calb1"
1.19455330009689e-73,0.610329323317313,0.295,0.118,5.48897241394523e-70,"vSMC/MC","Rps23"
1.66639121391422e-73,0.534154904970955,0.106,0.017,7.65706762793585e-70,"vSMC/MC","Adamtsl5"
1.8277609766182e-73,0.342202580777872,0.217,0.075,8.39856168756061e-70,"vSMC/MC","Pid1"
1.39834663868708e-72,0.306443354857469,0.195,0.064,6.42540280476714e-69,"vSMC/MC","Dpysl3"
1.14472466896031e-71,2.29852701098144,0.359,0.154,5.26000985387264e-68,"vSMC/MC","Col4a1"
7.91961352496567e-71,1.31166039961782,0.406,0.183,3.63906241472173e-67,"vSMC/MC","Frmd4b"
3.92240738423416e-70,4.34373469084806,0.298,0.122,1.8023461930556e-66,"vSMC/MC","Rps21"
4.25990123041419e-69,0.702898709983007,0.292,0.117,1.95742461537532e-65,"vSMC/MC","Emcn"
6.75761106013241e-69,1.38470506888224,0.28,0.114,3.10512228213084e-65,"vSMC/MC","Gnb2"
8.75500585456029e-69,3.64060721141231,0.183,0.059,4.02292519017045e-65,"vSMC/MC","Ust"
1.11904658273215e-68,2.41280509224208,0.295,0.118,5.14201904765425e-65,"vSMC/MC","Rps25"
1.34486940492385e-68,1.42212065950823,0.289,0.117,6.17967491562509e-65,"vSMC/MC","Chchd2"
4.22541266490009e-68,0.377431851575031,0.29,0.108,1.94157711952159e-64,"vSMC/MC","Zbtb7c"
4.92246127546359e-68,6.08610126345068,0.13,0.02,2.26187095607552e-64,"vSMC/MC","Ptgis"
1.38807388031062e-66,3.56794133838458,0.323,0.139,6.37819948002732e-63,"vSMC/MC","Rpl17"
1.6182959094679e-66,0.719440621428156,0.244,0.091,7.43606970400501e-63,"vSMC/MC","Uqcr10"
1.94210028035487e-66,0.907893907625009,0.391,0.181,8.92395078823061e-63,"vSMC/MC","Peak1"
1.38632757173065e-65,8.15213083658749,0.121,0.023,6.37017519210235e-62,"vSMC/MC","Selenom"
2.72022236826662e-65,1.93691439933467,0.139,0.033,1.24994217821851e-61,"vSMC/MC","Map1lc3a"
3.49993514981649e-65,4.98350022955587,0.245,0.093,1.60822020134068e-61,"vSMC/MC","Ly6a"
5.62588371252248e-65,1.27038802669061,0.226,0.081,2.58509356590408e-61,"vSMC/MC","Rnf152"
3.53220336515181e-64,0.887787221821897,0.241,0.093,1.62304744628725e-60,"vSMC/MC","Rps3"
1.49609507508733e-62,0.502292286101941,0.176,0.058,6.87455687002629e-59,"vSMC/MC","Marveld1"
1.4949156746946e-61,0.510399519234829,0.204,0.066,6.86913752522171e-58,"vSMC/MC","Klk1"
2.21089597812108e-61,0.844911720320431,0.107,0.02,1.01590670194663e-57,"vSMC/MC","Lrrc75a"
2.82976347237408e-59,0.625017308370199,0.283,0.115,1.30027631555589e-55,"vSMC/MC","Kap"
3.60697188269672e-58,2.67407911163513,0.12,0.018,1.65740358009914e-54,"vSMC/MC","Atp2a3"
3.74433998721449e-58,0.720681026560698,0.216,0.081,1.72052422412506e-54,"vSMC/MC","Ndufa2"
5.09460836370661e-58,4.63562352890773,0.252,0.104,2.34097254312319e-54,"vSMC/MC","Rps5"
3.89283314468706e-56,1.1840145828922,0.304,0.127,1.7887568299837e-52,"vSMC/MC","Peli2"
2.78486170942876e-55,0.459509788809487,0.303,0.136,1.27964395548252e-51,"vSMC/MC","Ndufa4"
5.39747306014654e-54,1.41441213953588,0.141,0.005,2.48013887113734e-50,"vSMC/MC","Grip2"
7.81252199659863e-53,3.86973169368112,0.141,0.046,3.58985385743707e-49,"vSMC/MC","Aebp1"
9.67408612547245e-53,2.4281896083581,0.265,0.114,4.44524257465459e-49,"vSMC/MC","Ccnd1"
1.08577447438039e-52,2.01775647306239,0.2,0.077,4.98913370977789e-49,"vSMC/MC","Slc25a5"
3.3730314594608e-51,2.44307564639058,0.181,0.067,1.54990795562224e-47,"vSMC/MC","Frmd6"
8.63425957257527e-51,2.3419913116914,0.252,0.109,3.96744227359833e-47,"vSMC/MC","Capns1"
2.87010821865838e-50,1.36789012977569,0.26,0.115,1.31881472647353e-46,"vSMC/MC","Cox7a2"
5.02718008833379e-50,1.30754500465812,0.181,0.066,2.30998925058937e-46,"vSMC/MC","Wfdc2"
5.08334534727238e-50,1.72004305565089,0.247,0.097,2.33579718707166e-46,"vSMC/MC","Cttnbp2"
9.38127698246775e-50,1.15667247991389,0.299,0.133,4.31069677344393e-46,"vSMC/MC","Pck1"
1.02534931302372e-49,3.34370716276364,0.154,0.045,4.71148009334397e-46,"vSMC/MC","Cpne2"
3.52712606273789e-49,4.42146043049465,0.321,0.154,1.62071442582806e-45,"vSMC/MC","Rps2"
3.65563446726959e-49,0.526456230961594,0.121,0.031,1.67976403771038e-45,"vSMC/MC","Morrbid"
8.34072903772705e-48,0.629798470339043,0.128,0.036,3.83256499283558e-44,"vSMC/MC","Anxa1"
2.63257397487854e-47,3.67099890134333,0.172,0.065,1.20966774145669e-43,"vSMC/MC","Adgre5"
