"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.46460394081346,0.716,0.055,0,"PT-2","Slc6a18"
0,4.44091431982436,0.697,0.057,0,"PT-2","Slc5a8"
0,3.58975439192985,0.691,0.053,0,"PT-2","Wdr17"
0,1.23185418971723,0.691,0.054,0,"PT-2","Acsm1"
0,4.24850137208619,0.735,0.105,0,"PT-2","Slc27a2"
0,4.58262473260116,0.695,0.065,0,"PT-2","Gpm6a"
0,4.37527878999677,0.695,0.066,0,"PT-2","Slc16a9"
0,5.44865219865507,0.708,0.079,0,"PT-2","Mep1a"
0,1.28267076336718,0.708,0.08,0,"PT-2","Slc47a1"
0,5.2664759297714,0.728,0.101,0,"PT-2","Napsa"
0,4.33574228490743,0.691,0.068,0,"PT-2","Slco1a6"
0,3.13624237465403,0.672,0.05,0,"PT-2","Cyp2j11"
0,2.4700944850506,0.724,0.105,0,"PT-2","Keg1"
0,1.25603671520873,0.684,0.066,0,"PT-2","Slc6a20b"
0,1.02990987374319,0.703,0.087,0,"PT-2","Cubn"
0,2.18261715422103,0.68,0.065,0,"PT-2","Gm19950"
0,4.81783754805124,0.718,0.105,0,"PT-2","Pter"
0,4.85344675119002,0.629,0.016,0,"PT-2","Mep1b"
0,4.37648075359728,0.688,0.079,0,"PT-2","Trim7"
0,3.58648176263477,0.69,0.083,0,"PT-2","Pdzk1"
0,1.93859320783427,0.671,0.066,0,"PT-2","Hykk"
0,3.40376923306602,0.64,0.036,0,"PT-2","4930533I22Rik"
0,2.43765733134857,0.661,0.059,0,"PT-2","Slc17a3"
0,2.88595341591596,0.658,0.057,0,"PT-2","Gm42397"
0,2.1233906336988,0.722,0.121,0,"PT-2","Gk"
0,5.04970174876678,0.687,0.087,0,"PT-2","Them7"
0,1.28120591380906,0.662,0.062,0,"PT-2","Mlxipl"
0,0.848935220797645,0.665,0.065,0,"PT-2","Hgd"
0,1.7778759378813,0.701,0.101,0,"PT-2","Slc25a21"
0,5.65016946771469,0.666,0.067,0,"PT-2","Satb2"
0,3.07147455066117,0.648,0.051,0,"PT-2","Gm45792"
0,2.39927900307891,0.651,0.054,0,"PT-2","Ugt3a2"
0,1.17253917589668,0.702,0.105,0,"PT-2","Gcnt1"
0,1.32180239796822,0.649,0.054,0,"PT-2","Hnf4aos"
0,3.80199794501357,0.677,0.083,0,"PT-2","Slc1a1"
0,0.913894219511854,0.665,0.073,0,"PT-2","Hnf4a"
0,4.78972804701491,0.67,0.078,0,"PT-2","Fgf1"
0,3.675415461458,0.709,0.118,0,"PT-2","Lactb2"
0,5.2160758731193,0.731,0.141,0,"PT-2","Gramd1b"
0,3.34237922095796,0.659,0.071,0,"PT-2","Esr1"
0,6.3136987573775,0.662,0.078,0,"PT-2","Hnf4g"
0,1.69660924856168,0.644,0.061,0,"PT-2","B3gat2"
0,3.58094904137342,0.647,0.064,0,"PT-2","Rnf24"
0,4.82805863432223,0.661,0.079,0,"PT-2","Acss2"
0,4.55596818471128,0.706,0.125,0,"PT-2","Atp11a"
0,3.60573221066908,0.698,0.119,0,"PT-2","Lrp2"
0,0.839080467331152,0.64,0.061,0,"PT-2","Cmah"
0,3.53595823304091,0.613,0.035,0,"PT-2","Slc7a13"
0,1.04123716011263,0.643,0.067,0,"PT-2","Slc17a1"
0,2.87329055634892,0.609,0.035,0,"PT-2","Slc6a20a"
0,2.59861839302161,0.633,0.062,0,"PT-2","Ak4"
0,2.50410338047057,0.62,0.05,0,"PT-2","Ces1f"
0,4.15316229715293,0.667,0.099,0,"PT-2","Cyp2j5"
0,3.05299192944775,0.604,0.036,0,"PT-2","BC035947"
0,2.55522283234763,0.72,0.154,0,"PT-2","Fut9"
0,1.54725334736453,0.634,0.07,0,"PT-2","Pecr"
0,3.46983271790365,0.606,0.043,0,"PT-2","Vmn1r18"
0,3.24983402573025,0.717,0.158,0,"PT-2","Osbpl8"
0,0.953896372713094,0.679,0.122,0,"PT-2","Arhgap42"
0,0.381235593442375,0.692,0.135,0,"PT-2","Cers6"
0,4.79999945612001,0.654,0.098,0,"PT-2","Ntn1"
0,4.24010748237794,0.645,0.089,0,"PT-2","Papss2"
0,1.36829684227978,0.616,0.061,0,"PT-2","Cda"
0,5.57547579104573,0.612,0.057,0,"PT-2","St8sia1"
0,0.628610464351353,0.62,0.068,0,"PT-2","Rdh16"
0,2.28618363467656,0.597,0.05,0,"PT-2","Slc22a30"
0,6.86657604371192,0.618,0.072,0,"PT-2","Cd36"
0,2.22248542067329,0.648,0.103,0,"PT-2","Sugct"
0,4.56006674688105,0.554,0.013,0,"PT-2","C8a"
0,0.926654103959012,0.622,0.081,0,"PT-2","Aass"
0,0.849180252081924,0.592,0.053,0,"PT-2","Acot12"
0,2.93838449739098,0.601,0.063,0,"PT-2","Mfsd4b5"
0,1.36263736004731,0.58,0.042,0,"PT-2","Eci3"
0,3.89399100775224,0.637,0.109,0,"PT-2","Gpc4"
0,0.639031507720439,0.626,0.1,0,"PT-2","Sord"
0,2.32374251309644,0.566,0.042,0,"PT-2","Sox2ot"
0,4.39052359247326,0.611,0.09,0,"PT-2","Greb1l"
0,5.59889610147519,0.569,0.048,0,"PT-2","Aadat"
0,0.952388400903537,0.703,0.183,0,"PT-2","Mat2a"
0,2.23807252399126,0.583,0.064,0,"PT-2","Cyp7b1"
