"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.08748292409395,0.863,0.049,0,"ADIPO","Negr1"
0,4.8835886670015,0.694,0.019,0,"ADIPO","Adcy3"
0,5.58761869928788,0.629,0.007,0,"ADIPO","Plbd1"
7.87587051185255e-306,3.53797180624623,0.798,0.053,3.61896250019625e-302,"ADIPO","Ank"
9.4671791482795e-294,1.97780906676279,0.823,0.057,4.35016881863443e-290,"ADIPO","Plin2"
9.51490659978648e-291,5.90591250510714,0.871,0.006,4.37209958260189e-287,"ADIPO","Ctcflos"
8.5169926853491e-289,1.64186167000134,0.871,0.066,3.91355813891791e-285,"ADIPO","Gpd1"
1.29209530816053e-274,2.73674612241234,0.484,0.02,5.93717794099766e-271,"ADIPO","Fitm2"
5.81642173653826e-233,5.29375503052542,0.573,0.03,2.67264578793933e-229,"ADIPO","Palmd"
2.71777708820559e-213,1.29814148698371,0.815,0.079,1.24881857203047e-209,"ADIPO","Sh3kbp1"
4.1568160020689e-203,5.93616795495505,0.71,0.003,1.91005695295066e-199,"ADIPO","Ucp1"
2.91996094171588e-167,1.93731798383007,0.363,0.016,1.34172205271845e-163,"ADIPO","Dhrs7"
1.45946270206635e-127,2.5547644932542,0.903,0.165,6.70623111599486e-124,"ADIPO","Dlc1"
3.46801795604667e-87,2.60293022565858,0.419,0.046,1.59355425080344e-83,"ADIPO","Lrp1"
3.74253205987203e-72,1.23847453330675,0.677,0.129,1.7196934815112e-68,"ADIPO","Prkd1"
1.59842923359968e-63,0.432574748460482,0.331,0.038,7.34478232839053e-60,"ADIPO","Sdhd"
1.09122022780859e-62,1.95769216589277,0.355,0.038,5.01415694678049e-59,"ADIPO","Speg"
2.0311266460222e-56,2.5917573363618,0.29,0.033,9.33302693847202e-53,"ADIPO","Zcchc24"
4.71682389012654e-55,0.411032817945268,0.411,0.06,2.16738057751315e-51,"ADIPO","Tmem45b"
4.54945456152509e-44,0.86970519301518,0.274,0.036,2.09047437102078e-40,"ADIPO","Dnajb9"
1.19584097411853e-38,4.71004321004373,0.218,0.005,5.49488927607465e-35,"ADIPO","Cib2"
1.03925730668059e-37,0.931192048742321,0.234,0.031,4.7753873241973e-34,"ADIPO","Scamp3"
7.27912967820129e-36,1.33039011204881,0.202,0.014,3.34476008713349e-32,"ADIPO","Pltp"
1.80603615695043e-26,1.95580940053071,0.25,0.006,8.29873614118721e-23,"ADIPO","Cox7a1"
2.85102796413517e-25,1.14384053073568,0.226,0.04,1.31004734952011e-21,"ADIPO","Tmed4"
2.91168360892058e-23,2.71114211650963,0.169,0.02,1.33791861829901e-19,"ADIPO","Stom"
3.04858706065561e-21,0.377685843670331,0.21,0.04,1.40082575437125e-17,"ADIPO","Ndufb6"
6.57190574951713e-21,1.56522081841634,0.194,0.036,3.01979069190312e-17,"ADIPO","Pnp"
1.39810796763501e-18,0.888249704577055,0.137,0.019,6.42430611128287e-15,"ADIPO","Kcnk2"
3.67401347835858e-15,2.73743805865233,0.121,0.009,1.68820919330577e-11,"ADIPO","Axin2"
3.08872781998337e-12,3.57333870669057,0.113,0.019,1.41927043328236e-08,"ADIPO","Ptp4a3"
3.33786128708268e-12,2.10430013136,0.177,0.047,1.53374726141449e-08,"ADIPO","Dram1"
2.93816500088289e-10,0.345165075624204,0.161,0.045,1.35008681790569e-06,"ADIPO","Pxdn"
1.07145352793847e-08,0.252680650521996,0.129,0.035,4.92332896087729e-05,"ADIPO","Carhsp1"
0.000232241976001809,0.720571030562847,0.105,0.04,1,"ADIPO","Stk10"
