"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.57370681084325,0.872,0.082,0,"EC-2","Flt1"
0,2.47658889660957,0.831,0.092,0,"EC-2","Emcn"
0,3.45423119594239,0.741,0.062,0,"EC-2","Egfl7"
0,0.362777314903671,0.876,0.198,0,"EC-2","Pbx1"
0,0.672242910192722,0.773,0.142,0,"EC-2","Dlc1"
0,1.70966267523533,0.595,0.078,0,"EC-2","Sp100"
0,1.38739923216843,0.592,0.099,0,"EC-2","Fyn"
0,0.377729025171647,0.519,0.035,0,"EC-2","Cd300lg"
0,0.699396120786326,0.523,0.075,0,"EC-2","Hspg2"
0,0.43709000989187,0.517,0.091,0,"EC-2","Fmnl3"
0,1.73343153875383,0.414,0.044,0,"EC-2","Kank3"
0,1.88418703140157,0.357,0.035,0,"EC-2","Dram1"
0,2.12926481739011,0.35,0.038,0,"EC-2","Gng11"
0,2.88619532700237,0.313,0.036,0,"EC-2","Mndal"
0,1.40525905106558,0.292,0.027,0,"EC-2","Ccm2l"
0,1.11634253160275,0.323,0.063,0,"EC-2","Marcks"
0,2.34024745926834,0.273,0.037,0,"EC-2","Ramp2"
0,2.64801756302233,0.255,0.024,0,"EC-2","Abi3"
0,1.81939273866302,0.258,0.031,0,"EC-2","Ggta1"
0,0.406205454733853,0.271,0.054,0,"EC-2","Adam15"
0,3.17234655507566,0.224,0.021,0,"EC-2","Fam167b"
0,2.32428502032949,0.206,0.022,0,"EC-2","Kctd12b"
0,1.30105492237323,0.209,0.034,0,"EC-2","Stk10"
0,2.2534258813512,0.188,0.025,0,"EC-2","Palmd"
7.25062431613219e-260,2.67662778597497,0.155,0.02,3.33166187326274e-256,"EC-2","Cldn15"
5.07436102834937e-230,0.462375240502849,0.154,0.027,2.33166889252653e-226,"EC-2","Tgfb1"
4.01215382009061e-207,0.77934047739502,0.154,0.03,1.84358468033164e-203,"EC-2","Carhsp1"
3.23129379812828e-191,1.59684858415323,0.123,0.013,1.48477950023994e-187,"EC-2","Phf11d"
6.96188442026433e-173,0.371126157676091,0.109,0.014,3.19898589111146e-169,"EC-2","Nrros"
1.28968647313283e-148,1.01146660273301,0.122,0.018,5.92610934404533e-145,"EC-2","Marcksl1"
1.42111684443164e-135,1.08443978243827,0.131,0.029,6.5300319001634e-132,"EC-2","Zcchc24"
5.39130637125593e-125,1.6960148489662,0.116,0.016,2.4773052775921e-121,"EC-2","Stom"
2.04697411681355e-98,0.476437093849647,0.188,0.066,9.40584606675828e-95,"EC-2","Cfl1"
1.02786025943329e-61,0.630836416424809,0.106,0.009,4.72301789209598e-58,"EC-2","Galnt15"
1.31689890515001e-23,0.378464877288859,0.116,0.058,6.0511504691643e-20,"EC-2","Lrrc49"
8.35722433632897e-13,4.60785742078997,0.127,0.01,3.84014458254316e-09,"EC-2","Gpihbp1"
