"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.30492004755981,0.753,0.169,0,"FIB","Zeb2"
0,1.02295555580212,0.67,0.142,0,"FIB","Dlc1"
0,9.26893678074679,0.571,0.047,0,"FIB","Bgn"
0,7.15083633924386,0.588,0.077,0,"FIB","Meis1"
0,1.39188176761555,0.697,0.2,0,"FIB","Pbx1"
0,6.84233642545437,0.6,0.118,0,"FIB","Fign"
0,1.88541524092373,0.472,0.038,0,"FIB","Mrc2"
0,0.510572661046561,0.492,0.065,0,"FIB","Lbh"
0,6.76031043530587,0.545,0.137,0,"FIB","Pip4k2a"
0,5.38696423454887,0.461,0.055,0,"FIB","Adap2"
0,6.87533176075182,0.534,0.129,0,"FIB","Celf2"
0,2.98932691263317,0.419,0.029,0,"FIB","Lrp1"
0,4.96821939998783,0.51,0.124,0,"FIB","Epas1"
0,6.50315031242865,0.46,0.097,0,"FIB","Cadps2"
0,1.68963004737173,0.551,0.19,0,"FIB","Tpt1"
0,1.61845858744295,0.38,0.035,0,"FIB","Negr1"
0,2.6069285244548,0.358,0.02,0,"FIB","Gria4"
0,1.3504520321836,0.375,0.043,0,"FIB","Adamts5"
0,1.70079400461507,0.347,0.028,0,"FIB","Abi3bp"
0,2.45391238727579,0.397,0.084,0,"FIB","Sp100"
0,1.71185404042592,0.406,0.107,0,"FIB","Emcn"
0,0.335177810614095,0.316,0.017,0,"FIB","Dpep1"
0,1.37308042052762,0.304,0.011,0,"FIB","Col3a1"
0,0.924498100627281,0.348,0.06,0,"FIB","Marcks"
0,2.71806361090209,0.283,0.021,0,"FIB","Emilin1"
0,5.16145154716918,0.366,0.108,0,"FIB","Gstm1"
0,1.18884542987857,0.308,0.057,0,"FIB","Frmd6"
0,7.0590998274172,0.315,0.072,0,"FIB","Stard9"
0,9.41272676895506,0.293,0.056,0,"FIB","Ifitm2"
0,9.71894462299122,0.247,0.018,0,"FIB","A730049H05Rik"
0,2.24460377650337,0.252,0.034,0,"FIB","Sfrp1"
0,2.95576552434187,0.234,0.021,0,"FIB","Abcc9"
0,1.85479839098796,0.225,0.024,0,"FIB","Zcchc24"
0,0.461262405602418,0.235,0.045,0,"FIB","Cd74"
0,1.1500301317855,0.203,0.014,0,"FIB","Ptgis"
0,1.92383498969411,0.224,0.039,0,"FIB","Eva1b"
0,4.70590307231498,0.185,0.013,0,"FIB","S1pr3"
0,0.33928080290493,0.171,0.015,0,"FIB","Synpo2"
0,0.83025392320074,0.151,0.013,0,"FIB","Clmp"
1.03178157738444e-301,0.5215572980918,0.428,0.137,4.74103634808149e-298,"FIB","Cox8a"
2.24360588280419e-297,0.513720234361817,0.401,0.128,1.03093690314852e-293,"FIB","Rpl8"
1.30080202551675e-289,0.836526360717094,0.411,0.13,5.97718530724946e-286,"FIB","Cox4i1"
6.86172990408266e-272,7.11750451751542,0.362,0.114,3.15296489092598e-268,"FIB","Rps17"
5.55190821916637e-265,2.51359658790116,0.164,0.009,2.55110182670695e-261,"FIB","Adamtsl2"
2.09115605000666e-261,3.66728604335878,0.415,0.132,9.60886204978062e-258,"FIB","Nhs"
6.72098600240548e-252,0.390165342773066,0.403,0.138,3.08829306810532e-248,"FIB","Actg1"
3.06597900098956e-251,0.904398534086601,0.163,0.021,1.4088173509547e-247,"FIB","Gpsm1"
9.95232642310976e-249,0.354504461182001,0.377,0.128,4.57309399141894e-245,"FIB","H2-D1"
1.25529565608978e-248,0.372220322389351,0.421,0.147,5.76808353973255e-245,"FIB","Ubc"
3.80003583571966e-248,0.564598162335141,0.344,0.111,1.74611646651318e-244,"FIB","Rps23"
4.24718842497287e-244,1.14245642808181,0.317,0.097,1.95158308127504e-240,"FIB","Rps5"
1.80188295563549e-242,5.62244470094024,0.409,0.143,8.27965218114506e-239,"FIB","Ly6e"
2.09078805209285e-228,0.636969087993947,0.321,0.105,9.60717109936663e-225,"FIB","Rps28"
1.62944592319231e-221,0.723873072561777,0.331,0.112,7.48730401706867e-218,"FIB","Rps25"
7.18857622693128e-221,1.90473504011593,0.299,0.092,3.30315077627492e-217,"FIB","Chchd10"
3.89716369889528e-220,0.638854332315097,0.401,0.145,1.79074671964238e-216,"FIB","Rps2"
1.79813379362901e-216,0.606344667102374,0.383,0.14,8.26242478172531e-213,"FIB","Gnai2"
2.34100598766956e-216,7.74671565979885,0.342,0.119,1.07569225133416e-212,"FIB","Rps27"
8.95094850185923e-210,0.956177822393978,0.308,0.104,4.11296083660431e-206,"FIB","Rplp2"
2.2807663998543e-207,5.47770063007016,0.342,0.119,1.04801216073305e-203,"FIB","Gpx4"
4.4939217132165e-207,0.284838680707383,0.36,0.131,2.06495702722298e-203,"FIB","Rpl5"
1.1452706256424e-196,5.73169794514738,0.378,0.137,5.26251852482683e-193,"FIB","Tbc1d1"
3.45085113277734e-185,6.33908041640737,0.31,0.109,1.58566609551119e-181,"FIB","Cox7a2"
4.83270834561016e-185,1.30048474245141,0.269,0.086,2.22062948480787e-181,"FIB","Uqcr10"
2.72178970041254e-184,7.49743681117512,0.267,0.088,1.25066236733956e-180,"FIB","Rps3"
1.02105116425705e-182,0.469486559767611,0.39,0.152,4.69173009976114e-179,"FIB","Eef2"
1.29166571831287e-181,1.72896089630913,0.19,0.052,5.93520397564762e-178,"FIB","Rpl29"
