"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.8480938546221,0.183,0.009,0,"IC-A","Aqp6"
0,5.5861856788664,0.141,0.009,0,"IC-A","Oxgr1"
0,6.03428935980001,0.13,0.007,0,"IC-A","Rhbg"
1.63773991544951e-249,4.40505913236313,0.17,0.021,7.52541491149049e-246,"IC-A","Wscd2"
9.62962198268931e-222,3.08210512525892,0.189,0.03,4.42481130104574e-218,"IC-A","Rhcg"
1.27842066323746e-71,2.06412697067831,0.166,0.055,5.87434294757615e-68,"IC-A","Susd1"
2.7258333255315e-70,3.13184853160918,0.159,0.053,1.25252041308172e-66,"IC-A","Plcg2"
4.63445271231272e-51,0.519249677745464,0.209,0.095,2.1295310213077e-47,"IC-A","Atp6v0a4"
4.00012607278268e-41,0.55571244070616,0.192,0.09,1.83805793044364e-37,"IC-A","Cdkl1"
1.02217297169756e-26,1.61927041133765,0.194,0.116,4.69688480495029e-23,"IC-A","Ica1"
4.52294372039111e-18,1.10095899221422,0.21,0.145,2.07829263951972e-14,"IC-A","Alcam"
1.22149282477831e-17,0.478012877614638,0.075,0.169,5.61275952985632e-14,"IC-A","Dlc1"
1.47207789031111e-15,1.40998568160331,0.135,0.078,6.76419790597956e-12,"IC-A","Tesk2"
8.3693971121512e-14,1.13915704770978,0.036,0.1,3.84573797303348e-10,"IC-A","Sp100"
1.7640646705767e-12,1.58631697960661,0.209,0.162,8.10587716129996e-09,"IC-A","Dmxl1"
2.24090441989174e-10,0.778869738915605,0.057,0.114,1.02969558094025e-06,"IC-A","Capns1"
2.16793471763805e-08,0.309316118546061,0.084,0.145,9.96166002754682e-05,"IC-A","Cox4i1"
1.97575886346415e-07,0.768596756911341,0.156,0.116,0.000907861197761775,"IC-A","Pax2"
1.1553949909989e-05,0.558877036997819,0.06,0.103,0.0530903998363995,"IC-A","Chchd10"
0.000401755057766822,0.752509025240733,0.065,0.1,1,"IC-A","Uqcr11"
0.00093436959085778,0.396424649316075,0.139,0.187,1,"IC-A","Peak1"
0.00174449105041818,0.471986970975451,0.141,0.123,1,"IC-A","Grb10"
