"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.87872885730256e-145,2.8142518711443,0.152,0.03,1.32277590993053e-141,"IC-B","Rhcg"
1.49404764735436e-144,3.43175249266753,0.128,0.021,6.8651489395933e-141,"IC-B","Wscd2"
2.08598941576427e-79,4.81493476497425,0.159,0.052,9.58512136543681e-76,"IC-B","Plcg2"
3.32490231896619e-73,3.9474402469809,0.189,0.074,1.52779261556497e-69,"IC-B","Lsamp"
1.76560521738684e-43,5.26820405724394,0.129,0.052,8.11295597389254e-40,"IC-B","Ank"
1.38136857631398e-36,1.28178603197267,0.13,0.056,6.34738860816274e-33,"IC-B","Susd1"
3.28028745739922e-35,0.389407108252871,0.185,0.095,1.50729208667494e-31,"IC-B","Atp6v0a4"
7.66167037297303e-27,0.449827582745627,0.105,0.236,3.52053753638111e-23,"IC-B","Eef1a1"
8.28228358248484e-22,0.917869159494677,0.06,0.154,3.80570930615178e-18,"IC-B","Gnai2"
7.68663228429016e-18,1.38354739726054,0.135,0.078,3.53200753463133e-14,"IC-B","Tesk2"
8.048147963055e-18,1.17951604594276,0.043,0.12,3.69812398902377e-14,"IC-B","Fyn"
3.59654504998358e-16,0.437981766380844,0.052,0.125,1.65261245046746e-12,"IC-B","Rack1"
9.92771590398364e-15,0.496268887041703,0.099,0.188,4.56178545788048e-11,"IC-B","Peak1"
1.46836275385502e-12,2.17691232005014,0.042,0.1,6.74712685396381e-09,"IC-B","Sp100"
1.0350014315443e-11,0.65476888837219,0.139,0.091,4.75583157794607e-08,"IC-B","Cdkl1"
1.49487871538172e-11,0.250791506671477,0.056,0.115,6.86896769717898e-08,"IC-B","Rplp2"
1.59552793391696e-11,1.32829033954341,0.166,0.123,7.33145085634845e-08,"IC-B","Grb10"
2.94068595171626e-10,0.336365521577839,0.091,0.157,1.35124519481362e-06,"IC-B","Jund"
1.12201931409602e-07,2.12577621903227,0.191,0.163,0.000515567874827119,"IC-B","Dmxl1"
6.55990317561859e-07,0.488717913897609,0.091,0.145,0.00301427550919674,"IC-B","Cox4i1"
0.000169332029103328,0.389054589484181,0.164,0.226,0.778080673729794,"IC-B","Pbx1"
0.00147791982576021,2.39124999594506,0.18,0.169,1,"IC-B","Prkca"
