"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.40527742755619,0.198,0.049,0,"PC_CNT","Tpd52l1"
0,3.53457431421611,0.196,0.048,0,"PC_CNT","Tmem45b"
0,4.66972667347301,0.146,0.015,0,"PC_CNT","Ptger1"
1.02326263532378e-292,5.56445012692639,0.199,0.063,4.70189180931279e-289,"PC_CNT","Rasgrf2"
3.93463807960173e-289,2.58242258279161,0.231,0.08,1.807966197577e-285,"PC_CNT","Cdkl1"
6.94962942123934e-252,3.80882738149812,0.13,0.031,3.19335471905948e-248,"PC_CNT","Gprc5b"
4.17434093437526e-226,3.6042652562282,0.114,0.026,1.91810965934543e-222,"PC_CNT","Rhcg"
1.42363479619852e-160,3.19119110046447,0.199,0.087,6.54160188853218e-157,"PC_CNT","Sdk1"
5.51384408841032e-154,2.33432046130081,0.225,0.107,2.53361135862454e-150,"PC_CNT","Pax2"
2.37682887958955e-147,1.77368175602298,0.161,0.064,1.0921528701714e-143,"PC_CNT","Frem2"
6.24319907397655e-130,2.73428020634136,0.147,0.06,2.86874997449222e-126,"PC_CNT","Fam110b"
4.90806203680079e-89,2.16217762709258,0.12,0.052,2.25525450590996e-85,"PC_CNT","Susd1"
3.62916288262711e-82,3.38944411352169,0.172,0.093,1.66760034456716e-78,"PC_CNT","Scd2"
2.30022988417201e-50,2.58826937175672,0.189,0.126,1.05695563177704e-46,"PC_CNT","Peli2"
1.68233650506117e-44,1.08674631426483,0.129,0.076,7.7303362407561e-41,"PC_CNT","Sh3kbp1"
4.59021794095322e-30,0.431173107778033,0.092,0.157,2.10920514386801e-26,"PC_CNT","Gnai2"
6.76834624425e-23,1.12545978534489,0.09,0.148,3.11005509923287e-19,"PC_CNT","Cox4i1"
9.85579190227927e-17,2.44312360996304,0.121,0.09,4.52873637909732e-13,"PC_CNT","Hspg2"
2.33239842888941e-15,1.34349957591541,0.113,0.163,1.07173707807468e-11,"PC_CNT","Cd81"
2.82642805770437e-15,0.301882867120173,0.148,0.213,1.29874369251516e-11,"PC_CNT","Tpt1"
1.1952527039875e-13,0.886875267879461,0.101,0.074,5.49218617482256e-10,"PC_CNT","H1f0"
1.81226814978391e-13,1.28673378889158,0.101,0.144,8.32737214825707e-10,"PC_CNT","Rpl8"
1.42263529715606e-10,1.07761677885861,0.094,0.133,6.53700919043208e-07,"PC_CNT","Prkd1"
3.11258435750607e-10,1.17855472666213,0.113,0.154,1.43023251227404e-06,"PC_CNT","Cox8a"
1.20450852516076e-06,0.883909720091876,0.095,0.121,0.0055347166731137,"PC_CNT","Rps18"
0.000699954007338946,1.20421894532126,0.106,0.128,1,"PC_CNT","Rps21"
0.00133388059092839,1.14864464627521,0.097,0.115,1,"PC_CNT","Ubb"
0.00247856587858367,0.702914119509876,0.105,0.124,1,"PC_CNT","Rps25"
0.00391099352498628,2.2171554196949,0.107,0.125,1,"PC_CNT","Rpl14"
