"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.14787439952461,0.867,0.089,0,"PECs?","Sdk1"
0,2.88136949499261,0.577,0.054,0,"PECs?","Adamts5"
0,4.82940208951868,0.453,0.01,0,"PECs?","Lsp1"
0,2.80761650541707,0.474,0.038,0,"PECs?","Abi3bp"
2.23542054555498e-287,1.45367178665325,0.37,0.044,1.02717574068251e-283,"PECs?","Epha7"
8.08449439393045e-237,0.676695554702079,0.531,0.103,3.71482517401104e-233,"PECs?","Fmnl3"
2.67167956856897e-234,1.86667116357576,0.336,0.042,1.22763676175744e-230,"PECs?","Dock11"
1.17494400139317e-228,0.77819183240618,0.324,0.042,5.39886768640161e-225,"PECs?","Pxdn"
5.634305805623e-173,0.410499791170109,0.419,0.084,2.58896351768377e-169,"PECs?","Epha4"
1.06693883533748e-162,0.63029915344852,0.319,0.053,4.90258394837572e-159,"PECs?","Dlgap1"
8.28032234239458e-132,2.68123130783906,0.2,0.027,3.80480811633031e-128,"PECs?","Tfpi"
1.4903401302861e-111,1.48185939543705,0.246,0.045,6.84811289866461e-108,"PECs?","Lrp1"
2.48074377010748e-96,1.62636665139806,0.168,0.025,1.13990176236439e-92,"PECs?","Lrriq1"
1.11406288441673e-92,0.693403692736284,0.241,0.049,5.11911895389488e-89,"PECs?","Negr1"
8.56417069935944e-82,0.563707691996297,0.416,0.127,3.93523643635566e-78,"PECs?","Prkd1"
7.85242923294817e-81,0.413446793655543,0.326,0.091,3.60819123253968e-77,"PECs?","Hspg2"
3.93643769325405e-76,0.457080752223369,0.265,0.065,1.80879312005024e-72,"PECs?","Fam110b"
7.56794878447808e-67,0.427247085238615,0.122,0.018,3.47747246646768e-63,"PECs?","Clmp"
6.30450646019292e-63,0.946624192690133,0.191,0.043,2.89692071845865e-59,"PECs?","Slc9a9"
2.71556199247908e-62,0.560059675356706,0.126,0.02,1.24780073554414e-58,"PECs?","Dclk2"
3.67929748703749e-52,0.441689470395814,0.12,0.022,1.69063719529373e-48,"PECs?","Lacc1"
1.67742074367455e-40,1.04416473446747,0.166,0.046,7.70774831718454e-37,"PECs?","Eva1b"
3.86822305342373e-37,1.00675401433868,0.186,0.057,1.7774484930482e-33,"PECs?","Camk1"
2.26472074343567e-36,0.32529446281345,0.112,0.022,1.04063918160869e-32,"PECs?","Ptgis"
1.33222136435628e-32,0.999528726033486,0.138,0.039,6.1215571692171e-29,"PECs?","Ggta1"
3.71484939082522e-29,1.20182621040942,0.135,0.04,1.70697329508419e-25,"PECs?","Eid1"
5.21937501174021e-28,0.417900873415864,0.246,0.098,2.39830281789463e-24,"PECs?","Scd2"
2.40072310561625e-27,0.844456032743808,0.142,0.045,1.10313226703067e-23,"PECs?","Cdc42ep1"
6.73957054313436e-26,0.271604299343476,0.255,0.109,3.09683266457024e-22,"PECs?","Rpl7a"
2.21009825526668e-20,0.757872906014816,0.124,0.042,1.01554014829504e-16,"PECs?","Isoc1"
1.11309117743515e-17,0.577380116198982,0.205,0.094,5.11465396031452e-14,"PECs?","Ndufa6"
3.41509084114761e-15,0.613252492986068,0.138,0.058,1.56923424150733e-11,"PECs?","Snrpb"
2.00701216821031e-13,0.449455450196602,0.188,0.083,9.22222091292637e-10,"PECs?","Ndufa2"
2.90388068118232e-12,0.389041114774236,0.204,0.099,1.33433317300328e-08,"PECs?","Uqcr11"
1.48357602117555e-09,1.28730914905882,0.11,0.052,6.81703181730164e-06,"PECs?","Srp14"
2.94700310881922e-05,1.20171608328681,0.101,0.058,0.135414792850243,"PECs?","Rpl29"
