"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.96041689646781,0.853,0.114,0,"PODO","Clic5"
0,1.40640700091938,0.876,0.147,0,"PODO","Mertk"
0,4.27881552922262,0.777,0.065,0,"PODO","Galnt10"
0,1.76505985736988,0.755,0.075,0,"PODO","Plod2"
0,0.830392213100661,0.793,0.122,0,"PODO","Alcam"
0,4.47353526241093,0.752,0.094,0,"PODO","Fyn"
0,4.19073463557293,0.678,0.055,0,"PODO","Astn2"
0,1.84771818615816,0.693,0.147,0,"PODO","Dlc1"
0,2.50445247418815,0.647,0.11,0,"PODO","Prkd1"
0,3.15818276838223,0.525,0.042,0,"PODO","Lrrc49"
0,4.24441600178618,0.486,0.024,0,"PODO","H2-Q7"
0,3.71630484479739,0.502,0.042,0,"PODO","Mrc2"
0,2.00927955436559,0.519,0.083,0,"PODO","Scd2"
0,1.83585891645452,0.483,0.053,0,"PODO","Frmd6"
0,0.808416431073459,0.559,0.143,0,"PODO","Cd81"
0,0.542634896448828,0.569,0.153,0,"PODO","Prkca"
0,1.51659093632788,0.461,0.053,0,"PODO","Egf"
0,5.12240751315023,0.417,0.024,0,"PODO","Speg"
0,3.44295831798434,0.38,0.034,0,"PODO","Plekho1"
0,4.57157094553898,0.372,0.033,0,"PODO","Dock11"
0,2.80945913065545,0.381,0.048,0,"PODO","Marveld1"
0,3.64209605575054,0.305,0.009,0,"PODO","Clic3"
0,2.72663966229333,0.303,0.033,0,"PODO","Fam114a1"
0,5.99373121232093,0.263,0.013,0,"PODO","Stk26"
2.54863507596583e-272,3.19420963057565,0.13,0.009,1.1710978174063e-268,"PODO","Gpsm3"
4.18469633041445e-263,0.981747731564141,0.306,0.087,1.92286796382544e-259,"PODO","Arhgdia"
1.58765117357745e-194,0.6056030238598,0.37,0.143,7.29525714258838e-191,"PODO","Gnai2"
2.89834629557908e-182,7.74880636132021,0.127,0.008,1.33179012281859e-178,"PODO","Tmem54"
1.66229785709609e-149,0.656094865843722,0.327,0.132,7.63825865335654e-146,"PODO","H2-D1"
4.6408251328581e-149,5.64099920135047,0.116,0.004,2.1324591485483e-145,"PODO","Nxph3"
8.71651894903884e-146,0.429923920596514,0.346,0.143,4.00524045708334e-142,"PODO","Actg1"
1.13338249271199e-142,1.14350062507164,0.232,0.079,5.20789255401158e-139,"PODO","Lbh"
2.79182161625421e-141,0.307638468582272,0.155,0.041,1.28284203266881e-137,"PODO","Pxdn"
4.5908016912014e-139,1.15846274688349,0.186,0.054,2.10947337710704e-135,"PODO","Degs1"
8.92683713878072e-133,1.27685499417165,0.155,0.042,4.10188166526974e-129,"PODO","Cdc42ep1"
1.15615026945328e-124,0.840352673264566,0.173,0.052,5.31251048813783e-121,"PODO","Ywhah"
8.45171849990263e-118,0.605384477586619,0.174,0.054,3.88356465070526e-114,"PODO","Camk1"
8.30565619524489e-85,1.6067607290349,0.15,0.052,3.81644902171502e-81,"PODO","Dlgap1"
8.11100812115491e-70,0.657642295671014,0.122,0.042,3.72700823167068e-66,"PODO","Slc9a9"
2.33327333471434e-61,0.263978432951421,0.149,0.059,1.07213909730124e-57,"PODO","Ppp1ca"
1.78327458279507e-54,0.80467430265781,0.109,0.039,8.19414670794333e-51,"PODO","Tuba1b"
1.52062852547288e-52,0.926013846821712,0.122,0.049,6.98728807454786e-49,"PODO","Irf1"
2.38963172723583e-52,1.24620913763203,0.134,0.055,1.09803577866486e-48,"PODO","Pdap1"
2.77159571254185e-52,0.579201922862482,0.121,0.048,1.27354822991298e-48,"PODO","Prr13"
2.18099775016468e-48,0.702132906386495,0.131,0.054,1.00216846620067e-44,"PODO","Ndufb11"
1.25198128799071e-47,1.0792531779963,0.197,0.096,5.75285401831732e-44,"PODO","Uqcr11"
3.37582719920698e-47,1.20532203570585,0.12,0.05,1.55119259803561e-43,"PODO","Srp14"
1.72050593055974e-44,0.373178837377186,0.245,0.137,7.90572475092201e-41,"PODO","Rpl8"
2.82115540547327e-44,1.04838908972955,0.1,0.039,1.29632090881497e-40,"PODO","Enpp4"
9.19381379368839e-44,0.638350367991462,0.169,0.081,4.22455743819981e-40,"PODO","Ndufa2"
2.81192102167647e-42,0.376466889036597,0.22,0.118,1.29207770946034e-38,"PODO","Rps25"
