"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.89451222086111,0.668,0.028,0,"PROLIF","Cenpp"
0,6.99271341581382,0.536,0.005,0,"PROLIF","Cenpf"
0,4.57060902798747,0.561,0.034,0,"PROLIF","Atad2"
5.63155907238716e-282,4.61731928048859,0.362,0.007,2.5877013937619e-278,"PROLIF","Gas2l3"
1.78249479233939e-280,7.33268563099618,0.474,0.005,8.19056357079949e-277,"PROLIF","Cdca8"
1.07239694267519e-278,4.37769372380374,0.434,0.005,4.92766395159251e-275,"PROLIF","Aspm"
6.14262751083683e-259,6.90457056917521,0.51,0.004,2.82253734122952e-255,"PROLIF","Cdca2"
7.94298674741563e-258,2.46605077889416,0.398,0.022,3.64980241043748e-254,"PROLIF","Stmn1"
1.4376831876282e-183,4.24105548895479,0.362,0.007,6.60615424715158e-180,"PROLIF","Cenpa"
4.80928148955838e-112,0.379653256540822,0.311,0.03,2.20986484445207e-108,"PROLIF","Dut"
2.01654040664605e-105,3.00253366773843,0.556,0.095,9.26600316853861e-102,"PROLIF","Sdk1"
2.41702176424248e-62,0.367533046285729,0.357,0.062,1.11062150066942e-58,"PROLIF","Tubb5"
4.53036453212932e-57,0.927185065430783,0.372,0.071,2.08170250251342e-53,"PROLIF","Frem2"
6.59938142644737e-39,1.14900848586572,0.418,0.113,3.03241576545257e-35,"PROLIF","Adamts9"
6.63567683526486e-39,6.72296747979912,0.25,0.001,3.0490935058042e-35,"PROLIF","Ccnb1"
2.37174471403395e-37,2.89685648605085,0.27,0.056,1.0898166960986e-33,"PROLIF","Ywhah"
2.26721598468851e-36,1.60711413521474,0.413,0.116,1.04178574496437e-32,"PROLIF","Pax2"
2.57406828401973e-25,0.944454848708233,0.138,0.02,1.18278437650706e-21,"PROLIF","Dclk2"
4.17347074045757e-25,1.70674743490285,0.184,0.035,1.91770980524025e-21,"PROLIF","Ephb2"
1.00972834455378e-23,2.56411723573991,0.128,0.022,4.6397017432246e-20,"PROLIF","Plpp2"
5.08388142425381e-21,0.500768435764827,0.245,0.067,2.33604351444462e-17,"PROLIF","Fam110b"
6.99040298477382e-19,0.900182509648048,0.388,0.151,3.21209017150357e-15,"PROLIF","Gnai2"
8.54087561944493e-19,1.62838228612559,0.337,0.121,3.92453234713494e-15,"PROLIF","B2m"
6.70293494441685e-17,1.22141286688265,0.199,0.058,3.07999860695954e-13,"PROLIF","Pdap1"
5.96239951567874e-16,1.13370591222953,0.27,0.092,2.73972257745438e-12,"PROLIF","Cdkl1"
8.79063069415789e-16,1.58548116327117,0.143,0.036,4.03929480396555e-12,"PROLIF","Pnp"
1.58326297304958e-14,0.732472943291375,0.138,0.035,7.27509336116282e-11,"PROLIF","Trp63"
5.11086636482925e-14,1.22707847597288,0.189,0.06,2.34844309463904e-10,"PROLIF","Tmem45b"
5.69716045317654e-14,1.2025527200877,0.194,0.063,2.61784522823462e-10,"PROLIF","Pea15a"
3.42507210464843e-13,2.6131743248811,0.214,0.074,1.57382063208595e-09,"PROLIF","Rasgrf2"
1.3970019728896e-12,1.47305440171385,0.189,0.061,6.4192240654277e-09,"PROLIF","Tpd52l1"
5.07085883512103e-12,2.0097616426025,0.138,0.04,2.33005963473811e-08,"PROLIF","Nsmce4a"
7.36694598679904e-12,2.44170850475684,0.128,0.033,3.38511168093416e-08,"PROLIF","Rhcg"
9.98831239883226e-12,0.253078448349631,0.311,0.131,4.58962954726342e-08,"PROLIF","Peli2"
1.32138426834046e-11,3.62163242191026,0.138,0.041,6.07176071302444e-08,"PROLIF","Enpp4"
3.0008052324629e-09,1.67821028349879,0.219,0.092,1.3788700043167e-05,"PROLIF","Hspg2"
1.49997487048431e-08,1.53457216216592,0.133,0.046,6.89238452987542e-05,"PROLIF","Rwdd1"
1.92419006601784e-08,1.8184490381741,0.148,0.055,8.84165335335198e-05,"PROLIF","Aamp"
2.59118809445775e-08,0.760659143276884,0.102,0.031,0.000119065092940334,"PROLIF","Scamp3"
4.62750256508818e-08,1.32856879965079,0.173,0.07,0.000212633742865802,"PROLIF","Cfl1"
9.68864153997146e-08,1.01003008430259,0.184,0.08,0.000445193078761689,"PROLIF","Sh3kbp1"
1.28905039223499e-07,0.859025319791626,0.316,0.163,0.000592318655231978,"PROLIF","Eef2"
8.48180281454332e-07,0.719480887403401,0.138,0.055,0.00389738839328266,"PROLIF","Dlgap1"
1.17057535633279e-06,1.80380917104754,0.23,0.11,0.00537879376234915,"PROLIF","Rpl7a"
2.47196470869323e-06,0.779639136967725,0.23,0.118,0.0113586778364454,"PROLIF","Rps18"
2.00824030377392e-05,1.9983064492567,0.117,0.05,0.0922786419584115,"PROLIF","Prr13"
2.67073636002339e-05,1.18768098122719,0.158,0.073,0.122720335743075,"PROLIF","Marcks"
3.54335586662364e-05,1.29433831507185,0.102,0.039,0.162817202071356,"PROLIF","Gprc5b"
0.00109181297718121,1.04781519708382,0.102,0.05,1,"PROLIF","Mlf2"
