"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.04863442298955,0.19,0.034,0,"PT-1","Acsm1"
0,5.59709160525422,0.181,0.052,0,"PT-1","Rdh16"
0,5.54285075972483,0.205,0.085,0,"PT-1","Cryl1"
0,1.77840185226358,0.244,0.13,0,"PT-1","Slc4a4"
0,4.81289517664841,0.137,0.035,0,"PT-1","Slc9a3"
0,0.494961145022249,0.148,0.047,0,"PT-1","Slc6a18"
0,5.21801857226011,0.134,0.034,0,"PT-1","Rdh16f2"
0,3.50771743232158,0.119,0.027,0,"PT-1","Slc5a10"
0,4.8279279015766,0.125,0.034,0,"PT-1","Adra1a"
0,7.0652703228311,0.1,0.014,0,"PT-1","Acnat2"
7.38568861306047e-299,2.10121683029771,0.233,0.121,3.39372391770129e-295,"PT-1","Nhs"
3.91393951014762e-294,1.99460018058874,0.14,0.049,1.79845520491283e-290,"PT-1","Hao2"
3.44524937225998e-258,2.57110815463549,0.178,0.08,1.58309208655346e-254,"PT-1","Papss2"
1.62283809933081e-247,4.1236969202031,0.131,0.049,7.45694106642506e-244,"PT-1","Gpd1"
3.76796748375255e-231,5.38021350148498,0.132,0.053,1.7313810587843e-227,"PT-1","Slc7a7"
1.10757747628238e-217,4.9717830640377,0.211,0.12,5.08931850351753e-214,"PT-1","Maf"
7.45069536782663e-215,1.82087475064666,0.205,0.114,3.42359452151633e-211,"PT-1","Ndrg1"
8.47882514522332e-205,4.19844006716186,0.164,0.078,3.89602015423012e-201,"PT-1","Atp6v0a4"
5.31567420428152e-200,6.89799151474464,0.121,0.049,2.44255229686736e-196,"PT-1","Slc7a8"
6.28420932564585e-180,0.582964131564022,0.13,0.059,2.88759418513427e-176,"PT-1","Adap2"
3.37152513084985e-178,3.18066211346223,0.153,0.076,1.5492157976255e-174,"PT-1","Spink1"
9.76358588594064e-178,4.17060211863587,0.167,0.085,4.48636771458973e-174,"PT-1","Slc22a23"
1.07362266238472e-160,1.16714624083397,0.124,0.252,4.93329613365777e-157,"PT-1","Pbx1"
1.31448201035138e-157,1.47527754623844,0.21,0.129,6.04004483756458e-154,"PT-1","Egfr"
2.00588962873578e-116,3.28596141305104,0.126,0.067,9.21706284404092e-113,"PT-1","Tesk2"
1.74348114765745e-112,4.05148536188485,0.202,0.141,8.01129587348599e-109,"PT-1","Aldob"
1.70682917915698e-88,3.26165980632454,0.227,0.177,7.84288007822632e-85,"PT-1","Frmd4b"
4.26014604294802e-73,4.5073839929911,0.185,0.142,1.95753710673462e-69,"PT-1","Gpx3"
1.23787957045882e-69,2.82888502699801,0.104,0.062,5.68805662625826e-66,"PT-1","Mgmt"
2.82944050274501e-68,2.39730059563817,0.11,0.187,1.30012791101133e-64,"PT-1","Rpl27a"
4.16917755601917e-67,0.875819572557822,0.096,0.167,1.91573708699081e-63,"PT-1","Gnai2"
1.6023112736423e-63,0.901515058792631,0.136,0.228,7.36262030238639e-60,"PT-1","Tpt1"
6.31690885775623e-63,0.390826633884564,0.089,0.155,2.90261962013899e-59,"PT-1","Rpl8"
9.4723323647599e-62,0.277187427274185,0.076,0.137,4.35253672160718e-58,"PT-1","Rpl14"
1.5780553850013e-60,0.913358210446474,0.081,0.146,7.25116449408095e-57,"PT-1","Peli2"
3.37798468718487e-60,0.412993479497322,0.096,0.166,1.55218396376145e-56,"PT-1","Cox8a"
4.68389045878739e-56,2.76568750053253,0.104,0.17,2.15224766581281e-52,"PT-1","Jund"
1.24465294811622e-47,0.821362710820011,0.164,0.252,5.71918029659405e-44,"PT-1","Eef1a1"
2.89201934767211e-46,0.535364483334065,0.081,0.134,1.32888289025534e-42,"PT-1","Rps25"
1.53736776349231e-41,2.51708379813404,0.079,0.129,7.06420487324717e-38,"PT-1","Rps10"
1.21915787513384e-40,2.91976050743674,0.159,0.123,5.60203043623999e-37,"PT-1","Cd63"
2.2586190882249e-36,0.816786182060139,0.084,0.132,1.03783547103934e-32,"PT-1","B2m"
1.00586287866365e-31,2.33740934898475,0.08,0.123,4.62193992745948e-28,"PT-1","Ubb"
2.12677109384048e-29,2.09325386323323,0.079,0.12,9.772513176197e-26,"PT-1","Rpl7a"
1.69240056768104e-24,2.53729680816855,0.108,0.083,7.77658060849438e-21,"PT-1","Cisd1"
1.5811954442139e-23,3.04446690033441,0.098,0.138,7.26559306616288e-20,"PT-1","Rpl35a"
3.07463150266183e-23,1.68511694253643,0.141,0.117,1.41279317547311e-19,"PT-1","Dbi"
3.1113383334305e-22,1.71965486783958,0.127,0.174,1.42965996421131e-18,"PT-1","Eef2"
1.04403482508744e-21,2.81942647223051,0.083,0.118,4.79734002127677e-18,"PT-1","Rpl10"
6.17401251470051e-20,2.44596509548827,0.131,0.109,2.83695875050488e-16,"PT-1","Adamts9"
5.28532724962644e-18,1.59646937815095,0.071,0.1,2.42860787120335e-14,"PT-1","Id1"
5.55340370411555e-18,0.591093008481723,0.092,0.126,2.5517890020411e-14,"PT-1","Rps18"
1.23434959044417e-16,0.841706885955123,0.078,0.108,5.67183636809096e-13,"PT-1","Chchd10"
3.95989496662748e-15,1.09734128782063,0.073,0.101,1.81957173716533e-11,"PT-1","Uqcr10"
1.0873392200441e-13,1.20136995023153,0.139,0.177,4.99632371610264e-10,"PT-1","Prkca"
1.06570324210992e-11,1.66844934579902,0.107,0.092,4.8969063974951e-08,"PT-1","Ndufa6"
6.42130420071474e-11,0.874457896082655,0.118,0.149,2.95058928022843e-07,"PT-1","Rpl5"
1.03956922864945e-08,1.64580401783455,0.133,0.168,4.77682060564424e-05,"PT-1","Ubc"
5.42118563590771e-08,3.37908817552399,0.116,0.146,0.000249103479969959,"PT-1","Pdgfd"
1.11865739238738e-07,3.01590956806923,0.155,0.202,0.000514023071801999,"PT-1","Fth1"
2.69682002397166e-06,0.466747257575233,0.135,0.164,0.0123918880101498,"PT-1","Rps2"
