"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.56756271056198,0.591,0.102,0,"Undef","Pax2"
0,1.24158865828371,0.427,0.082,0,"Undef","Cdkl1"
0,0.721414653199541,0.393,0.094,0,"Undef","Slc22a23"
0,3.06120579634572,0.311,0.038,0,"Undef","Epha7"
3.25079770197347e-245,0.970329864263921,0.273,0.065,1.49374154405681e-241,"Undef","Frem2"
7.09240116518361e-224,0.340551453326608,0.417,0.147,3.25895833540187e-220,"Undef","Jund"
8.36746193432452e-207,3.27567558839776,0.158,0.028,3.84484875882212e-203,"Undef","Skap1"
2.02481214620563e-202,0.265231707532041,0.338,0.111,9.30401181181486e-199,"Undef","Ica1"
1.15952781562942e-184,1.76434197301725,0.252,0.071,5.32803031281721e-181,"Undef","H1f0"
5.74165916171555e-179,1.13220211721557,0.203,0.05,2.6382923848083e-175,"Undef","Pdgfa"
7.63747018866631e-178,1.23797805200841,0.288,0.09,3.50941755169217e-174,"Undef","Sdk1"
3.78765833534517e-175,2.24889185984292,0.298,0.102,1.7404290050911e-171,"Undef","Fmnl3"
3.86078171551381e-170,0.740236319125719,0.478,0.224,1.77402919827859e-166,"Undef","Eef1a1"
2.39154547962785e-168,2.71847863477256,0.104,0.015,1.098915147889e-164,"Undef","Tnfsf13b"
2.02125728971629e-165,2.37502736766227,0.154,0.032,9.28767724624634e-162,"Undef","Ephb2"
3.46161984497386e-160,1.17689651447646,0.333,0.123,1.59061431876549e-156,"Undef","Prkd1"
4.89627298035122e-156,2.09299655783198,0.253,0.082,2.24983743447139e-152,"Undef","Epha4"
1.38446359096237e-149,1.07014891290629,0.378,0.156,6.36161020047211e-146,"Undef","Eef2"
3.18071029860474e-148,0.430549533376772,0.278,0.095,1.46153638220888e-144,"Undef","Plod2"
3.0953534046122e-134,0.462503609377321,0.27,0.094,1.42231488941931e-130,"Undef","Scd2"
1.7192186534169e-127,1.22690448028945,0.159,0.037,7.89980971245065e-124,"Undef","Hspb1"
1.36242794799357e-125,1.5271584609188,0.374,0.162,6.26035642103045e-122,"Undef","Prkca"
1.1393500232199e-123,1.93218357682383,0.299,0.116,5.23531335669542e-120,"Undef","Rps23"
7.07537119074171e-117,3.14059218444115,0.108,0.021,3.25113306214581e-113,"Undef","Trp53i11"
9.60298991747407e-104,1.59718617263068,0.232,0.088,4.41257386707934e-100,"Undef","Hspg2"
3.30344960513458e-92,0.995524184426184,0.257,0.106,1.51793509355934e-88,"Undef","Rpl7a"
7.67730544118795e-92,1.1867135511348,0.26,0.109,3.52772185022586e-88,"Undef","Rplp2"
3.69662606841693e-90,1.32192080726159,0.265,0.111,1.69859967843758e-86,"Undef","Rps28"
5.16396562774319e-90,1.25609042603184,0.305,0.137,2.37284220594799e-86,"Undef","Rpl5"
7.3726755555617e-90,0.83641118724964,0.167,0.055,3.3877444177806e-86,"Undef","Susd1"
1.41564213097197e-88,1.81792584530403,0.121,0.033,6.50487559181618e-85,"Undef","Fam43a"
6.5890695103863e-86,0.518935476002837,0.256,0.108,3.0276774400225e-82,"Undef","Capns1"
6.22998424878129e-85,1.13101623720725,0.13,0.038,2.862677762315e-81,"Undef","Eid1"
1.87003966839642e-82,0.761864972886976,0.14,0.044,8.59283227628156e-79,"Undef","Rwdd1"
1.17973849977315e-77,1.70325230925238,0.115,0.032,5.42089840645762e-74,"Undef","Trp63"
5.0329291224086e-75,0.256007228096131,0.124,0.037,2.31263093174675e-71,"Undef","Gprc5b"
1.3881817351097e-74,1.58325751235139,0.146,0.049,6.37869507282908e-71,"Undef","Srp14"
1.05280326024865e-71,0.525845827016352,0.317,0.165,4.83763098084253e-68,"Undef","Rpl27a"
7.51651733688341e-71,1.12839973092956,0.281,0.136,3.45383971629793e-67,"Undef","Rpl8"
2.19758347447275e-67,0.459154762248104,0.357,0.202,1.00978960652023e-63,"Undef","Tpt1"
1.13329297434702e-64,0.458941517141533,0.15,0.055,5.20748121712457e-61,"Undef","Pdap1"
8.21797255825664e-63,0.26169079425791,0.146,0.054,3.77615839051893e-59,"Undef","Ndufb11"
6.1011614701544e-61,0.593693830275043,0.103,0.032,2.80348369553595e-57,"Undef","Leprotl1"
1.6824194636576e-60,1.11827522343868,0.13,0.045,7.73071743550666e-57,"Undef","Eif3k"
4.70519102176045e-60,0.88822116376823,0.247,0.119,2.16203527449893e-56,"Undef","Rack1"
7.30731348244202e-60,1.07021449184305,0.143,0.054,3.35771054518211e-56,"Undef","Ywhah"
7.45931410816798e-59,1.16689738991402,0.139,0.052,3.42755483270319e-55,"Undef","Aamp"
9.13351716310587e-59,1.68353641649777,0.203,0.092,4.19685113644715e-55,"Undef","Arhgdia"
3.2676050744765e-56,0.835319444953685,0.129,0.047,1.50146453172195e-52,"Undef","Mlf2"
4.90986428576173e-56,0.752529932478846,0.139,0.053,2.25608263930751e-52,"Undef","Dlgap1"
5.64404658159428e-51,0.945150167556765,0.14,0.056,2.59343940424257e-47,"Undef","Snrpb"
8.90482530018157e-51,0.424924989069463,0.237,0.118,4.09176722543343e-47,"Undef","Rps25"
4.66149459478139e-50,1.78612781455253,0.182,0.085,2.14195676630205e-46,"Undef","Id3"
3.90985774906087e-49,1.07493296714134,0.144,0.061,1.79657963569347e-45,"Undef","Pea15a"
1.94746749552901e-44,0.842548844636709,0.119,0.047,8.94861314195582e-41,"Undef","S100a16"
2.79255686913409e-39,0.458824590573372,0.142,0.065,1.28317988136711e-35,"Undef","Fam110b"
