"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.43708291463365,0.681,0.015,0,"Uro","Kcnk2"
0,0.396945903738936,0.63,0.057,0,"Uro","Tmem45b"
0,1.8588881114245,0.518,0.032,0,"Uro","Trp63"
7.10422043017678e-296,3.30673981982156,0.309,0.008,3.26438928766623e-292,"Uro","Tnfrsf19"
7.2966750920048e-224,1.60702645693397,0.342,0.033,3.3528222047762e-220,"Uro","Ephb2"
1.57293070467756e-206,1.63634722852144,0.242,0.018,7.22761658799337e-203,"Uro","Hmgcll1"
5.07763945149571e-186,1.93808883382399,0.449,0.071,2.33317532796228e-182,"Uro","Marcks"
6.35903230923931e-154,1.22618120691958,0.222,0.018,2.92197534609546e-150,"Uro","Sbspon"
1.05837573358731e-143,1.73541349270654,0.247,0.027,4.86323649583371e-140,"Uro","Kctd12b"
2.87798686786404e-134,4.59139481158024,0.268,0.003,1.32243496578353e-130,"Uro","Cbr2"
3.15460821563735e-78,0.970518965303361,0.148,0.014,1.44954247508536e-74,"Uro","Smoc2"
8.03781725695399e-74,2.48550136007947,0.171,0.023,3.69337702957036e-70,"Uro","Trp53i11"
1.91327185459191e-71,2.1246875434459,0.237,0.046,8.79148417184982e-68,"Uro","Lrp1"
1.16615576525273e-69,1.34946309069253,0.168,0.021,5.35848574133628e-66,"Uro","Stk26"
1.47276624291457e-51,1.94575229315292,0.12,0.008,6.76736088619246e-48,"Uro","Apcdd1"
8.78678508015801e-48,0.78773523061427,0.173,0.035,4.0375277443326e-44,"Uro","Atad2"
9.86717407608412e-46,1.46691412014846,0.122,0.005,4.53396648796065e-42,"Uro","Cdca2"
2.87528811991092e-43,0.32219778337899,0.189,0.044,1.32119489109907e-39,"Uro","Slc9a9"
9.83233604702529e-43,0.497412387148077,0.179,0.04,4.51795841360812e-39,"Uro","Enpp4"
8.49032194031338e-41,2.44058025297512,0.125,0.004,3.901302931574e-37,"Uro","Ces2g"
1.78897450492067e-22,1.29783964908459,0.112,0.029,8.22033785011048e-19,"Uro","Hoxd9"
1.85789242129095e-19,0.678990490264653,0.135,0.042,8.53701567583191e-16,"Uro","Psme1"
