"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.46460394081346,0.716,0.055,0,"PT-2","Slc6a18"
0,1.23185418971723,0.691,0.054,0,"PT-2","Acsm1"
0,4.24010748237794,0.645,0.089,0,"PT-2","Papss2"
0,0.628610464351353,0.62,0.068,0,"PT-2","Rdh16"
0,3.54142463798727,0.531,0.026,0,"PT-2","Acox2"
0,4.00557325115892,0.514,0.02,0,"PT-2","Hsd17b2"
0,0.867664155803,0.619,0.143,0,"PT-2","Aldob"
0,1.25746334034018,0.514,0.045,0,"PT-2","Rdh16f2"
0,1.3030993391035,0.622,0.181,0,"PT-2","Fth1"
0,2.87364316334012,0.612,0.178,0,"PT-2","Frmd4b"
0,0.740831173948671,0.555,0.154,0,"PT-2","Dmxl1"
0,3.65136815863873,0.431,0.045,0,"PT-2","Nt5e"
0,4.69174227959943,0.493,0.114,0,"PT-2","Dbi"
0,0.408720433192047,0.492,0.123,0,"PT-2","Cd63"
0,6.69411493782752,0.465,0.111,0,"PT-2","Sema3c"
0,2.5261459806247,0.376,0.04,0,"PT-2","Slc5a10"
0,1.23719582473873,0.362,0.027,0,"PT-2","Slc2a5"
0,2.60387503989694,0.356,0.045,0,"PT-2","Guca2b"
0,4.5495701028762,0.37,0.062,0,"PT-2","Hao2"
0,0.558222383090361,0.368,0.061,0,"PT-2","Gpd1"
0,5.51803305258688,0.361,0.065,0,"PT-2","Frem2"
0,5.21561928456497,0.288,0.035,0,"PT-2","Ace2"
0,1.16370610206581,0.303,0.052,0,"PT-2","Amot"
0,3.25362404289744,0.246,0.027,0,"PT-2","Abcc9"
3.77346045634457e-283,3.89119021191247,0.204,0.027,1.73390507969033e-279,"PT-2","Ddc"
6.23178529174163e-281,7.69180773959819,0.278,0.048,2.86350534155528e-277,"PT-2","Bicdl1"
2.10236620323541e-278,1.00635717709166,0.381,0.086,9.66037270386673e-275,"PT-2","Spink1"
3.18916501527971e-274,1.21394915932419,0.19,0.025,1.46542132452103e-270,"PT-2","Wnt5a"
1.79939674545658e-259,1.5360596717232,0.353,0.082,8.26822804537297e-256,"PT-2","Cisd1"
6.06332596973094e-250,2.08457902887406,0.2,0.029,2.78609828309137e-246,"PT-2","Gcsh"
2.06471919574119e-247,3.23965542117516,0.152,0.018,9.48738470443078e-244,"PT-2","Abcb1b"
3.63230278805491e-246,5.16732732929431,0.274,0.054,1.66904313111123e-242,"PT-2","Plin2"
8.52206691823988e-239,0.60731643918907,0.237,0.042,3.91588974893123e-235,"PT-2","Bola3"
2.32146976090786e-237,4.3222732011285,0.28,0.056,1.06671535513716e-233,"PT-2","Tmem45b"
1.04772236924974e-230,1.43264065555028,0.355,0.09,4.81428428670257e-227,"PT-2","Ndufa6"
7.945510321592e-230,7.65016641154337,0.282,0.061,3.65096199277152e-226,"PT-2","Adamts1"
5.1252442772595e-226,1.89090637489699,0.389,0.108,2.35504974540074e-222,"PT-2","Adamts9"
4.02741741292823e-221,1.14539460821982,0.464,0.15,1.85059830124052e-217,"PT-2","Rps2"
1.79693780015227e-207,5.15988139837109,0.449,0.139,8.25692919169967e-204,"PT-2","Egfr"
5.53766237869711e-192,0.840227369622764,0.302,0.075,2.54455586301132e-188,"PT-2","Tesk2"
1.30507602216074e-190,0.997950309334772,0.458,0.148,5.9968243218286e-187,"PT-2","Slc4a4"
5.08071575773203e-179,3.98331310821153,0.362,0.114,2.33458889067787e-175,"PT-2","Gstm1"
5.27957672561736e-175,0.78668263230739,0.438,0.154,2.42596550542118e-171,"PT-2","Ubc"
6.94751436873367e-166,0.797976375752418,0.152,0.025,3.19238285243312e-162,"PT-2","Lhx1"
1.71521290085166e-151,1.03395949484846,0.51,0.226,7.88140327941338e-148,"PT-2","Eef1a1"
1.18627786719478e-143,3.7122375413688,0.38,0.138,5.45094679976002e-140,"PT-2","Rpl17"
5.78358833001753e-143,1.02681783465516,0.395,0.145,2.65755883764306e-139,"PT-2","Cox8a"
6.10794908486655e-140,5.51096582678064,0.248,0.068,2.80660260449618e-136,"PT-2","Gm2a"
1.12605626696469e-138,0.516653999569651,0.262,0.075,5.17422854670273e-135,"PT-2","Ndufs7"
1.41037109899553e-119,0.907404604030687,0.103,0.016,6.48065519988444e-116,"PT-2","Iyd"
2.57562972511805e-114,0.634042221370332,0.396,0.164,1.18350185869174e-110,"PT-2","Rpl27a"
5.89168815133205e-113,0.51738141500505,0.233,0.071,2.70723070553708e-109,"PT-2","Vamp8"
2.10596941577448e-112,3.21724152310667,0.208,0.06,9.67692946548373e-109,"PT-2","Adam15"
1.4356299344551e-107,0.627791823221927,0.383,0.158,6.59671954882116e-104,"PT-2","Eef2"
7.9158685178175e-106,0.67402473918576,0.209,0.06,3.63734158393714e-102,"PT-2","Ndufv1"
6.47258798917092e-104,2.07670561114169,0.27,0.091,2.97415418102404e-100,"PT-2","Uqcr10"
1.44924116358531e-100,0.700155455818289,0.113,0.021,6.65926314667452e-97,"PT-2","Smim24"
1.04478986838269e-98,0.481514164479547,0.341,0.138,4.80080944521848e-95,"PT-2","Rpl5"
5.5372151345566e-89,1.0612344237324,0.292,0.118,2.54435035432876e-85,"PT-2","Rps25"
7.59373212372295e-89,4.15086457139332,0.208,0.067,3.4893199108507e-85,"PT-2","Ndufb5"
9.55058293766556e-88,1.53429124950105,0.258,0.096,4.38849285985732e-84,"PT-2","Rpl22"
1.4379941373277e-85,1.32213526949236,0.273,0.107,6.60758306102077e-82,"PT-2","Rpl7a"
6.11746341287035e-85,0.783450600840443,0.336,0.139,2.81097443821392e-81,"PT-2","Cox4i1"
2.0453186699341e-82,1.39469601837515,0.141,0.037,9.39823928834719e-79,"PT-2","Emc6"
7.76919894762856e-81,2.6695460675079,0.103,0.022,3.56994691643532e-77,"PT-2","Stmn1"
2.54487914404906e-80,2.60538856639379,0.29,0.119,1.16937196669054e-76,"PT-2","Rack1"
1.43916608063063e-76,6.5684227897803,0.319,0.143,6.61296814049776e-73,"PT-2","Lyn"
3.82292906834366e-76,1.23810224191051,0.168,0.052,1.75663590690391e-72,"PT-2","Aamp"
4.13979186860754e-75,4.32395431089678,0.275,0.115,1.90223436362517e-71,"PT-2","Rps18"
6.02381668701332e-72,1.94096391889368,0.127,0.034,2.76794376768262e-68,"PT-2","Pnp"
8.5323600688585e-70,1.14011380216795,0.211,0.079,3.92061945164048e-66,"PT-2","Uqcrb"
2.63087937103648e-69,0.527966568459114,0.147,0.044,1.20888907099126e-65,"PT-2","Micos13"
7.28552427116016e-68,2.10185320755143,0.246,0.096,3.34769840259809e-64,"PT-2","Uqcr11"
2.02015847715204e-66,1.28160300161662,0.246,0.098,9.28262820251363e-63,"PT-2","Chchd10"
5.44945699384691e-63,0.291475415698037,0.268,0.12,2.50402548867266e-59,"PT-2","Rpl14"
2.22496719560254e-62,1.70049780819266,0.136,0.041,1.02237242637937e-58,"PT-2","Timm13"
2.72556544686553e-62,0.925135989103742,0.166,0.057,1.25239732283471e-58,"PT-2","Degs1"
1.87488522939207e-60,2.84503777953344,0.1,0.025,8.61509762905658e-57,"PT-2","Hsd17b10"
6.36116007423212e-59,0.965726380776683,0.368,0.204,2.92295305410966e-55,"PT-2","Tpt1"
9.1801832598652e-58,6.29787276833268,0.23,0.097,4.21829420790806e-54,"PT-2","Plod2"
4.70017375077265e-56,1.5885647524451,0.204,0.083,2.15972983848003e-52,"PT-2","Atp6v1g1"
1.4494681343771e-54,1.23107687435119,0.283,0.137,6.66030607746279e-51,"PT-2","Rpl8"
