"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.17217066502413,0.637,0.156,0,"vSMC/MC","Dlc1"
0,7.09193805797773,0.423,0.053,0,"vSMC/MC","Flna"
0,3.7337865191049,0.417,0.077,0,"vSMC/MC","Lbh"
0,1.84100823486344,0.355,0.07,0,"vSMC/MC","Ltbp1"
0,3.86382335682433,0.287,0.015,0,"vSMC/MC","S1pr3"
0,2.31856847334201,0.321,0.053,0,"vSMC/MC","Adamts5"
0,6.60144702107447,0.257,0.017,0,"vSMC/MC","Synpo2"
4.04899432693492e-221,2.96337506693867,0.64,0.215,1.8605128932266e-217,"vSMC/MC","Pbx1"
1.26291993043888e-208,2.48205689194781,0.178,0.016,5.80311708036664e-205,"vSMC/MC","Ptp4a3"
3.46394221250512e-172,0.394682466551622,0.422,0.134,1.5916814466461e-168,"vSMC/MC","Fign"
4.20475305090568e-170,2.53199140357432,0.161,0.011,1.93208402689116e-166,"vSMC/MC","Gja5"
1.04130132530742e-163,1.02009556862837,0.454,0.145,4.78477958978759e-160,"vSMC/MC","Gpx3"
3.16075145844786e-156,0.872068264461778,0.163,0.029,1.45236529515679e-152,"vSMC/MC","Abcc9"
1.17313035202646e-143,1.24840904466644,0.203,0.044,5.39053396756157e-140,"vSMC/MC","Lrp1"
1.25765324194236e-140,3.39611435343616,0.406,0.138,5.77891664672515e-137,"vSMC/MC","Cox4i1"
1.41615508830771e-140,6.60626556519998,0.137,0.023,6.50723263077391e-137,"vSMC/MC","Ckb"
4.18505181606158e-136,2.0048678387875,0.524,0.2,1.9230313094803e-132,"vSMC/MC","Tpt1"
3.19685346304626e-134,0.319389648354673,0.414,0.145,1.46895416626975e-130,"vSMC/MC","Cox8a"
6.50967921768652e-126,0.788127924751261,0.129,0.018,2.99119760052695e-122,"vSMC/MC","Adcy3"
1.23425724941221e-123,0.977974483625156,0.212,0.052,5.67141206104911e-120,"vSMC/MC","Dlgap1"
5.18524556447953e-121,1.33703928462038,0.483,0.185,2.38262033687835e-117,"vSMC/MC","Fth1"
2.54875006063579e-114,3.59247314531752,0.543,0.225,1.17115065286214e-110,"vSMC/MC","Eef1a1"
2.96719013080802e-114,0.927789326334059,0.208,0.034,1.36342386510628e-110,"vSMC/MC","Speg"
4.87395957505079e-97,0.591495307599226,0.325,0.119,2.23958442473584e-93,"vSMC/MC","Rpl14"
9.08973977608609e-92,4.36595723840133,0.363,0.145,4.17673542711156e-88,"vSMC/MC","Actg1"
8.57344877204827e-88,1.4782490628553,0.371,0.154,3.93949971075618e-84,"vSMC/MC","Cd81"
3.65855457574017e-83,2.63122293074792,0.327,0.127,1.68110582755261e-79,"vSMC/MC","Cd63"
1.42775007095054e-80,1.44440602374665,0.175,0.047,6.56051157601773e-77,"vSMC/MC","Gng11"
7.8650695472751e-80,4.35618275329636,0.304,0.119,3.61399945697291e-76,"vSMC/MC","Rack1"
1.53335648297036e-78,4.53799543298825,0.252,0.09,7.04577303924882e-75,"vSMC/MC","Id1"
2.53138283462512e-77,3.49372481664581,0.364,0.156,1.16317041251024e-73,"vSMC/MC","Ubc"
5.7901280307205e-76,4.68755386842014,0.212,0.065,2.66056383011607e-72,"vSMC/MC","Egf"
1.20250480476781e-75,0.486147654169935,0.266,0.098,5.52550957790811e-72,"vSMC/MC","Chchd10"
1.19455330009689e-73,0.610329323317313,0.295,0.118,5.48897241394523e-70,"vSMC/MC","Rps23"
7.91961352496567e-71,1.31166039961782,0.406,0.183,3.63906241472173e-67,"vSMC/MC","Frmd4b"
3.92240738423416e-70,4.34373469084806,0.298,0.122,1.8023461930556e-66,"vSMC/MC","Rps21"
4.25990123041419e-69,0.702898709983007,0.292,0.117,1.95742461537532e-65,"vSMC/MC","Emcn"
6.75761106013241e-69,1.38470506888224,0.28,0.114,3.10512228213084e-65,"vSMC/MC","Gnb2"
1.11904658273215e-68,2.41280509224208,0.295,0.118,5.14201904765425e-65,"vSMC/MC","Rps25"
1.34486940492385e-68,1.42212065950823,0.289,0.117,6.17967491562509e-65,"vSMC/MC","Chchd2"
4.92246127546359e-68,6.08610126345068,0.13,0.02,2.26187095607552e-64,"vSMC/MC","Ptgis"
1.38807388031062e-66,3.56794133838458,0.323,0.139,6.37819948002732e-63,"vSMC/MC","Rpl17"
1.6182959094679e-66,0.719440621428156,0.244,0.091,7.43606970400501e-63,"vSMC/MC","Uqcr10"
1.94210028035487e-66,0.907893907625009,0.391,0.181,8.92395078823061e-63,"vSMC/MC","Peak1"
1.38632757173065e-65,8.15213083658749,0.121,0.023,6.37017519210235e-62,"vSMC/MC","Selenom"
3.49993514981649e-65,4.98350022955587,0.245,0.093,1.60822020134068e-61,"vSMC/MC","Ly6a"
