"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051235","maintenance of location","16/134","372/28928",0.043010752688172,9.28518696838389,10.9718078589938,2.08217768078709e-11,5.62812627116751e-08,3.97367172133368e-08,"Ces1d/Hk2/Lpl/Negr1/Plin2/Cidec/Cav1/Fitm2/Cd36/Plcb4/Prkd1/Ghitm/Gsto1/C3/Plce1/Lgals9",16
"GO:0001659","temperature homeostasis","12/134","201/28928",0.0597014925373134,12.8883938516373,11.5379638193855,1.82894217947771e-10,2.47181535556413e-07,1.74519587968058e-07,"Ces1d/Cav1/Cd36/Elovl6/G0s2/Ucp1/Acadvl/Vegfa/Adora1/Tshr/Irf4/Lcn2",12
"GO:1905954","positive regulation of lipid localization","10/134","127/28928",0.078740157480315,16.9984722058996,12.3262134734304,4.27643332744934e-10,3.85306642803186e-07,2.72041179742655e-07,"Ces1d/Lpl/Plin2/Cav1/Fitm2/Cd36/Fabp3/Lrp1/Pltp/C3",10
"GO:0120162","positive regulation of cold-induced thermogenesis","9/134","101/28928",0.0891089108910891,19.2368848825181,12.52462456281,1.09023046317284e-09,7.36723235489049e-07,5.20154692034833e-07,"Cav1/Cd36/Elovl6/G0s2/Ucp1/Vegfa/Tshr/Irf4/Lcn2",9
"GO:1905952","regulation of lipid localization","11/134","196/28928",0.0561224489795918,12.115747791654,10.6521405472337,2.07466059044194e-09,1.12156151519291e-06,7.91865189572893e-07,"Ces1d/Lpl/Plin2/Cav1/Fitm2/Cd36/Fabp3/Lrp1/Pltp/C3/Apoc1",11
"GO:0019915","lipid storage","9/134","111/28928",0.0810810810810811,17.5038321903994,11.884338193961,2.537238588699e-09,1.1430259842089e-06,8.07019923037069e-07,"Ces1d/Lpl/Negr1/Plin2/Cidec/Cav1/Fitm2/Cd36/C3",9
"GO:0106106","cold-induced thermogenesis","10/134","155/28928",0.0645161290322581,13.9277804525758,11.0090625965374,3.00613439910893e-09,1.16079732582735e-06,8.19567167757066e-07,"Ces1d/Cav1/Cd36/Elovl6/G0s2/Ucp1/Vegfa/Tshr/Irf4/Lcn2",10
"GO:0046486","glycerolipid metabolic process","14/134","385/28928",0.0363636363636364,7.85020352781547,9.23075295339798,3.48523388296692e-09,1.17757339820745e-06,8.31411714449872e-07,"Ces1d/Lpl/Gpd1/Cidec/Cav1/Fitm2/Fabp3/Pla2g7/Plcb4/Phb2/C3/Plaat3/Plce1/Apoc1",14
"GO:0016042","lipid catabolic process","13/134","348/28928",0.0373563218390805,8.06450506090238,9.04468293619438,9.45339778543738e-09,2.61816295944409e-06,1.84852286756319e-06,"Ces1d/Lpl/Cpt1b/Plbd1/Cidec/Fitm2/Acadvl/Lrp1/Pla2g7/Adora1/Plaat3/Plce1/Apoc1",13
"GO:1990845","adaptive thermogenesis","10/134","175/28928",0.0571428571428571,12.3360341151386,10.2610471499197,9.6861374748209e-09,2.61816295944409e-06,1.84852286756319e-06,"Ces1d/Cav1/Cd36/Elovl6/G0s2/Ucp1/Vegfa/Tshr/Irf4/Lcn2",10
"GO:0019216","regulation of lipid metabolic process","13/134","390/28928",0.0333333333333333,7.19601990049751,8.40400761949489,3.61701581359665e-08,8.35531230948809e-06,5.89916903911908e-06,"Ces1d/Ormdl3/Cidec/Cav1/Fitm2/Mlxipl/Acadvl/Fabp3/Adora1/Phb2/C3/Ccdc3/Apoc1",13
"GO:0120161","regulation of cold-induced thermogenesis","9/134","151/28928",0.0596026490066225,12.8670554512207,9.97382591672866,3.79025327389924e-08,8.35531230948809e-06,5.89916903911908e-06,"Cav1/Cd36/Elovl6/G0s2/Ucp1/Vegfa/Tshr/Irf4/Lcn2",9
"GO:0006639","acylglycerol metabolic process","9/134","153/28928",0.0588235294117647,12.6988586479368,9.8977080568153,4.24740849484618e-08,8.35531230948809e-06,5.89916903911908e-06,"Ces1d/Lpl/Cidec/Cav1/Fitm2/C3/Plaat3/Plce1/Apoc1",9
"GO:0046394","carboxylic acid biosynthetic process","12/134","328/28928",0.0365853658536585,7.89807062249727,8.57106203612109,4.52587901801831e-08,8.35531230948809e-06,5.89916903911908e-06,"Ces1d/Lpl/Slc1a3/Mlxipl/Elovl6/Acadvl/Acsm3/Ldha/Hpgds/Gsto1/Ltc4s/Apoc1",12
"GO:0006638","neutral lipid metabolic process","9/134","155/28928",0.0580645161290323,12.5350024073182,9.82299815650677,4.75198417635819e-08,8.35531230948809e-06,5.89916903911908e-06,"Ces1d/Lpl/Cidec/Cav1/Fitm2/C3/Plaat3/Plce1/Apoc1",9
