"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140236","translation at presynapse","13/222","47/28928",0.276595744680851,36.0421698294039,21.1434401399131,2.51113453054119e-17,3.7183330591802e-14,2.77979288402374e-14,"Rps28/Rpl27a/Rpl10/Rplp2/Rpl7a/Rpl17/Rpl5/Rpl8/Rps10/Rpl14/Rpl35a/Rps5/Rpl28",13
"GO:0140241","translation at synapse","13/222","48/28928",0.270833333333333,35.2912912912913,20.9096955025767,3.42072958526238e-17,3.7183330591802e-14,2.77979288402374e-14,"Rps28/Rpl27a/Rpl10/Rplp2/Rpl7a/Rpl17/Rpl5/Rpl8/Rps10/Rpl14/Rpl35a/Rps5/Rpl28",13
"GO:0140242","translation at postsynapse","13/222","48/28928",0.270833333333333,35.2912912912913,20.9096955025767,3.42072958526238e-17,3.7183330591802e-14,2.77979288402374e-14,"Rps28/Rpl27a/Rpl10/Rplp2/Rpl7a/Rpl17/Rpl5/Rpl8/Rps10/Rpl14/Rpl35a/Rps5/Rpl28",13
"GO:0002181","cytoplasmic translation","18/222","171/28928",0.105263157894737,13.7164532954007,14.6667575123644,1.45983009891705e-15,1.19012648814212e-12,8.89728028708391e-13,"Rps28/Rpl27a/Rps21/Rps23/Rpsa/Rplp2/Rps25/Rpl7a/Rpl17/Rpl5/Rpl8/Rps2/Rps10/Rpl14/Rpl35a/Rps5/Rps8/Rpl28",18
"GO:0032535","regulation of cellular component size","17/222","411/28928",0.0413625304136253,5.38979855768177,7.88234481686429,2.29797506127548e-08,1.49873933496387e-05,1.12044426145558e-05,"Wnt7b/Scin/Olfm1/L1cam/Efna5/Myo3b/Wnt5a/Hsp90aa1/Stk39/Prkd1/Map1b/Esam/Epha7/Tpm1/Gsn/Ahr/Plekhh2",17
"GO:0034763","negative regulation of transmembrane transport","10/222","135/28928",0.0740740740740741,9.65231898565232,8.86130719721078,9.87616395436271e-08,5.36769510919613e-05,4.01284135408843e-05,"Upk3b/Pid1/Thbs1/Stk39/Gem/Ephb2/Oaz1/Ahr/Pea15a/Ptger3",10
"GO:0001822","kidney development","15/222","375/28928",0.04,5.21225225225225,7.22014595880701,2.4226888958426e-07,0.000112862692704896,8.43751501168642e-05,"Wnt7b/Sim1/Pax2/Pdgfa/Crlf1/Wnt5a/Cd24a/Robo1/Greb1l/Epha7/Foxc1/Ahr/Epha4/Odc1/Lamb2",15
"GO:0072001","renal system development","15/222","390/28928",0.0384615384615385,5.01178101178101,7.01454652256761,3.98749284671387e-07,0.000162540177164174,0.000121513597802491,"Wnt7b/Sim1/Pax2/Pdgfa/Crlf1/Wnt5a/Cd24a/Robo1/Greb1l/Epha7/Foxc1/Ahr/Epha4/Odc1/Lamb2",15
"GO:0072073","kidney epithelium development","10/222","173/28928",0.0578034682080925,7.53215643389054,7.57817774124025,9.88565268238876e-07,0.000358190148858553,0.000267779784940495,"Wnt7b/Sim1/Pax2/Crlf1/Cd24a/Greb1l/Epha7/Foxc1/Epha4/Lamb2",10
"GO:0042254","ribosome biogenesis","13/222","320/28928",0.040625,5.29369369369369,6.7921011446984,1.31646124357866e-06,0.000429298011531001,0.000320939393697703,"Rps28/Rps21/Rps23/Rpsa/Rps25/Rpl7a/Rpl5/Rpl14/Ran/Rpl35a/Rps5/Rps8/Nol7",13
"GO:0042274","ribosomal small subunit biogenesis","8/222","108/28928",0.0740740740740741,9.65231898565232,7.92208059726935,1.93218539052845e-06,0.000542097545575753,0.000405267326959261,"Rps28/Rps21/Rps23/Rpsa/Rps25/Rps5/Rps8/Nol7",8
