"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006885","regulation of pH","9/84","110/28928",0.0818181818181818,28.1766233766234,15.4107408476944,3.45729274698345e-11,5.22396934069199e-08,3.912199687376e-08,"Atp6v0d2/Atp6v1b1/Clcnkb/Slc4a9/Rhcg/Car12/Atp6v0a4/Gpr39/Dmxl1",9
"GO:0030641","regulation of cellular pH","7/84","91/28928",0.0769230769230769,26.4908424908425,13.1429678118932,8.96717895140922e-09,6.77470369778966e-06,5.07353545934995e-06,"Atp6v0d2/Atp6v1b1/Clcnkb/Slc4a9/Atp6v0a4/Gpr39/Dmxl1",7
"GO:0015670","carbon dioxide transport","4/84","17/28928",0.235294117647059,81.03081232493,17.8120426473257,1.52949515968407e-07,4.05143500041672e-05,3.03409566717613e-05,"Aqp6/Rhbg/Rhcg/Car12",4
"GO:0051453","regulation of intracellular pH","6/84","83/28928",0.072289156626506,24.895008605852,11.7645295031147,1.57836387108219e-07,4.05143500041672e-05,3.03409566717613e-05,"Atp6v0d2/Atp6v1b1/Clcnkb/Slc4a9/Atp6v0a4/Dmxl1",6
"GO:0070050","neuron cellular homeostasis","6/84","83/28928",0.072289156626506,24.895008605852,11.7645295031147,1.57836387108219e-07,4.05143500041672e-05,3.03409566717613e-05,"Atp6v1g3/Atp6v1b1/Atp6v0a4/Cacnb2/Gpr39/Cacna1d",6
"GO:0003014","renal system process","7/84","138/28928",0.0507246376811594,17.4685990338164,10.4649935238263,1.60877630724688e-07,4.05143500041672e-05,3.03409566717613e-05,"Aqp6/Atp6v1b1/Clcnkb/Kcnq1/Adgrf5/Atp6v0a4/Stk39",7
"GO:0015669","gas transport","4/84","22/28928",0.181818181818182,62.6147186147186,15.6014659677508,4.64921866443568e-07,0.000100356705742319,7.51565423198249e-05,"Aqp6/Rhbg/Rhcg/Car12",4
"GO:0055064","chloride ion homeostasis","4/84","25/28928",0.16,55.1009523809524,14.6038394789736,7.98681470202792e-07,0.000150850962684552,0.000112971392166842,"Atp6v1b1/Kcnq1/Car12/Stk39",4
"GO:0007035","vacuolar acidification","4/84","27/28928",0.148148148148148,51.0194003527337,14.032256847157,1.1031607707989e-06,0.000166687592467714,0.000124831350379876,"Atp6v0d2/Atp6v1b1/Atp6v0a4/Dmxl1",4
"GO:0019755","one-carbon compound transport","4/84","27/28928",0.148148148148148,51.0194003527337,14.032256847157,1.1031607707989e-06,0.000166687592467714,0.000124831350379876,"Aqp6/Rhbg/Rhcg/Car12",4
"GO:0055081","monoatomic anion homeostasis","4/84","28/28928",0.142857142857143,49.1972789115646,13.7694378932398,1.28417732050357e-06,0.000176399266480082,0.000132104365506348,"Atp6v1b1/Kcnq1/Car12/Stk39",4
"GO:0042472","inner ear morphogenesis","6/84","127/28928",0.047244094488189,16.2699662542182,9.30678650778632,1.95276415305862e-06,0.000245885552939298,0.000184142233731405,"Atp6v1b1/Tshr/Kcnq1/Myo3b/Gata3/Pax2",6
"GO:0042471","ear morphogenesis","6/84","151/28928",0.0397350993377483,13.6840113528855,8.43307445510167,5.3211621098765e-06,0.000618482765232569,0.00046317807839006,"Atp6v1b1/Tshr/Kcnq1/Myo3b/Gata3/Pax2",6
"GO:0043270","positive regulation of monoatomic ion transport","7/84","253/28928",0.0276679841897233,9.52832674571805,7.35251595845193,9.19751764858172e-06,0.000992674940500498,0.000743408381370327,"Kcnq1/Plcg2/Fgf12/Cacnb2/Gpr39/Stk39/Cacna1d",7
"GO:0051452","intracellular pH reduction","4/84","48/28928",0.0833333333333333,28.6984126984127,10.3643126026893,1.16761700355097e-05,0.00117617952824368,0.000880833879871787,"Atp6v0d2/Atp6v1b1/Atp6v0a4/Dmxl1",4
"GO:0003096","renal sodium ion transport","3/84","16/28928",0.1875,64.5714285714286,13.7260789348412,1.28702491294642e-05,0.00121543415216377,0.000910231435143026,"Atp6v1b1/Kcnq1/Stk39",3
