"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006885","regulation of pH","10/73","110/28928",0.0909090909090909,36.0249066002491,18.5116017475795,2.11622674243604e-13,3.46849563085267e-10,2.441457378642e-10,"Slc26a4/Slc4a9/Atp6v0d2/Atp6v1b1/Clcnkb/Rhcg/Car12/Atp6v0a4/Dmxl1/Atp6v0c",10
"GO:0051453","regulation of intracellular pH","7/73","83/28928",0.0843373493975904,33.4206964845684,14.87745699331,1.72905814146805e-09,1.2362995804024e-06,8.70225323606196e-07,"Slc4a9/Atp6v0d2/Atp6v1b1/Clcnkb/Atp6v0a4/Dmxl1/Atp6v0c",7
"GO:0003014","renal system process","8/73","138/28928",0.0579710144927536,22.9724042088545,13.0136427128773,2.26290344185918e-09,1.2362995804024e-06,8.70225323606196e-07,"Atp6v1b1/Clcnkb/Kcnq1/Atp6v0a4/Gnai2/Klhl3/Adgrf5/Stk39",8
"GO:0030641","regulation of cellular pH","7/73","91/28928",0.0769230769230769,30.4826132771338,14.1681850925706,3.31726163652053e-09,1.35924795556429e-06,9.56768093059607e-07,"Slc4a9/Atp6v0d2/Atp6v1b1/Clcnkb/Atp6v0a4/Dmxl1/Atp6v0c",7
"GO:0007035","vacuolar acidification","5/73","27/28928",0.185185185185185,73.3840690005074,18.9265313527037,6.88210660704822e-09,2.25595454579041e-06,1.58795554554207e-06,"Atp6v0d2/Atp6v1b1/Atp6v0a4/Dmxl1/Atp6v0c",5
"GO:0003096","renal sodium ion transport","4/73","16/28928",0.25,99.0684931506849,19.7357217980047,6.63661955511683e-08,1.58702639685899e-05,1.11710024145497e-05,"Atp6v1b1/Kcnq1/Klhl3/Stk39",4
"GO:0070050","neuron cellular homeostasis","6/73","83/28928",0.072289156626506,28.6463112724872,12.6865506166983,6.77802610006892e-08,1.58702639685899e-05,1.11710024145497e-05,"Atp6v1g3/Atp6v1b1/Atp6v0a4/Cacna1d/Cacnb2/Atp6v0c",6
"GO:0051452","intracellular pH reduction","5/73","48/28928",0.104166666666667,41.2785388127854,14.0474766867243,1.40086641393658e-07,2.87002506555257e-05,2.02019682851907e-05,"Atp6v0d2/Atp6v1b1/Atp6v0a4/Dmxl1/Atp6v0c",5
"GO:1902600","proton transmembrane transport","7/73","164/28928",0.0426829268292683,16.9141329769462,10.2797571550734,1.96960113875673e-07,3.54301924056544e-05,2.49391418879273e-05,"Atp6v1c2/Atp6v0d2/Atp6v1g3/Atp6v1b1/Atp6v0a4/Ghitm/Atp6v0c",7
"GO:0097401","synaptic vesicle lumen acidification","4/73","21/28928",0.19047619047619,75.4807566862361,17.1733414493717,2.16169569284041e-07,3.54301924056544e-05,2.49391418879273e-05,"Atp6v1g3/Atp6v1b1/Atp6v0a4/Atp6v0c",4
"GO:0055064","chloride ion homeostasis","4/73","25/28928",0.16,63.4038356164384,15.700461403316,4.53425137031942e-07,6.75603454177594e-05,4.75554019317712e-05,"Atp6v1b1/Car12/Kcnq1/Stk39",4
"GO:0055081","monoatomic anion homeostasis","4/73","28/28928",0.142857142857143,56.6105675146771,14.8077819269055,7.29714418265331e-07,9.96668276280732e-05,7.01550002121757e-05,"Atp6v1b1/Car12/Kcnq1/Stk39",4
"GO:0016188","synaptic vesicle maturation","4/73","29/28928",0.137931034482759,54.6584789796882,14.5411427473277,8.4485527364503e-07,0.000106516753346477,7.49766299526278e-05,"Atp6v1g3/Atp6v1b1/Atp6v0a4/Atp6v0c",4
