"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046651","lymphocyte proliferation","28/172","336/28928",0.0833333333333333,14.015503875969,18.559233710536,5.98158093866044e-24,1.63810235166965e-20,1.02681625501727e-20,"Dock2/Cd74/H2-Aa/Nckap1l/Laptm5/Cd44/Syk/Ptpn22/Cd86/Elf4/Rasgrp1/Plcl2/P2rx7/Tgfb1/Lilrb4a/Coro1a/Vsir/Fyn/Tnfrsf1b/Itgam/Slfn2/H2-DMb1/Lgals9/Lst1/Tlr4/Cdkn1a/Havcr2/Tyrobp",28
"GO:0032943","mononuclear cell proliferation","28/172","343/28928",0.0816326530612245,13.7294731846227,18.3417207066827,1.0551383907695e-23,1.63810235166965e-20,1.02681625501727e-20,"Dock2/Cd74/H2-Aa/Nckap1l/Laptm5/Cd44/Syk/Ptpn22/Cd86/Elf4/Rasgrp1/Plcl2/P2rx7/Tgfb1/Lilrb4a/Coro1a/Vsir/Fyn/Tnfrsf1b/Itgam/Slfn2/H2-DMb1/Lgals9/Lst1/Tlr4/Cdkn1a/Havcr2/Tyrobp",28
"GO:0070661","leukocyte proliferation","28/172","378/28928",0.0740740740740741,12.458225667528,17.3425078099611,1.50515629207664e-22,1.55783676229933e-19,9.76503152298145e-20,"Dock2/Cd74/H2-Aa/Nckap1l/Laptm5/Cd44/Syk/Ptpn22/Cd86/Elf4/Rasgrp1/Plcl2/P2rx7/Tgfb1/Lilrb4a/Coro1a/Vsir/Fyn/Tnfrsf1b/Itgam/Slfn2/H2-DMb1/Lgals9/Lst1/Tlr4/Cdkn1a/Havcr2/Tyrobp",28
"GO:0002697","regulation of immune effector process","30/172","487/28928",0.0616016427104723,10.3605367460962,16.111815710666,8.31115661713313e-22,6.45153532404959e-19,4.04403383817873e-19,"Cd74/Nckap1l/Laptm5/Syk/Ptpn22/Cd86/Lacc1/Cd84/Arrb2/Fcer1g/Rasgrp1/Axl/Vav1/P2rx7/Tgfb1/Lilrb4a/B2m/Vsir/Tnfrsf1b/Irf5/Fes/Itgam/H2-DMb1/Tlr7/H2-Q7/Lgals9/Tlr4/Havcr2/Tyrobp/Gimap3",30
"GO:0050867","positive regulation of cell activation","27/172","407/28928",0.0663390663390663,11.1573052968402,15.9604458939736,1.61418384767666e-20,1.0024081694072e-17,6.28342301969293e-18,"Runx1/Sh3kbp1/Cd74/Ctsc/H2-Aa/Nckap1l/H2-Eb1/Syk/Ptpn22/Cd86/H2-Ab1/Plek/Rasgrp1/Axl/Vav1/Tgfb1/Lilrb4a/B2m/Coro1a/Vsir/H2-DMb1/Lgals9/Tlr4/Cdkn1a/Havcr2/Tyrobp/Gimap3",27
"GO:0002696","positive regulation of leukocyte activation","26/172","383/28928",0.0678851174934726,11.4173295282045,15.8723945099063,4.9070304682831e-20,2.5393882673365e-17,1.59177181330797e-17,"Runx1/Sh3kbp1/Cd74/Ctsc/H2-Aa/Nckap1l/H2-Eb1/Syk/Ptpn22/Cd86/H2-Ab1/Rasgrp1/Axl/Vav1/Tgfb1/Lilrb4a/B2m/Coro1a/Vsir/H2-DMb1/Lgals9/Tlr4/Cdkn1a/Havcr2/Tyrobp/Gimap3",26
"GO:0051251","positive regulation of lymphocyte activation","25/172","346/28928",0.0722543352601156,12.1521709907246,16.1399745418742,5.99402667379172e-20,2.65877897458904e-17,1.66660982253246e-17,"Runx1/Sh3kbp1/Cd74/H2-Aa/Nckap1l/H2-Eb1/Syk/Ptpn22/Cd86/H2-Ab1/Rasgrp1/Axl/Vav1/Tgfb1/Lilrb4a/B2m/Coro1a/Vsir/H2-DMb1/Lgals9/Tlr4/Cdkn1a/Havcr2/Tyrobp/Gimap3",25
"GO:0007159","leukocyte cell-cell adhesion","27/172","434/28928",0.0622119815668203,10.4631872253778,15.3623364048663,8.47197782353253e-20,3.28818639275856e-17,2.06114302575153e-17,"Runx1/Cd74/Itga4/H2-Aa/Nckap1l/Laptm5/Stk10/Cd44/H2-Eb1/Fermt3/Syk/Ptpn22/Cd86/H2-Ab1/Skap1/Rasgrp1/Vav1/Tgfb1/Lilrb4a/B2m/Coro1a/Vsir/Itgam/H2-DMb1/Lgals9/Havcr2/Gimap3",27
"GO:0042098","T cell proliferation","22/172","246/28928",0.0894308943089431,15.0410285498204,17.1046205417686,1.17787657820164e-19,4.06367419479565e-17,2.54724420245009e-17,"Dock2/H2-Aa/Nckap1l/Laptm5/Cd44/Syk/Ptpn22/Cd86/Elf4/Rasgrp1/P2rx7/Tgfb1/Lilrb4a/Coro1a/Vsir/Fyn/Tnfrsf1b/Itgam/Slfn2/H2-DMb1/Lgals9/Havcr2",22
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","23/172","285/28928",0.0807017543859649,13.5729090167279,16.4968351692024,1.69641116115097e-19,5.26735665537377e-17,3.30175182838752e-17,"Runx1/Cd74/Itga4/H2-Aa/Nckap1l/Cd44/H2-Eb1/Syk/Ptpn22/Cd86/H2-Ab1/Skap1/Rasgrp1/Vav1/Tgfb1/Lilrb4a/B2m/Coro1a/Vsir/H2-DMb1/Lgals9/Havcr2/Gimap3",23
