"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060485","mesenchyme development","17/176","328/28928",0.0518292682926829,8.51884700665188,10.7146787637374,2.07625985948556e-11,6.24123713761359e-08,4.58962705781018e-08,"Ncam1/Wt1/Cdh2/Robo1/Mark1/Adamts5/Wnt16/Thbs1/Pdpn/Aldh1a2/Foxd1/Foxc1/Epha4/Edn3/Sox4/Sema3f/Crb2",17
"GO:0030198","extracellular matrix organization","16/176","333/28928",0.048048048048048,7.8973518973519,9.90452042760342,2.52787761751231e-10,2.07350181209608e-07,1.52479385278627e-07,"Wt1/Adamts5/Col4a6/Abi3bp/Aebp1/Pdpn/Antxr1/Foxc1/Pxdn/Nid1/Cyp1b1/Cav1/Hspg2/Mmp14/Eln/Cav2",16
"GO:0045229","external encapsulating structure organization","16/176","334/28928",0.0479041916167665,7.87370713119216,9.88554922395278,2.64118220685699e-10,2.07350181209608e-07,1.52479385278627e-07,"Wt1/Adamts5/Col4a6/Abi3bp/Aebp1/Pdpn/Antxr1/Foxc1/Pxdn/Nid1/Cyp1b1/Cav1/Hspg2/Mmp14/Eln/Cav2",16
"GO:0043062","extracellular structure organization","16/176","335/28928",0.0477611940298507,7.85020352781547,9.86665671498313,2.75915078123231e-10,2.07350181209608e-07,1.52479385278627e-07,"Wt1/Adamts5/Col4a6/Abi3bp/Aebp1/Pdpn/Antxr1/Foxc1/Pxdn/Nid1/Cyp1b1/Cav1/Hspg2/Mmp14/Eln/Cav2",16
"GO:0001822","kidney development","16/176","375/28928",0.0426666666666667,7.01284848484848,9.16946555453357,1.41433541073518e-09,7.6481006875986e-07,5.62419422346782e-07,"Fras1/Plce1/Wt1/Robo1/Gli3/Aldh1a2/Foxd1/Foxc1/Epha7/Nid1/Smad9/Fbn1/Epha4/Sox4/Cd44/Fat4",16
"GO:0031589","cell-substrate adhesion","16/176","377/28928",0.0424403183023873,6.97564504461056,9.13731942228833,1.52656700351269e-09,7.6481006875986e-07,5.62419422346782e-07,"Actn1/Abi3bp/Thbs1/Pdpn/Antxr1/Svep1/St6gal1/Sned1/Nid1/Nid2/Lrp1/Nexmif/Axl/Mmp14/Vcam1/Rpl29",16
"GO:0072001","renal system development","16/176","390/28928",0.041025641025641,6.74312354312354,8.93393312478511,2.47974794637337e-09,1.06487461811405e-06,7.83078298854749e-07,"Fras1/Plce1/Wt1/Robo1/Gli3/Aldh1a2/Foxd1/Foxc1/Epha7/Nid1/Smad9/Fbn1/Epha4/Sox4/Cd44/Fat4",16
"GO:0016055","Wnt signaling pathway","17/176","467/28928",0.0364025695931477,5.9832587113101,8.49416707575958,4.6223767227281e-09,1.73685805356508e-06,1.2772356733854e-06,"Dcdc2a/Dkk3/Cdh2/Mark1/Cpe/Wnt16/Gli3/Foxd1/Nid1/Sox4/Cdh3/Scel/Lrp1/Cd44/Cav1/Ctnnd2/Sostdc1",17
"GO:0090287","regulation of cellular response to growth factor stimulus","13/176","333/28928",0.039039039039039,6.41659841659842,7.77817493782226,1.45623982272478e-07,4.86384100790076e-05,3.57672938914858e-05,"Robo1/Fstl1/Thbs1/Foxd1/Fbn1/Nbl1/Cdh3/Lrp1/Cav1/Jcad/Crb2/Cav2/Sostdc1",13
"GO:0060070","canonical Wnt signaling pathway","12/176","312/28928",0.0384615384615385,6.32167832167832,7.3942725518206,5.21891696408205e-07,0.000149488854901527,0.000109929822913194,"Dkk3/Cdh2/Wnt16/Gli3/Foxd1/Nid1/Sox4/Cdh3/Scel/Cav1/Ctnnd2/Sostdc1",12
