"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043542","endothelial cell migration","17/211","237/28928",0.0717299578059072,9.83414321994921,11.7054781176541,2.19340172709294e-12,6.52098333464732e-09,4.91091102476493e-09,"Dpp4/Vegfa/Sema5a/Prkd1/Sparc/Prkca/Egf/Anxa3/Robo1/Anxa1/Ccbe1/Loxl2/Gadd45a/Emp2/Cyp1b1/Fstl1/Thbs1",17
"GO:0031589","cell-substrate adhesion","19/211","377/28928",0.0503978779840849,6.90952518636781,9.90001818621785,5.18075386107147e-11,4.59185430870127e-08,3.45809623970386e-08,"Sema3e/Vegfa/Mertk/St6gal1/Pcsk5/Dlc1/Pdpn/Axl/Itga2/Svep1/Frem1/Bcam/Lamb2/Actn1/Myadm/Emp2/Actg1/Nid2/Thbs1",19
"GO:0007015","actin filament organization","21/211","476/28928",0.0441176470588235,6.04850850292724,9.51992571951077,5.70710379984148e-11,4.59185430870127e-08,3.45809623970386e-08,"Nphs1/Nebl/Arhgap28/Synpo/Tmod3/Sema5a/Wipf3/Plekhh2/Tpm1/Gsn/Dlc1/Inf2/Gas7/Pakap/Actn1/Tmsb10/Myadm/Emp2/Actg1/Cdc42ep1/Hip1",21
"GO:0008360","regulation of cell shape","13/211","146/28928",0.089041095890411,12.2074920470038,11.6371805971563,6.17807508738819e-11,4.59185430870127e-08,3.45809623970386e-08,"Sema3e/Vegfa/Fyn/Tpm1/Dlc1/Gas7/Pdpn/Plekho1/Anxa1/Epb41l2/Pakap/Arhgdia/Cdc42ep1",13
"GO:0032835","glomerulus development","10/211","79/28928",0.126582278481013,17.3543703881457,12.4768623683879,3.19914201897674e-10,1.90220984448357e-07,1.43254212091864e-07,"Ptpro/Nphs1/Wt1/Plce1/Nphs2/Podxl/Enpep/Il6ra/Foxc1/Lamb2",10
"GO:0072010","glomerular epithelium development","7/211","28/28928",0.25,34.2748815165877,15.0997585689363,1.03354740823741e-09,5.12122740781639e-07,3.85676374968593e-07,"Ptpro/Nphs1/Wt1/Nphs2/Podxl/Foxc1/Lamb2",7
"GO:0045765","regulation of angiogenesis","16/211","319/28928",0.0501567398119122,6.87646525724643,9.04656206128882,1.95347794033192e-09,8.29669988086685e-07,6.24819184824961e-07,"Sema3e/Vegfa/Sema5a/Fyn/Prkd1/Sparc/Prkca/Anxa3/Foxc1/Clic3/Ccbe1/Stim1/Gadd45a/Emp2/Cyp1b1/Thbs1",16
"GO:1901342","regulation of vasculature development","16/211","326/28928",0.049079754601227,6.72881109528102,8.91658372920271,2.66598882543987e-09,9.90748097254091e-07,7.46126083119816e-07,"Sema3e/Vegfa/Sema5a/Fyn/Prkd1/Sparc/Prkca/Anxa3/Foxc1/Clic3/Ccbe1/Stim1/Gadd45a/Emp2/Cyp1b1/Thbs1",16
"GO:0072006","nephron development","12/211","180/28928",0.0666666666666667,9.13996840442338,9.39028005829319,9.4123902299885e-09,2.97798983579894e-06,2.24270518198677e-06,"Ptpro/Nphs1/Wt1/Plce1/Nphs2/Podxl/Vegfa/Enpep/Il6ra/Foxd1/Foxc1/Lamb2",12
"GO:0010594","regulation of endothelial cell migration","12/211","181/28928",0.0662983425414365,9.08947134141552,9.35807572319871,1.00167838405615e-08,2.97798983579894e-06,2.24270518198677e-06,"Vegfa/Sema5a/Prkd1/Sparc/Prkca/Egf/Anxa3/Anxa1/Ccbe1/Gadd45a/Emp2/Thbs1",12
"GO:0010595","positive regulation of endothelial cell migration","10/211","114/28928",0.087719298245614,12.0262742163466,10.1112030072894,1.21113787242445e-08,3.19483144099621e-06,2.40600721404888e-06,"Vegfa/Sema5a/Prkd1/Sparc/Prkca/Egf/Anxa3/Anxa1/Ccbe1/Thbs1",10
