"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","29/227","433/28928",0.0669745958429561,8.53498285702658,14.049407139361,1.15962693070593e-18,3.77458565944781e-15,2.83315169070365e-15,"Top2a/Diaph3/Mki67/Cenpp/Knl1/Tpx2/Kif23/Kif4/Prc1/Kif11/Nusap1/Cenpf/Cdca8/Aspm/Cdca2/Rad18/Fancd2/Bub1b/Ndc80/Sgo2a/Ttk/Kif14/Psrc1/Espl1/Tubb5/Cdc20/Ccnb1/Spc24/Cenpw",29
"GO:0000280","nuclear division","27/227","468/28928",0.0576923076923077,7.35208403930871,12.3207693073802,7.97024093776248e-16,1.29715671262084e-12,9.73627853502459e-13,"Top2a/Mki67/Knl1/Tpx2/Kif23/Kif4/Prc1/Kif11/Nusap1/Cdca8/Aspm/Cdca2/Fancd2/Bub1b/Fanca/Ndc80/Sgo2a/Ttk/Kif14/Psrc1/Espl1/Cdc20/Ccnb1/Ywhah/Spc24/Camk2b/Cav2",27
"GO:0140014","mitotic nuclear division","21/227","282/28928",0.074468085106383,9.48992407910769,12.7412629612282,1.04085338302646e-14,1.12932592058371e-11,8.47656386668215e-12,"Mki67/Knl1/Tpx2/Kif23/Kif4/Prc1/Kif11/Nusap1/Cdca8/Cdca2/Bub1b/Ndc80/Ttk/Kif14/Psrc1/Espl1/Cdc20/Ccnb1/Ywhah/Spc24/Cav2",21
"GO:0000070","mitotic sister chromatid segregation","17/227","190/28928",0.0894736842105263,11.4021794574542,12.7934885334729,1.97304119606476e-13,1.31691543271828e-10,9.8845847500659e-11,"Knl1/Tpx2/Kif23/Kif4/Prc1/Kif11/Nusap1/Cdca8/Bub1b/Ndc80/Ttk/Kif14/Psrc1/Espl1/Cdc20/Ccnb1/Spc24",17
"GO:0098813","nuclear chromosome segregation","21/227","328/28928",0.0640243902439024,8.15902009240357,11.5964109846571,2.02291157099582e-13,1.31691543271828e-10,9.8845847500659e-11,"Top2a/Knl1/Tpx2/Kif23/Kif4/Prc1/Kif11/Nusap1/Cenpf/Cdca8/Aspm/Fancd2/Bub1b/Ndc80/Ttk/Kif14/Psrc1/Espl1/Cdc20/Ccnb1/Spc24",21
"GO:0000819","sister chromatid segregation","18/227","230/28928",0.0782608695652174,9.97326182723616,12.1507911017717,3.81181587406573e-13,2.06791011168066e-10,1.55214467433448e-10,"Top2a/Knl1/Tpx2/Kif23/Kif4/Prc1/Kif11/Nusap1/Cdca8/Bub1b/Ndc80/Ttk/Kif14/Psrc1/Espl1/Cdc20/Ccnb1/Spc24",18
"GO:0007088","regulation of mitotic nuclear division","13/227","125/28928",0.104,13.2533568281938,12.2097658957871,2.13801161942023e-11,9.94175403030407e-09,7.46214281003662e-09,"Mki67/Knl1/Nusap1/Cdca8/Cdca2/Bub1b/Ndc80/Ttk/Cdc20/Ccnb1/Ywhah/Spc24/Cav2",13
"GO:0051783","regulation of nuclear division","14/227","161/28928",0.0869565217391304,11.0814020302624,11.4078209842964,4.08946904181844e-11,1.66390271638988e-08,1.24890232185008e-08,"Mki67/Knl1/Nusap1/Cdca8/Cdca2/Bub1b/Ndc80/Ttk/Cdc20/Ccnb1/Ywhah/Spc24/Camk2b/Cav2",14
"GO:0000281","mitotic cytokinesis","11/227","89/28928",0.123595505617978,15.7505320991932,12.3944912110799,1.16321657395646e-10,4.20696660914253e-08,3.15769083994497e-08,"Anln/Kif23/Kif4/Nusap1/Kif20b/Ckap2/Cdca8/Stmn1/Cenpa/Iqgap3/Cfl1",11
"GO:0000910","cytokinesis","14/227","186/28928",0.0752688172043011,9.5919662735067,10.454581564288,2.8132498926468e-10,9.15712840056535e-08,6.87321368508761e-08,"Diaph3/Anln/Kif23/Kif4/Prc1/Nusap1/Kif20b/Ckap2/Cdca8/Stmn1/Cenpa/Iqgap3/Kif14/Cfl1",14
