"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015711","organic anion transport","45/521","477/28928",0.0943396226415094,5.23811248325064,12.6398166606922,1.32430133958298e-19,3.13723228480596e-16,2.13445481577205e-16,"Slc5a8/Slc27a2/Slc16a9/Slc47a1/Slco1a6/Slc6a20b/Slc17a3/Slc25a21/Slc1a1/Lrp2/Slc7a13/Slc17a1/Ces1f/Slc22a30/Cd36/Slc22a28/Slc6a15/Slco4c1/Slc22a19/Abcg2/Slc22a12/Slc22a13/Slc39a8/Slc10a2/Ace2/Cldn2/Ces1d/Slco1a1/Slc25a39/Abcb1b/Plin2/Cltrn/Slc4a4/Slc22a7/Arg2/Slc22a26/Arl6ip1/Lyn/Slco2a1/Cacnb4/Apoe/Slc25a4/Mif/Slc7a7/Slc4a7",45
"GO:0006631","fatty acid metabolic process","45/521","478/28928",0.0941422594142259,5.22715408893422,12.6205640676609,1.43810785459819e-19,3.13723228480596e-16,2.13445481577205e-16,"Acsm1/Slc27a2/Cyp2j11/Gk/Mlxipl/Hnf4a/Acss2/Ces1f/Cyp2j5/Pecr/Acot12/Eci3/Acsm5/Acox2/Acsm2/Aoah/Myo5a/Fmo1/Aacs/Nudt19/Slc22a13/Ehhadh/Amacr/Fmo2/Akr1c14/Acaa1b/Dbi/Fads3/Cyp2d9/Acsm3/Hao2/Abcc9/Cyp2a4/Ces1d/Cyp2j13/Etfb/Gstm1/Adh5/Acadvl/Acads/Erlin2/Degs1/Hsd17b10/Mif/Elovl6",45
"GO:0008202","steroid metabolic process","38/521","366/28928",0.103825136612022,5.76478608812393,12.4236016331675,3.9925384294023e-18,5.80648172249408e-15,3.95051170909281e-15,"Slc27a2/Slco1a6/Cubn/Fgf1/Esr1/Lrp2/Ces1f/Rdh16/Cyp7b1/Cyp51/Acox2/Akr1c21/Hsd17b2/Cat/Fmo5/Rdh16f2/Akr1d1/Hsd3b2/Amacr/Akr1c14/Acaa1b/Sod1/Gc/Apob/Ces1d/Idi1/Hsd11b1/Dab2/Hint2/Ugt2b37/Acadvl/Ebp/Erlin2/Cbr1/Akr1c19/Hsd17b10/Apoe/Spp1",38
"GO:0016053","organic acid biosynthetic process","35/521","332/28928",0.105421686746988,5.85343292556021,12.0454576075217,5.37793868054152e-17,5.67837374272396e-14,3.86335185941145e-14,"Acsm1/Slc27a2/Mlxipl/Hnf4a/Acss2/Ces1f/Pecr/Rdh16/Aass/Cyp7b1/Acsm5/Acox2/Acsm2/Myo5a/Rdh16f2/Akr1d1/Fmo1/Amacr/Fads3/Acsm3/Agxt2/Bcat1/Sephs2/Ces1d/Gstm1/Park7/Ldha/Acadvl/Erlin2/Aldh1a1/Degs1/Hsd17b10/Plod2/Mif/Elovl6",35
"GO:0044282","small molecule catabolic process","37/521","376/28928",0.0984042553191489,5.46379711683751,11.7988037117847,6.50741891212922e-17,5.67837374272396e-14,3.86335185941145e-14,"Slc27a2/Cubn/Gk/Hgd/Ces1f/Cda/Aass/Eci3/Sord/Acox2/Aldob/Akr1d1/Nudt19/Ehhadh/Acaa1b/Dbi/Agxt2/Hao2/Bcat1/Adh1/Uroc1/Ces1d/Miox/Gcsh/Etfb/Park7/Arg2/Oaz1/Hdc/Ldha/Adh5/Acadvl/Acads/Aldh1a1/Pnp/Hsd17b10/Apoe",37
"GO:0072330","monocarboxylic acid biosynthetic process","29/521","226/28928",0.128318584070796,7.12476007677543,12.518292478339,1.43594344142334e-16,1.04417020582167e-13,7.10414123651547e-14,"Acsm1/Slc27a2/Mlxipl/Hnf4a/Acss2/Ces1f/Pecr/Rdh16/Cyp7b1/Acsm5/Acox2/Acsm2/Myo5a/Rdh16f2/Akr1d1/Amacr/Fads3/Acsm3/Ces1d/Gstm1/Park7/Ldha/Acadvl/Erlin2/Aldh1a1/Degs1/Hsd17b10/Mif/Elovl6",29
"GO:0046394","carboxylic acid biosynthetic process","34/521","328/28928",0.103658536585366,5.75553578952296,11.7303571078424,2.53792755460418e-16,1.58185398867686e-13,1.07623394044869e-13,"Acsm1/Slc27a2/Mlxipl/Hnf4a/Acss2/Ces1f/Pecr/Rdh16/Aass/Cyp7b1/Acsm5/Acox2/Acsm2/Myo5a/Rdh16f2/Akr1d1/Amacr/Fads3/Acsm3/Agxt2/Bcat1/Sephs2/Ces1d/Gstm1/Park7/Ldha/Acadvl/Erlin2/Aldh1a1/Degs1/Hsd17b10/Plod2/Mif/Elovl6",34
"GO:0045333","cellular respiration","31/521","271/28928",0.114391143911439,6.3514529962958,11.9866789289025,3.42911697993239e-16,1.87015467293063e-13,1.27238287939597e-13,"Mlxipl/Ak4/Cat/Gpd1/Abcc9/Cisd1/Ndufa6/Etfb/Park7/Pink1/Cox8a/Ndufb4/Ndufs7/Coa6/Ndufv1/Prelid1/Uqcr10/Ndufb5/Ndufa13/Cox4i1/Ndufv3/Uqcrfs1/Uqcrb/Uqcr11/Idh3g/Chchd10/Ndufa8/Ndufb6/Ndufa2/Sdhd/Bax",31
"GO:0015980","energy derivation by oxidation of organic compounds","35/521","380/28928",0.0921052631578947,5.11405192443681,10.932804869217,3.48827898473283e-15,1.6910401344877e-12,1.15052008619258e-12,"Mlxipl/Ak4/Cat/Gpd1/Abcc9/Cisd1/Ndufa6/Etfb/Park7/Pink1/Ldha/Cox8a/Ndufb4/Ndufs7/Coa6/Phlda2/Ndufv1/Prelid1/Uqcr10/Ndufb5/Ndufa13/Cox4i1/Ndufv3/Uqcrfs1/Uqcrb/Uqcr11/Idh3g/Chchd10/Ndufa8/Ndufb6/Ndufa2/Sdhd/Gbe1/Bax/Ppp1ca",35
"GO:0006119","oxidative phosphorylation","23/521","154/28928",0.149350649350649,8.29254430789939,12.2884523863515,7.39405702643826e-15,3.22602708063501e-12,2.19486745416378e-12,"Mlxipl/Ak4/Ndufa6/Park7/Pink1/Cox8a/Ndufb4/Ndufs7/Coa6/Ndufv1/Uqcr10/Ndufb5/Ndufa13/Cox4i1/Ndufv3/Uqcrfs1/Uqcrb/Uqcr11/Chchd10/Ndufa8/Ndufb6/Ndufa2/Sdhd",23
