"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140241","translation at synapse","8/28","48/28928",0.166666666666667,172.190476190476,36.9473603504706,9.41771491188523e-17,2.61341588804815e-14,1.83893275384706e-14,"Eef2/Rpl27a/Rpl5/Rpl28/Rpl10/Rps28/Rpl14/Rpl8",8
"GO:0140242","translation at postsynapse","8/28","48/28928",0.166666666666667,172.190476190476,36.9473603504706,9.41771491188523e-17,2.61341588804815e-14,1.83893275384706e-14,"Eef2/Rpl27a/Rpl5/Rpl28/Rpl10/Rps28/Rpl14/Rpl8",8
"GO:0140236","translation at presynapse","7/28","47/28928",0.148936170212766,153.872340425532,32.6477700078623,2.1598826421845e-14,3.99578288804132e-12,2.81163670263316e-12,"Rpl27a/Rpl5/Rpl28/Rpl10/Rps28/Rpl14/Rpl8",7
"GO:0002181","cytoplasmic translation","9/28","171/28928",0.0526315789473684,54.3759398496241,21.7898175472054,4.46929979473431e-14,6.20115346519385e-12,4.3634479574906e-12,"Rps8/Eef2/Rpl27a/Rpl5/Rps23/Rpl28/Rps28/Rpl14/Rpl8",9
"GO:0042254","ribosome biogenesis","5/28","320/28928",0.015625,16.1428571428571,8.47853579328825,1.28027832039762e-05,0.00132420288408486,0.000931776709332352,"Rps8/Rpl5/Rps23/Rps28/Rpl14",5
"GO:0006119","oxidative phosphorylation","4/28","154/28928",0.025974025974026,26.834879406308,10.0057229053905,1.43157068549714e-05,0.00132420288408486,0.000931776709332352,"Cox4i1/Cox8a/Ndufa13/Uqcr11",4
"GO:0019646","aerobic electron transport chain","3/28","66/28928",0.0454545454545455,46.961038961039,11.6353750346167,3.56728688942864e-05,0.00282834889090414,0.00199017058041809,"Cox4i1/Cox8a/Uqcr11",3
"GO:0009060","aerobic respiration","4/28","206/28928",0.0194174757281553,20.0610263522885,8.5458318862378,4.47228978142045e-05,0.00310265103586044,0.0021831835643513,"Cox4i1/Cox8a/Ndufa13/Uqcr11",4
"GO:0006364","rRNA processing","4/28","217/28928",0.0184331797235023,19.044107965767,8.30468026331202,5.47489552800646e-05,0.00327647966127464,0.00230549825383195,"Rps8/Rpl5/Rps28/Rpl14",4
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","3/28","81/28928",0.037037037037037,38.2645502645503,10.4536958095085,6.58693520646079e-05,0.00327647966127464,0.00230549825383195,"Cox4i1/Cox8a/Uqcr11",3
"GO:0022613","ribonucleoprotein complex biogenesis","5/28","452/28928",0.0110619469026549,11.4285714285714,6.95562784620242,6.65420628761159e-05,0.00327647966127464,0.00230549825383195,"Rps8/Rpl5/Rps23/Rps28/Rpl14",5
"GO:0042773","ATP synthesis coupled electron transport","3/28","83/28928",0.036144578313253,37.342512908778,10.3204948151809,7.08428034870193e-05,0.00327647966127464,0.00230549825383195,"Cox4i1/Cox8a/Uqcr11",3
"GO:0016072","rRNA metabolic process","4/28","258/28928",0.0155038759689922,16.0177187153931,7.54191727149699,0.000106934613378735,0.00456528541732291,0.00321236773793608,"Rps8/Rpl5/Rps28/Rpl14",4
"GO:0045333","cellular respiration","4/28","271/28928",0.014760147601476,15.2493410648392,7.33577255019389,0.00012919811619356,0.00512178246338758,0.00360394745171511,"Cox4i1/Cox8a/Ndufa13/Uqcr11",4
"GO:0042274","ribosomal small subunit biogenesis","3/28","108/28928",0.0277777777777778,28.6984126984127,8.97638690349192,0.000154882468740527,0.00573065134339949,0.00403237865984109,"Rps8/Rps23/Rps28",3
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","2/28","20/28928",0.1,103.314285714286,14.2470203146976,0.00016981254939283,0.00589037280706377,0.00414476683057498,"Cox4i1/Cox8a",2
"GO:0022904","respiratory electron transport chain","3/28","118/28928",0.0254237288135593,26.2663438256659,8.56039034175527,0.000201188697276206,0.00656821923460556,0.00462173416033886,"Cox4i1/Cox8a/Uqcr11",3
"GO:0022900","electron transport chain","3/28","127/28928",0.0236220472440945,24.4049493813273,8.22787291647737,0.000249822974458861,0.00770287504581487,0.00542013587861037,"Cox4i1/Cox8a/Uqcr11",3
"GO:0015980","energy derivation by oxidation of organic compounds","4/28","380/28928",0.0105263157894737,10.8751879699248,6.03158034535685,0.000467581562555531,0.0131043540299049,0.0092208920722517,"Cox4i1/Cox8a/Ndufa13/Uqcr11",4
"GO:0006417","regulation of translation","4/28","381/28928",0.010498687664042,10.8466441694788,6.02215995156436,0.000472228974050626,0.0131043540299049,0.0092208920722517,"Eef2/Rpl5/Rack1/Rpl10",4
"GO:0140694","non-membrane-bounded organelle assembly","4/28","435/28928",0.00919540229885057,9.50016420361248,5.56012617272848,0.000775697092395348,0.0205005660133056,0.0144252441743696,"Rpl5/Actg1/Rps23/Rps28",4
"GO:0022898","regulation of transmembrane transporter activity","3/28","209/28928",0.0143540669856459,14.8298017771702,6.24577354360699,0.00106585574064789,0.0259489820374158,0.0182590276640707,"Ahnak/Ndufa4/Cltrn",3
"GO:0030490","maturation of SSU-rRNA","2/28","50/28928",0.04,41.3257142857143,8.88311546003673,0.00107536321956858,0.0259489820374158,0.0182590276640707,"Rps8/Rps28",2
"GO:0032409","regulation of transporter activity","3/28","220/28928",0.0136363636363636,14.0883116883117,6.06562130580063,0.00123525021844696,0.0285651613015859,0.020099904870343,"Ahnak/Ndufa4/Cltrn",3
"GO:0003254","regulation of membrane depolarization","2/28","57/28928",0.0350877192982456,36.250626566416,8.29192083976758,0.00139519313590535,0.0309732876170987,0.0217943854071951,"B2m/Rack1",2
"GO:0042255","ribosome assembly","2/28","61/28928",0.0327868852459016,33.8735362997658,8.00004276151504,0.00159593119939732,0.034066992910212,0.0239712742905427,"Rpl5/Rps28",2
"GO:0042273","ribosomal large subunit biogenesis","2/28","65/28928",0.0307692307692308,31.789010989011,7.73505621583105,0.0018096235935874,0.0371978183126299,0.0261742827766443,"Rpl5/Rpl14",2
"GO:0090150","establishment of protein localization to membrane","3/28","281/28928",0.0106761565836299,11.0299949161159,5.25891426794924,0.00248195348628614,0.0491958637460288,0.0346167196771488,"Naca/Rack1/Ndufa13",3
