"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007160","cell-matrix adhesion","17/294","241/28928",0.0705394190871369,6.94069495017924,9.38399050237216,5.30389635202288e-10,1.91629775198587e-06,1.40804490524229e-06,"Utrn/Tiam1/Bst1/Plet1/Bcam/L1cam/Thbs1/Nid2/Wnt4/Efna5/Sned1/Jag1/Actn1/Skap1/Itga2/Gpm6b/Adam15",17
"GO:0031589","cell-substrate adhesion","20/294","377/28928",0.0530503978779841,5.21987044154532,8.35686686209893,2.32196916093911e-09,4.19463728923649e-06,3.08210853888865e-06,"Utrn/Tiam1/Bst1/Plet1/Bcam/L1cam/Thbs1/Nid2/Wnt4/Efna5/Sned1/Jag1/Actn1/Skap1/St6gal1/Pdpn/Itga2/Gpm6b/Lamb2/Adam15",20
"GO:0060485","mesenchyme development","17/294","328/28928",0.0518292682926829,5.09971793595487,7.56645120828315,5.30125911229207e-08,4.58644126679144e-05,3.36999573902662e-05,"Pax2/Tiam1/Wnt7b/Thbs1/Foxc1/Sema5a/Wnt4/Jag1/Plaur/Frzb/Cdh2/Epha4/Pdpn/Ncam1/Sox4/Taf10/Adam15",17
"GO:0001822","kidney development","18/294","375/28928",0.048,4.7229387755102,7.35292283155431,6.8334774634029e-08,4.58644126679144e-05,3.36999573902662e-05,"Pax2/Sim1/Wnt7b/Fras1/Epha7/Foxc1/Cd24a/Wnt4/Frem2/Jag1/Pdgfa/Epha4/Irx3/Plce1/Gli3/Sox4/Id3/Lamb2",18
"GO:0007596","blood coagulation","13/294","188/28928",0.0691489361702128,6.80387899840787,8.08980856925417,7.46856336894099e-08,4.58644126679144e-05,3.36999573902662e-05,"Thbs1/F2rl1/Plaur/Pdgfa/Ephb2/Cd9/Pdpn/Prkca/Tspan8/Stxbp1/Tmx1/Pla2g4a/Tlr4",13
"GO:1901879","regulation of protein depolymerization","10/294","100/28928",0.1,9.83945578231293,8.97227598023684,7.80304715286808e-08,4.58644126679144e-05,3.36999573902662e-05,"Tpm1/Scin/F2rl1/Capg/Mid1ip1/Diaph3/Sema5a/Plekhh2/Map1b/Gsn",10
"GO:0007599","hemostasis","13/294","192/28928",0.0677083333333333,6.66213151927438,7.9763051863476,9.5573142011834e-08,4.58644126679144e-05,3.36999573902662e-05,"Thbs1/F2rl1/Plaur/Pdgfa/Ephb2/Cd9/Pdpn/Prkca/Tspan8/Stxbp1/Tmx1/Pla2g4a/Tlr4",13
"GO:0050817","coagulation","13/294","193/28928",0.0673575129533679,6.62761270311233,7.94843464677317,1.01554193563054e-07,4.58644126679144e-05,3.36999573902662e-05,"Thbs1/F2rl1/Plaur/Pdgfa/Ephb2/Cd9/Pdpn/Prkca/Tspan8/Stxbp1/Tmx1/Pla2g4a/Tlr4",13
"GO:0072001","renal system development","18/294","390/28928",0.0461538461538462,4.54128728414443,7.13454118599006,1.22752953812513e-07,4.9278491347179e-05,3.62085321070361e-05,"Pax2/Sim1/Wnt7b/Fras1/Epha7/Foxc1/Cd24a/Wnt4/Frem2/Jag1/Pdgfa/Epha4/Irx3/Plce1/Gli3/Sox4/Id3/Lamb2",18
"GO:0040013","negative regulation of locomotion","17/294","360/28928",0.0472222222222222,4.6464096749811,7.05441726907406,2.00404349052326e-07,6.66746188609811e-05,4.8990746505279e-05,"Srgap3/Tpm1/Thbs1/Nbl1/Sema5a/Wnt4/Adora1/Ndrg4/Jag1/Epha4/Ptprr/St6gal1/Ptprt/Ptprg/Arhgdia/Adam15/Nr2f2",17
