"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031589","cell-substrate adhesion","15/171","377/28928",0.0397877984084881,6.73088556936107,8.63693625311854,8.11772654001131e-09,2.39148223868733e-05,1.79529931163829e-05,"Efna5/Tiam1/Plet1/Itga2/Wnt4/Pdpn/L1cam/Marcks/Sned1/Smoc2/Lrp1/Mmp14/Antxr1/Myadm/Msln",15
"GO:0042060","wound healing","14/171","394/28928",0.0355329949238579,6.0111022055986,7.72285724995371,1.05380959169105e-07,0.000113739295301932,8.5384735566284e-05,"Plet1/Tspan8/Pla2g4a/Wnt4/Cd9/Pdpn/Ephb2/Il6ra/Cd44/Anxa1/Smoc2/Tlr4/Enpp4/Slc7a11",14
"GO:0050770","regulation of axonogenesis","10/171","178/28928",0.0561797752808989,9.50390958670083,8.77581935684469,1.15824129635369e-07,0.000113739295301932,8.5384735566284e-05,"Efna5/Tiam1/Robo1/Ephb2/L1cam/Lrp1/Sema3f/Pak3/Ust/Map1b",10
"GO:0007160","cell-matrix adhesion","10/171","241/28928",0.04149377593361,7.01948508893257,7.23607837048447,1.86620484956471e-06,0.000878549779713096,0.000659532313994789,"Efna5/Tiam1/Plet1/Itga2/Wnt4/L1cam/Sned1/Lrp1/Mmp14/Msln",10
"GO:0007596","blood coagulation","9/171","188/28928",0.0478723404255319,8.09854423292273,7.52978888454269,1.92191959763666e-06,0.000878549779713096,0.000659532313994789,"Tspan8/Pla2g4a/Cd9/Pdpn/Ephb2/Il6ra/Tlr4/Enpp4/Slc7a11",9
"GO:0021545","cranial nerve development","6/171","64/28928",0.09375,15.859649122807,9.17694751744328,2.20535298898e-06,0.000878549779713096,0.000659532313994789,"Atp8b1/Lpar1/Ephb2/Slc1a3/Gli3/Sema3f",6
"GO:0007599","hemostasis","9/171","192/28928",0.046875,7.92982456140351,7.42912492110534,2.28596465531569e-06,0.000878549779713096,0.000659532313994789,"Tspan8/Pla2g4a/Cd9/Pdpn/Ephb2/Il6ra/Tlr4/Enpp4/Slc7a11",9
"GO:0050817","coagulation","9/171","193/28928",0.0466321243523316,7.88873738751023,7.40441320976406,2.38574278265607e-06,0.000878549779713096,0.000659532313994789,"Tspan8/Pla2g4a/Cd9/Pdpn/Ephb2/Il6ra/Tlr4/Enpp4/Slc7a11",9
"GO:0007411","axon guidance","10/171","258/28928",0.0387596899224806,6.55696087764631,6.91371240732261,3.42880947518204e-06,0.00102799711472165,0.000771723277961267,"Gata3/Efna5/Robo1/Unc5b/Ephb2/L1cam/Gli3/Boc/Lrp1/Sema3f",10
"GO:0097485","neuron projection guidance","10/171","259/28928",0.0386100386100386,6.53164442638127,6.89565984232088,3.5485305460843e-06,0.00102799711472165,0.000771723277961267,"Gata3/Efna5/Robo1/Unc5b/Ephb2/L1cam/Gli3/Boc/Lrp1/Sema3f",10
"GO:0002819","regulation of adaptive immune response","10/171","263/28928",0.0380228136882129,6.43230382674049,6.82439124826117,4.06447276037036e-06,0.00102799711472165,0.000771723277961267,"Gata3/Ahr/Pla2g4a/Il18r1/Ephb2/Cd44/Anxa1/Il1r1/Mr1/Mill2",10
"GO:0007162","negative regulation of cell adhesion","11/171","326/28928",0.0337423312883436,5.70817637139884,6.59236563180552,4.18736095609635e-06,0.00102799711472165,0.000771723277961267,"Runx1/Efna5/Plet1/Cd9/Ephb2/Gli3/Cd44/Anxa1/Lrp1/Mmp14/Myadm",11
