"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140236","translation at presynapse","12/57","47/28928",0.25531914893617,129.576707726764,39.1979477077877,4.91292045446635e-23,3.40357465451367e-20,2.29513783641638e-20,"Rps28/Rpl27a/Rpl10/Rplp2/Rpl7a/Rpl17/Rpl5/Rpl8/Rps10/Rpl14/Rpl35a/Rps5",12
"GO:0140241","translation at synapse","12/57","48/28928",0.25,126.877192982456,38.7817396247707,6.54114283378669e-23,3.40357465451367e-20,2.29513783641638e-20,"Rps28/Rpl27a/Rpl10/Rplp2/Rpl7a/Rpl17/Rpl5/Rpl8/Rps10/Rpl14/Rpl35a/Rps5",12
"GO:0140242","translation at postsynapse","12/57","48/28928",0.25,126.877192982456,38.7817396247707,6.54114283378669e-23,3.40357465451367e-20,2.29513783641638e-20,"Rps28/Rpl27a/Rpl10/Rplp2/Rpl7a/Rpl17/Rpl5/Rpl8/Rps10/Rpl14/Rpl35a/Rps5",12
"GO:0002181","cytoplasmic translation","15/57","171/28928",0.087719298245614,44.5183133271776,25.3604253582879,3.5746976624213e-21,1.39502576275991e-18,9.40709911163499e-19,"Rps28/Rpl27a/Rps21/Rps23/Rplp2/Rps25/Rpl7a/Rpl17/Rpl5/Rpl8/Rps2/Rps10/Rpl14/Rpl35a/Rps5",15
"GO:0042254","ribosome biogenesis","9/57","320/28928",0.028125,14.2736842105263,10.609158411324,1.25137234779776e-08,3.9067844698246e-06,2.63446810062686e-06,"Rps28/Rps21/Rps23/Rps25/Rpl7a/Rpl5/Rpl14/Rpl35a/Rps5",9
"GO:0022613","ribonucleoprotein complex biogenesis","10/57","452/28928",0.0221238938053097,11.2280701754386,9.73826607926727,1.760454678258e-08,4.58011625460122e-06,3.08851697939999e-06,"Rps28/Rps21/Rps23/Rps25/Rpl7a/Rpl5/Rpl14/Rpl35a/Rps5/Snrpb",10
"GO:0006364","rRNA processing","7/57","217/28928",0.032258064516129,16.3712507074137,10.0988779981606,2.33308766394264e-07,5.20278549059209e-05,3.50840250216939e-05,"Rps28/Rps21/Rps25/Rpl7a/Rpl5/Rpl14/Rpl35a",7
"GO:0016072","rRNA metabolic process","7/57","258/28928",0.0271317829457364,13.7696178430573,9.15444709332466,7.47934374374996e-07,0.000145940694799921,9.84124176809206e-05,"Rps28/Rps21/Rps25/Rpl7a/Rpl5/Rpl14/Rpl35a",7
"GO:0042274","ribosomal small subunit biogenesis","5/57","108/28928",0.0462962962962963,23.4957764782326,10.4069649026489,2.37020476929085e-06,0.000405815128705471,0.00027365395239588,"Rps28/Rps21/Rps23/Rps25/Rps5",5
"GO:0072178","nephric duct morphogenesis","3/57","14/28928",0.214285714285714,108.751879699248,17.9181429398379,2.59971254776086e-06,0.000405815128705471,0.00027365395239588,"Pax2/Epha7/Epha4",3
"GO:0072176","nephric duct development","3/57","18/28928",0.166666666666667,84.5847953216374,15.7615056609226,5.79538194021838e-06,0.000822417382607353,0.000554582003848649,"Pax2/Epha7/Epha4",3
"GO:0042255","ribosome assembly","4/57","61/28928",0.0655737704918033,33.2792637331032,11.2136222970929,6.49986197024731e-06,0.000845523711296338,0.000570163330723448,"Rps28/Rps25/Rpl5/Rps5",4
"GO:0042273","ribosomal large subunit biogenesis","4/57","65/28928",0.0615384615384615,31.2313090418354,10.8417929421832,8.38349560613304e-06,0.00100666435701336,0.000678825555152473,"Rpl7a/Rpl5/Rpl14/Rpl35a",4
"GO:0001763","morphogenesis of a branching structure","6/57","252/28928",0.0238095238095238,12.0835421888053,7.85195452206748,1.03012050257742e-05,0.00113186042096625,0.000763249213369464,"Pax2/Pdgfa/Wnt5a/Trp63/Epha7/Ppp1ca",6
"GO:0000028","ribosomal small subunit assembly","3/57","22/28928",0.136363636363636,69.2057416267943,14.2198982571064,1.08763012905149e-05,0.00113186042096625,0.000763249213369464,"Rps28/Rps25/Rps5",3
"GO:0001655","urogenital system development","4/57","76/28928",0.0526315789473684,26.7109879963066,9.97231095744082,1.56327812020773e-05,0.00152517321602767,0.00102847244750509,"Pax2/Wnt5a/Trp63/Ephb2",4
"GO:0007413","axonal fasciculation","3/57","26/28928",0.115384615384615,58.5587044534413,13.0464377997044,1.82600982467845e-05,0.00158355629795726,0.00106784200273594,"Wnt5a/Ephb2/Epha4",3
"GO:0106030","neuron projection fasciculation","3/57","26/28928",0.115384615384615,58.5587044534413,13.0464377997044,1.82600982467845e-05,0.00158355629795726,0.00106784200273594,"Wnt5a/Ephb2/Epha4",3
"GO:2001235","positive regulation of apoptotic signaling pathway","5/57","183/28928",0.0273224043715847,13.866359888793,7.75815220515476,3.07637133294552e-05,0.00246448975301542,0.00166188324152225,"Wnt5a/Trp63/Rack1/Pea15a/Ppp1ca",5
"GO:0022618","protein-RNA complex assembly","5/57","184/28928",0.0271739130434783,13.7909992372235,7.73389007035282,3.15757815889228e-05,0.00246448975301542,0.00166188324152225,"Rps28/Rps25/Rpl5/Rps5/Snrpb",5
"GO:0099175","regulation of postsynapse organization","5/57","191/28928",0.0261780104712042,13.2855699458069,7.56919146088551,3.77368104279372e-05,0.00275861594238231,0.00186022181623272,"Wnt5a/Abi3bp/Epha7/Ephb2/Epha4",5
"GO:0071826","protein-RNA complex organization","5/57","193/28928",0.0259067357512953,13.1478956458504,7.52371469784251,3.96575224806422e-05,0.00275861594238231,0.00186022181623272,"Rps28/Rps25/Rpl5/Rps5/Snrpb",5
"GO:0048813","dendrite morphogenesis","5/57","194/28928",0.0257731958762887,13.0801229878821,7.50122840298165,4.06458466846849e-05,0.00275861594238231,0.00186022181623272,"Wnt5a/Abi3bp/Ephb2/Ywhah/Epha4",5
"GO:0048814","regulation of dendrite morphogenesis","4/57","100/28928",0.04,20.300350877193,8.5904548591082,4.6130918773443e-05,0.00300043184188936,0.00202328591111592,"Wnt5a/Ephb2/Ywhah/Epha4",4
"GO:0031345","negative regulation of cell projection organization","5/57","218/28928",0.0229357798165138,11.6401094479318,7.00673928591775,7.06660022820667e-05,0.00440156402250296,0.00296811357261065,"Wnt5a/Epha7/Ephb2/Ywhah/Epha4",5
"GO:0048013","ephrin receptor signaling pathway","3/57","41/28928",0.0731707317073171,37.1347881899872,10.2878454946152,7.33124052434829e-05,0.00440156402250296,0.00296811357261065,"Epha7/Ephb2/Epha4",3
"GO:0061138","morphogenesis of a branching epithelium","5/57","232/28928",0.021551724137931,10.9376890502117,6.75269176791752,9.47328729795576e-05,0.0054769635081885,0.00369328939491453,"Pax2/Pdgfa/Wnt5a/Trp63/Ppp1ca",5
"GO:0050679","positive regulation of epithelial cell proliferation","5/57","241/28928",0.020746887966805,10.5292276333989,6.60057649181653,0.000113243794510866,0.00631334154398076,0.00425728550792728,"Pax2/Wnt5a/Hspg2/Trp63/Prkd1",5
"GO:0050919","negative chemotaxis","3/57","48/28928",0.0625,31.719298245614,9.4643660045956,0.000117792595886126,0.0063404911095946,0.00427559331710078,"Pdgfa/Wnt5a/Epha7",3
"GO:0008038","neuron recognition","3/57","51/28928",0.0588235294117647,29.8534571723426,9.16357884451254,0.000141233393577988,0.00734884424584133,0.0049555576694031,"Wnt5a/Ephb2/Epha4",3
"GO:0007411","axon guidance","5/57","258/28928",0.0193798449612403,9.83544131646947,6.33406426659591,0.000155668845909463,0.00773164814873449,0.00521369442579621,"Wnt5a/Hspg2/Epha7/Ephb2/Epha4",5
"GO:0097485","neuron projection guidance","5/57","259/28928",0.0193050193050193,9.7974666395719,6.319161438645,0.000158496310544205,0.00773164814873449,0.00521369442579621,"Wnt5a/Hspg2/Epha7/Ephb2/Epha4",5
"GO:0060513","prostatic bud formation","2/57","10/28928",0.2,101.501754385965,14.1236754262716,0.000169921661938213,0.00803780952380455,0.00542014870616309,"Wnt5a/Trp63",2
"GO:0050773","regulation of dendrite development","4/57","146/28928",0.0273972602739726,13.9043499158856,6.94560828688991,0.000199797372967984,0.00916934798419601,0.00618318081135305,"Wnt5a/Ephb2/Ywhah/Epha4",4
"GO:0140694","non-membrane-bounded organelle assembly","6/57","435/28928",0.0137931034482759,7.00012099213551,5.60265344383552,0.000212006075594479,0.00916934798419601,0.00618318081135305,"Prkd1/Rps28/Rps23/Rps25/Rpl5/Rps5",6
"GO:0050771","negative regulation of axonogenesis","3/57","59/28928",0.0508474576271186,25.8055307760928,8.47455440488858,0.000218024179391794,0.00916934798419601,0.00618318081135305,"Wnt5a/Epha7/Ephb2",3
"GO:0051099","positive regulation of binding","4/57","151/28928",0.0264900662251656,13.4439409782735,6.81211341764795,0.000227256755885449,0.00916934798419601,0.00618318081135305,"Wnt5a/H1f0/Gpsm1/Epha4",4
"GO:0090102","cochlea development","3/57","61/28928",0.0491803278688525,24.9594477998274,8.32336822474202,0.000240696889017675,0.00916934798419601,0.00618318081135305,"Pax2/Wnt5a/Epha4",3
"GO:0022604","regulation of cell morphogenesis","5/57","284/28928",0.0176056338028169,8.93501359031381,5.97101585906753,0.000242881030476476,0.00916934798419601,0.00618318081135305,"Wnt5a/Ephb2/Arhgdia/Fmnl3/Epha4",5
"GO:2001233","regulation of apoptotic signaling pathway","6/57","447/28928",0.0134228187919463,6.81219828093724,5.50268659867032,0.000245354690944004,0.00916934798419601,0.00618318081135305,"Wnt5a/Trp63/Tpt1/Rack1/Pea15a/Ppp1ca",6
"GO:1904424","regulation of GTP binding","2/57","12/28928",0.166666666666667,84.5847953216374,12.8678802476189,0.000248587731332046,0.00916934798419601,0.00618318081135305,"Gpsm1/Epha4",2
"GO:1904672","regulation of somatic stem cell population maintenance","2/57","12/28928",0.166666666666667,84.5847953216374,12.8678802476189,0.000248587731332046,0.00916934798419601,0.00618318081135305,"Pax2/Trp63",2
"GO:0061001","regulation of dendritic spine morphogenesis","3/57","62/28928",0.0483870967741935,24.5568760611205,8.25046545794096,0.000252582936143772,0.00916934798419601,0.00618318081135305,"Abi3bp/Ephb2/Epha4",3
"GO:0010977","negative regulation of neuron projection development","4/57","160/28928",0.025,12.6877192982456,6.58708308318046,0.000283380739022976,0.00989021353114012,0.0066692832065411,"Wnt5a/Epha7/Ephb2/Epha4",4
"GO:0050775","positive regulation of dendrite morphogenesis","3/57","65/28928",0.0461538461538462,23.4234817813765,8.04168771455033,0.000290500523338024,0.00989021353114012,0.0066692832065411,"Wnt5a/Ephb2/Epha4",3
"GO:0060601","lateral sprouting from an epithelium","2/57","13/28928",0.153846153846154,78.0782726045884,12.3509471468283,0.000293413592766725,0.00989021353114012,0.0066692832065411,"Wnt5a/Trp63",2
"GO:0060688","regulation of morphogenesis of a branching structure","3/57","66/28928",0.0454545454545455,23.0685805422648,7.97519606984567,0.000303909533476112,0.00989021353114012,0.0066692832065411,"Pax2/Pdgfa/Wnt5a",3
"GO:0050768","negative regulation of neurogenesis","4/57","163/28928",0.0245398773006135,12.4542029921429,6.51605438984805,0.000304119314218274,0.00989021353114012,0.0066692832065411,"Wnt5a/Epha7/Ephb2/Ywhah",4
"GO:0010770","positive regulation of cell morphogenesis","3/57","67/28928",0.0447761194029851,22.7242733699921,7.91015849254765,0.000317711703299229,0.0101213871193897,0.00682517085497807,"Wnt5a/Ephb2/Epha4",3
"GO:0051964","negative regulation of synapse assembly","2/57","14/28928",0.142857142857143,72.5012531328321,11.8899983702146,0.000341882572803218,0.0106735739229165,0.00719752784848881,"Wnt5a/Epha7",2
"GO:0052548","regulation of endopeptidase activity","5/57","310/28928",0.0161290322580645,8.18562535370685,5.65176362028272,0.000363123653972476,0.0111144318402164,0.00749481225949384,"Pax2/Trp63/Epha7/Rack1/Epha4",5
"GO:0051961","negative regulation of nervous system development","4/57","173/28928",0.023121387283237,11.7343068654295,6.2921430022605,0.000381136117275257,0.0113399134675228,0.00764686163897828,"Wnt5a/Epha7/Ephb2/Ywhah",4
"GO:0099173","postsynapse organization","5/57","314/28928",0.0159235668789809,8.08134987149402,5.60595751606483,0.000385019483522556,0.0113399134675228,0.00764686163897828,"Wnt5a/Abi3bp/Epha7/Ephb2/Epha4",5
"GO:0043281","regulation of cysteine-type endopeptidase activity involved in apoptotic process","4/57","177/28928",0.0225988700564972,11.4691247893746,6.20767175651594,0.000415528114407196,0.0120118404924006,0.00809996324380499,"Pax2/Trp63/Epha7/Rack1",4
"GO:0050770","regulation of axonogenesis","4/57","178/28928",0.0224719101123595,11.404691504041,6.18697693459377,0.0004244610958413,0.0120469776474231,0.0081236573366756,"Wnt5a/Epha7/Ephb2/Epha4",4
"GO:1905330","regulation of morphogenesis of an epithelium","3/57","75/28928",0.04,20.300350877193,7.43632839859727,0.00044286457793515,0.0123448501099423,0.00832452214163816,"Pax2/Pdgfa/Wnt5a",3
"GO:0048645","animal organ formation","3/57","76/28928",0.0394736842105263,20.0332409972299,7.38226775958799,0.00046042204903377,0.0126091020796792,0.0085027155869579,"Pax2/Wnt5a/Trp63",3
"GO:0016358","dendrite development","5/57","331/28928",0.0151057401812689,7.66629564848678,5.41996574909153,0.000489416420673728,0.0131720522874429,0.00888233068373371,"Wnt5a/Abi3bp/Ephb2/Ywhah/Epha4",5
"GO:0045669","positive regulation of osteoblast differentiation","3/57","79/28928",0.0379746835443038,19.2724850099933,7.22610038250945,0.000515757457703458,0.0134182898579183,0.00904837645093785,"Trp63/Prkd1/Jund",3
"GO:0060997","dendritic spine morphogenesis","3/57","79/28928",0.0379746835443038,19.2724850099933,7.22610038250945,0.000515757457703458,0.0134182898579183,0.00904837645093785,"Abi3bp/Ephb2/Epha4",3
"GO:0060572","morphogenesis of an epithelial bud","2/57","18/28928",0.111111111111111,56.3898635477583,10.4448140897669,0.000571909770753832,0.0146352647892907,0.00986902106563989,"Wnt5a/Trp63",2
"GO:0051098","regulation of binding","5/57","349/28928",0.0143266475644699,7.27089931131554,5.23693567007494,0.000621858650510583,0.015656796023339,0.010557871825307,"Wnt5a/H1f0/Gpsm1/Rack1/Epha4",5
"GO:0030540","female genitalia development","2/57","19/28928",0.105263157894737,53.4219759926131,10.1562145177635,0.000638384756772171,0.0158177556400216,0.0106664119761432,"Wnt5a/Trp63",2
"GO:0046777","protein autophosphorylation","4/57","201/28928",0.0199004975124378,10.0996770533298,5.75224113297255,0.000670007150703793,0.0163418931601347,0.011019854452365,"Pdgfa/Prkd1/Epha7/Epha4",4
"GO:1905809","negative regulation of synapse organization","2/57","20/28928",0.1,50.7508771929825,9.88928583216959,0.000708419301348621,0.0170129619908492,0.0114723773497752,"Wnt5a/Epha7",2
"GO:2000116","regulation of cysteine-type endopeptidase activity","4/57","205/28928",0.0195121951219512,9.90261018399658,5.6837844712806,0.000721167065149503,0.0170566937681572,0.0115018670677752,"Pax2/Trp63/Epha7/Rack1",4
"GO:0051963","regulation of synapse assembly","4/57","208/28928",0.0192307692307692,9.75978407557355,5.63366557811048,0.000761309873977747,0.0177373837802875,0.0119608778315436,"Wnt5a/Abi3bp/Epha7/Ephb2",4
"GO:0021554","optic nerve development","2/57","21/28928",0.0952380952380952,48.3341687552214,9.64142224590935,0.000781999614744451,0.017951491156119,0.0121052571941866,"Pax2/Ephb2",2
"GO:0001822","kidney development","5/57","375/28928",0.0133333333333333,6.766783625731,4.99438054415092,0.000858540394708173,0.0194229211034704,0.013097488859011,"Pax2/Pdgfa/Wnt5a/Epha7/Epha4",5
"GO:0043087","regulation of GTPase activity","4/57","220/28928",0.0181818181818182,9.2274322169059,5.44292558667914,0.000937779887171082,0.0206611010213169,0.0139324326655092,"Wnt5a/Gpsm1/Rack1/Epha4",4
"GO:0031290","retinal ganglion cell axon guidance","2/57","23/28928",0.0869565217391304,44.1311975591152,9.19447973926901,0.000939742583288598,0.0206611010213169,0.0139324326655092,"Epha7/Ephb2",2
"GO:0006414","translational elongation","3/57","99/28928",0.0303030303030303,15.3790536948432,6.36782802509451,0.00099486964223212,0.0215693265489492,0.0145448778104111,"Eef1a1/Rplp2/Rack1",3
"GO:0050807","regulation of synapse organization","5/57","390/28928",0.0128205128205128,6.50652271704903,4.8647013573617,0.00102251746911872,0.0215695914769503,0.0145450564597258,"Wnt5a/Abi3bp/Epha7/Ephb2/Epha4",5
"GO:0072001","renal system development","5/57","390/28928",0.0128205128205128,6.50652271704903,4.8647013573617,0.00102251746911872,0.0215695914769503,0.0145450564597258,"Pax2/Pdgfa/Wnt5a/Epha7/Epha4",5
"GO:2000027","regulation of animal organ morphogenesis","3/57","101/28928",0.0297029702970297,15.0745179781136,6.29582583288294,0.00105409725158832,0.0219392774630583,0.0147943473907133,"Pax2/Pdgfa/Wnt5a",3
"GO:0043406","positive regulation of MAP kinase activity","3/57","102/28928",0.0294117647058824,14.9267285861713,6.26058936071523,0.00108452905392661,0.0222756559628874,0.0150211780322245,"Pdgfa/Wnt5a/Epha4",3
"GO:0050803","regulation of synapse structure or activity","5/57","398/28928",0.0125628140703518,6.37573834082694,4.79829543305636,0.0011189572704331,0.0223461266766213,0.0150686986591735,"Wnt5a/Abi3bp/Epha7/Ephb2/Epha4",5
"GO:0052547","regulation of peptidase activity","5/57","400/28928",0.0125,6.34385964912281,4.78197816051488,0.00114408799660401,0.0223461266766213,0.0150686986591735,"Pax2/Trp63/Epha7/Rack1/Epha4",5
