"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","13/113","171/28928",0.0760233918128655,19.4619883040936,15.1630422667491,1.56006327233257e-13,1.73703016637208e-10,1.25359231890914e-10,"Rpl8/Rps17/Rps23/Rps5/Rps28/Rps25/Rps2/Rplp2/Rpl5/Rps3/Eef2/Rpl29/Rpl22",13
"GO:0140241","translation at synapse","9/113","48/28928",0.1875,48,20.408049065933,2.2597964003106e-13,1.73703016637208e-10,1.25359231890914e-10,"Rpl8/Rps5/Rps28/Rps27/Rplp2/Rpl5/Eef2/Rpl29/Rpl22",9
"GO:0140242","translation at postsynapse","9/113","48/28928",0.1875,48,20.408049065933,2.2597964003106e-13,1.73703016637208e-10,1.25359231890914e-10,"Rpl8/Rps5/Rps28/Rps27/Rplp2/Rpl5/Eef2/Rpl29/Rpl22",9
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","10/113","81/28928",0.123456790123457,31.6049382716049,17.2729015479238,8.204125261843e-13,4.05657069368651e-10,2.92757486954781e-10,"Cox8a/Cox4i1/Cox7a2/Uqcr10/Ndufb9/Chchd2/Cox7c/Iscu/Uqcrb/Ndufs6",10
"GO:0006119","oxidative phosphorylation","12/113","154/28928",0.0779220779220779,19.9480519480519,14.7640808602226,1.04477442285903e-12,4.05657069368651e-10,2.92757486954781e-10,"Cox8a/Cox4i1/Chchd10/Cox7a2/Uqcr10/Ndufb9/Chchd2/Cox7c/Iscu/Uqcrb/Ndufs6/Uqcc2",12
"GO:0042773","ATP synthesis coupled electron transport","10/113","83/28928",0.120481927710843,30.8433734939759,17.0503499197516,1.05548240078574e-12,4.05657069368651e-10,2.92757486954781e-10,"Cox8a/Cox4i1/Cox7a2/Uqcr10/Ndufb9/Chchd2/Cox7c/Iscu/Uqcrb/Ndufs6",10
"GO:0019646","aerobic electron transport chain","9/113","66/28928",0.136363636363636,34.9090909090909,17.2705636178575,4.7047407337333e-12,1.54987601885557e-09,1.11852557895223e-09,"Cox8a/Cox4i1/Cox7a2/Uqcr10/Ndufb9/Cox7c/Iscu/Uqcrb/Ndufs6",9
"GO:0140236","translation at presynapse","8/113","47/28928",0.170212765957447,43.5744680851064,18.2925248623701,1.16747223518747e-11,3.36523871792787e-09,2.42864947872551e-09,"Rpl8/Rps5/Rps28/Rps27/Rplp2/Rpl5/Rpl29/Rpl22",8
"GO:0009060","aerobic respiration","12/113","206/28928",0.058252427184466,14.9126213592233,12.5492232233567,3.24515594115123e-11,8.31481066699415e-09,6.00069186311122e-09,"Cox8a/Cox4i1/Chchd10/Cox7a2/Uqcr10/Ndufb9/Chchd2/Cox7c/Iscu/Uqcrb/Ndufs6/Uqcc2",12
"GO:0022904","respiratory electron transport chain","10/113","118/28928",0.0847457627118644,21.6949152542373,14.1063493258523,3.77499491534226e-11,8.70513827477925e-09,6.28238627490117e-09,"Cox8a/Cox4i1/Cox7a2/Uqcr10/Ndufb9/Chchd2/Cox7c/Iscu/Uqcrb/Ndufs6",10
"GO:0045333","cellular respiration","13/113","271/28928",0.0479704797047971,12.280442804428,11.6836096575493,5.35561318460901e-11,1.1227312730644e-08,8.1026071242745e-09,"Abcc9/Cox8a/Cox4i1/Chchd10/Cox7a2/Uqcr10/Ndufb9/Chchd2/Cox7c/Iscu/Uqcrb/Ndufs6/Uqcc2",13
