"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007159","leukocyte cell-cell adhesion","14/61","434/28928",0.032258064516129,15.297726070862,13.7959279050067,2.81672363079114e-13,5.81653429758371e-10,3.30297907863298e-10,"Cd74/H2-Aa/Laptm5/Stk10/H2-Eb1/Ptpn22/Cd86/H2-Ab1/Skap1/Vav1/Tgfb1/B2m/Coro1a/Gimap3",14
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","12/61","285/28928",0.0421052631578947,19.9675582398619,14.7924596714821,7.52043462974617e-13,7.76484875521292e-10,4.40934956712486e-10,"Cd74/H2-Aa/H2-Eb1/Ptpn22/Cd86/H2-Ab1/Skap1/Vav1/Tgfb1/B2m/Coro1a/Gimap3",12
"GO:1903037","regulation of leukocyte cell-cell adhesion","13/61","393/28928",0.0330788804071247,15.6869811871689,13.4758343711471,1.60534409797333e-12,1.10501185410498e-09,6.2749239478677e-10,"Cd74/H2-Aa/Laptm5/H2-Eb1/Ptpn22/Cd86/H2-Ab1/Skap1/Vav1/Tgfb1/B2m/Coro1a/Gimap3",13
"GO:0019884","antigen processing and presentation of exogenous antigen","7/61","41/28928",0.170731707317073,80.9660135945622,23.553852077353,2.76033101333645e-12,1.42502088563494e-09,8.09212828646527e-10,"Cd74/H2-Aa/H2-Eb1/H2-Ab1/B2m/Psme1/Clec4a3",7
"GO:0022409","positive regulation of cell-cell adhesion","12/61","340/28928",0.0352941176470588,16.7375120540019,13.4183599201064,5.95510009506707e-12,2.15408650510948e-09,1.22322027102942e-09,"Cd74/H2-Aa/H2-Eb1/Ptpn22/Cd86/H2-Ab1/Skap1/Vav1/Tgfb1/B2m/Coro1a/Gimap3",12
"GO:0050870","positive regulation of T cell activation","11/61","259/28928",0.0424710424710425,20.1410215836445,14.2240906664074,6.74706567812828e-12,2.15408650510948e-09,1.22322027102942e-09,"Cd74/H2-Aa/H2-Eb1/Ptpn22/Cd86/H2-Ab1/Vav1/Tgfb1/B2m/Coro1a/Gimap3",11
"GO:0051251","positive regulation of lymphocyte activation","12/61","346/28928",0.0346820809248555,16.4472661802331,13.2879859829291,7.30198815291351e-12,2.15408650510948e-09,1.22322027102942e-09,"Sh3kbp1/Cd74/H2-Aa/H2-Eb1/Ptpn22/Cd86/H2-Ab1/Vav1/Tgfb1/B2m/Coro1a/Gimap3",12
"GO:0002696","positive regulation of leukocyte activation","12/61","383/28928",0.031331592689295,14.8583657920644,12.5505330840524,2.37538915131006e-11,6.13147324681908e-09,3.48182041389395e-09,"Sh3kbp1/Cd74/H2-Aa/H2-Eb1/Ptpn22/Cd86/H2-Ab1/Vav1/Tgfb1/B2m/Coro1a/Gimap3",12
"GO:0050863","regulation of T cell activation","12/61","397/28928",0.0302267002518892,14.3343931948631,12.2977540426705,3.5969041403077e-11,8.25289672192823e-09,4.68649264596817e-09,"Cd74/H2-Aa/Laptm5/H2-Eb1/Ptpn22/Cd86/H2-Ab1/Vav1/Tgfb1/B2m/Coro1a/Gimap3",12
"GO:0050867","positive regulation of cell activation","12/61","407/28928",0.0294840294840295,13.9821968018689,12.1249179381316,4.79210180957163e-11,9.89569023676541e-09,5.61936991143452e-09,"Sh3kbp1/Cd74/H2-Aa/H2-Eb1/Ptpn22/Cd86/H2-Ab1/Vav1/Tgfb1/B2m/Coro1a/Gimap3",12
