"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","6/46","171/28928",0.0350877192982456,22.0655987795576,11.0259763483867,3.00842007026842e-07,0.000300240323012788,0.000239723578230862,"Rps21/Rps28/Rplp2/Rps23/Rps25/Rpl7a",6
"GO:0042274","ribosomal small subunit biogenesis","4/46","108/28928",0.037037037037037,23.2914653784219,9.26233511807354,2.65677753121203e-05,0.0123549139899742,0.00986464496404441,"Rps21/Rps28/Rps23/Rps25",4
"GO:0140236","translation at presynapse","3/46","47/28928",0.0638297872340425,40.1406105457909,10.7173494943308,5.80943562636661e-05,0.0123549139899742,0.00986464496404441,"Rps28/Rplp2/Rpl7a",3
"GO:0140241","translation at synapse","3/46","48/28928",0.0625,39.304347826087,10.5995414724255,6.18983666832377e-05,0.0123549139899742,0.00986464496404441,"Rps28/Rplp2/Rpl7a",3
"GO:0140242","translation at postsynapse","3/46","48/28928",0.0625,39.304347826087,10.5995414724255,6.18983666832377e-05,0.0123549139899742,0.00986464496404441,"Rps28/Rplp2/Rpl7a",3
"GO:1904627","response to phorbol 13-acetate 12-myristate","2/46","10/28928",0.2,125.773913043478,15.7491329914511,0.000110417327942001,0.015742356183731,0.0125693108649767,"Prkd1/Adam15",2
"GO:1904628","cellular response to phorbol 13-acetate 12-myristate","2/46","10/28928",0.2,125.773913043478,15.7491329914511,0.000110417327942001,0.015742356183731,0.0125693108649767,"Prkd1/Adam15",2
"GO:0042254","ribosome biogenesis","5/46","320/28928",0.015625,9.82608695652174,6.33601832004608,0.000151728958624567,0.0189281875884147,0.0151130028524733,"Rps21/Rps28/Rps23/Rps25/Rpl7a",5
"GO:2001028","positive regulation of endothelial cell chemotaxis","2/46","16/28928",0.125,78.6086956521739,12.3921964616036,0.000292661081728278,0.032452862173869,0.0259116302769949,"Hspb1/Prkd1",2
"GO:0006364","rRNA processing","4/46","217/28928",0.0184331797235023,11.5920657182929,6.25033587675269,0.000392625857626699,0.0391840605911446,0.0312860814972012,"Rps21/Rps28/Rps25/Rpl7a",4
"GO:0000028","ribosomal small subunit assembly","2/46","22/28928",0.0909090909090909,57.1699604743083,10.5181277500731,0.000559959124945254,0.0447246883946531,0.0357099347270883,"Rps28/Rps25",2
"GO:2001026","regulation of endothelial cell chemotaxis","2/46","22/28928",0.0909090909090909,57.1699604743083,10.5181277500731,0.000559959124945254,0.0447246883946531,0.0357099347270883,"Hspb1/Prkd1",2
"GO:0010976","positive regulation of neuron projection development","4/46","241/28928",0.016597510373444,10.4376691322389,5.87148132755361,0.000582586121373237,0.0447246883946531,0.0357099347270883,"Gprc5b/Tnn/Hspb1/Prkd1",4
