"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031346","positive regulation of cell projection organization","7/35","471/28928",0.0148619957537155,12.2836518046709,8.5932010703553,1.3151991732421e-06,0.00118104885757141,0.000789119503945261,"Dock11/Epha4/Lrp1/Negr1/Prkd1/Camk1/Cdc42ep1",7
"GO:0060996","dendritic spine development","4/35","138/28928",0.0289855072463768,23.9569358178054,9.4085355881023,2.31416155457179e-05,0.0103905853800273,0.00694248466371536,"Sdk1/Abi3bp/Epha4/Camk1",4
"GO:0050807","regulation of synapse organization","5/35","390/28928",0.0128205128205128,10.596336996337,6.64072397039329,0.000101016727304697,0.0230308090207696,0.015388068388042,"Abi3bp/Epha7/Epha4/Negr1/Camk1",5
"GO:0050803","regulation of synapse structure or activity","5/35","398/28928",0.0125628140703518,10.3833452979182,6.56051223282428,0.000111097049957101,0.0230308090207696,0.015388068388042,"Abi3bp/Epha7/Epha4/Negr1/Camk1",5
"GO:0072178","nephric duct morphogenesis","2/35","14/28928",0.142857142857143,118.073469387755,15.2495777739746,0.000128233903233684,0.0230308090207696,0.015388068388042,"Epha7/Epha4",2
"GO:0010976","positive regulation of neuron projection development","4/35","241/28928",0.016597510373444,13.7180794309425,6.90044166538529,0.000200821390221658,0.0263658135712028,0.0176163565063716,"Lrp1/Negr1/Prkd1/Camk1",4
"GO:0072176","nephric duct development","2/35","18/28928",0.111111111111111,91.8349206349206,13.4169700081051,0.000214947503511549,0.0263658135712028,0.0176163565063716,"Epha7/Epha4",2
"GO:0007411","axon guidance","4/35","258/28928",0.0155038759689922,12.8141749723145,6.63420376311128,0.00026038713042998,0.0263658135712028,0.0176163565063716,"Epha7/Epha4/Lrp1/Hspg2",4
"GO:0097485","neuron projection guidance","4/35","259/28928",0.0154440154440154,12.7646993932708,6.61932714531582,0.000264245347595574,0.0263658135712028,0.0176163565063716,"Epha7/Epha4/Lrp1/Hspg2",4
"GO:0046827","positive regulation of protein export from nucleus","2/35","21/28928",0.0952380952380952,78.7156462585034,12.399552168251,0.000294354134144123,0.0264330012461423,0.0176612480486474,"Prkd1/Camk1",2
"GO:0048670","regulation of collateral sprouting","2/35","23/28928",0.0869565217391304,71.8708074534161,11.8340721614549,0.000354088151779032,0.028906469117961,0.0193138991879472,"Epha7/Lrp1",2
"GO:0007416","synapse assembly","4/35","304/28928",0.0131578947368421,10.8751879699248,6.02429738512288,0.000484260997308637,0.0355659129230206,0.023763416206918,"Sdk1/Abi3bp/Epha7/Negr1",4
"GO:1901888","regulation of cell junction assembly","4/35","309/28928",0.0129449838187702,10.6992140545539,5.96592731049043,0.000514874017816557,0.0355659129230206,0.023763416206918,"Abi3bp/Epha7/Lrp1/Negr1",4
"GO:0016358","dendrite development","4/35","331/28928",0.0120845921450151,9.98808804488563,5.72414304815582,0.000666147176623269,0.0368021879770491,0.0245894351739749,"Sdk1/Abi3bp/Epha4/Camk1",4
"GO:0030198","extracellular matrix organization","4/35","333/28928",0.012012012012012,9.92809952809953,5.70329046525824,0.00068130224129137,0.0368021879770491,0.0245894351739749,"Adamts5/Abi3bp/Pxdn/Hspg2",4
"GO:0045229","external encapsulating structure organization","4/35","334/28928",0.0119760479041916,9.898374679213,5.69293029879639,0.00068897089470804,0.0368021879770491,0.0245894351739749,"Adamts5/Abi3bp/Pxdn/Hspg2",4
