"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","17/131","171/28928",0.0994152046783626,21.9533056559975,18.5349977315034,3.05490767848583e-18,8.22992128584083e-15,6.02620735734995e-15,"Rps2/Rpl17/Rpl27a/Eef2/Rpl5/Rps25/Rpl22/Rpl7a/Rps18/Rpl14/Rpl8/Rps23/Rps10/Eif3k/Rwdd1/Rplp2/Rpl29",17
"GO:0140241","translation at synapse","11/131","48/28928",0.229166666666667,50.6055979643766,23.1988488774019,2.09730737015097e-16,1.88338201839557e-13,1.37907158303962e-13,"Rpl17/Rpl27a/Eef2/Rpl5/Rpl22/Rpl7a/Rpl14/Rpl8/Rps10/Rplp2/Rpl29",11
"GO:0140242","translation at postsynapse","11/131","48/28928",0.229166666666667,50.6055979643766,23.1988488774019,2.09730737015097e-16,1.88338201839557e-13,1.37907158303962e-13,"Rpl17/Rpl27a/Eef2/Rpl5/Rpl22/Rpl7a/Rpl14/Rpl8/Rps10/Rplp2/Rpl29",11
"GO:0045333","cellular respiration","17/131","271/28928",0.0627306273062731,13.8524548604265,14.3373568005317,7.18440834086694e-15,4.83869901757389e-12,3.54304769231175e-12,"Gpd1/Abcc9/Cisd1/Ndufa6/Cox8a/Ndufs7/Ndufv1/Uqcr10/Ndufb5/Cox4i1/Uqcrb/Uqcr11/Chchd10/Ndufb6/Ndufa2/Sdhd/Bax",17
"GO:0140236","translation at presynapse","10/131","47/28928",0.212765957446809,46.9839207406204,21.2795547209583,1.14869436886874e-14,6.18916525946476e-12,4.53190157317898e-12,"Rpl17/Rpl27a/Rpl5/Rpl22/Rpl7a/Rpl14/Rpl8/Rps10/Rplp2/Rpl29",10
"GO:0015980","energy derivation by oxidation of organic compounds","18/131","380/28928",0.0473684210526316,10.4601044596223,12.5202675236939,1.3950074639255e-13,6.26358351302551e-11,4.58639296034455e-11,"Gpd1/Abcc9/Cisd1/Ndufa6/Cox8a/Ndufs7/Ndufv1/Uqcr10/Ndufb5/Cox4i1/Uqcrb/Uqcr11/Chchd10/Ndufb6/Ndufa2/Sdhd/Bax/Ppp1ca",18
"GO:0006119","oxidative phosphorylation","13/131","154/28928",0.0844155844155844,18.6410230990384,14.8046359295866,2.79227638872271e-13,1.07462751303128e-10,7.86876083077647e-11,"Ndufa6/Cox8a/Ndufs7/Ndufv1/Uqcr10/Ndufb5/Cox4i1/Uqcrb/Uqcr11/Chchd10/Ndufb6/Ndufa2/Sdhd",13
"GO:0009060","aerobic respiration","13/131","206/28928",0.0631067961165049,13.9355221225821,12.5667783950462,1.15040959573017e-11,3.87400431362133e-09,2.83666787157675e-09,"Ndufa6/Cox8a/Ndufs7/Ndufv1/Uqcr10/Ndufb5/Cox4i1/Uqcrb/Uqcr11/Chchd10/Ndufb6/Ndufa2/Sdhd",13
"GO:0019646","aerobic electron transport chain","9/131","66/28928",0.136363636363636,30.1124219292158,15.9698492262197,1.8043452649032e-11,5.4010068262769e-09,3.95478716541356e-09,"Cox8a/Ndufs7/Ndufv1/Uqcr10/Cox4i1/Uqcrb/Uqcr11/Ndufb6/Sdhd",9
"GO:0009205","purine ribonucleoside triphosphate metabolic process","14/131","270/28928",0.0518518518518519,11.4501554990105,11.6357777708831,2.51429364609854e-11,6.77350708258947e-09,4.9597750450407e-09,"Aldob/Nt5e/Gpd1/Abcc9/Ndufa6/Slc4a4/Ndufs7/Ndufv1/Ndufb5/Pnp/Ndufb6/Ndufa2/Sdhd/Nme1",14
"GO:0009199","ribonucleoside triphosphate metabolic process","14/131","277/28928",0.0505415162454874,11.1608013889272,11.4607140550301,3.53442961171055e-11,8.32390315436634e-09,6.09502383905073e-09,"Aldob/Nt5e/Gpd1/Abcc9/Ndufa6/Slc4a4/Ndufs7/Ndufv1/Ndufb5/Pnp/Ndufb6/Ndufa2/Sdhd/Nme1",14
"GO:0009144","purine nucleoside triphosphate metabolic process","14/131","278/28928",0.0503597122302158,11.1206546213411,11.4362176357182,3.70775196185583e-11,8.32390315436634e-09,6.09502383905073e-09,"Aldob/Nt5e/Gpd1/Abcc9/Ndufa6/Slc4a4/Ndufs7/Ndufv1/Ndufb5/Pnp/Ndufb6/Ndufa2/Sdhd/Nme1",14
"GO:0009141","nucleoside triphosphate metabolic process","14/131","294/28928",0.0476190476190476,10.5154489276627,11.0605229168527,7.77929022215579e-11,1.61210829680674e-08,1.18043642723238e-08,"Aldob/Nt5e/Gpd1/Abcc9/Ndufa6/Slc4a4/Ndufs7/Ndufv1/Ndufb5/Pnp/Ndufb6/Ndufa2/Sdhd/Nme1",14
"GO:0009150","purine ribonucleotide metabolic process","15/131","362/28928",0.0414364640883978,9.15018345915398,10.5247230493004,1.11185293932904e-10,2.13952272753746e-08,1.56662587090423e-08,"Papss2/Aldob/Nt5e/Gpd1/Abcc9/Ndufa6/Slc4a4/Ndufs7/Ndufv1/Ndufb5/Pnp/Ndufb6/Ndufa2/Sdhd/Nme1",15
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","9/131","81/28928",0.111111111111111,24.5360474978796,14.306698879401,1.20126109285221e-10,2.15746492276257e-08,1.57976371088074e-08,"Cox8a/Ndufs7/Ndufv1/Uqcr10/Cox4i1/Uqcrb/Uqcr11/Ndufb6/Sdhd",9
"GO:0042773","ATP synthesis coupled electron transport","9/131","83/28928",0.108433734939759,23.9448174376897,14.1189403531718,1.50200908532009e-10,2.5290077974077e-08,1.85181909598016e-08,"Cox8a/Ndufs7/Ndufv1/Uqcr10/Cox4i1/Uqcrb/Uqcr11/Ndufb6/Sdhd",9
"GO:0022904","respiratory electron transport chain","10/131","118/28928",0.0847457627118644,18.713934532281,13.0046339462051,1.64942893217773e-10,2.61385973134519e-08,1.91395035226073e-08,"Gpd1/Cox8a/Ndufs7/Ndufv1/Uqcr10/Cox4i1/Uqcrb/Uqcr11/Ndufb6/Sdhd",10
"GO:0009259","ribonucleotide metabolic process","15/131","383/28928",0.0391644908616188,8.64847627209854,10.1630253639023,2.43176317583317e-10,3.63953888649698e-08,2.66498490731658e-08,"Papss2/Aldob/Nt5e/Gpd1/Abcc9/Ndufa6/Slc4a4/Ndufs7/Ndufv1/Ndufb5/Pnp/Ndufb6/Ndufa2/Sdhd/Nme1",15
