"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140241","translation at synapse","7/15","48/28928",0.145833333333333,281.244444444444,44.2598344721287,1.39573268470983e-16,2.64491343752513e-14,1.61611152966402e-14,"Eef2/Rpl27a/Rpl5/Rpl10/Rps28/Rpl14/Rpl8",7
"GO:0140242","translation at postsynapse","7/15","48/28928",0.145833333333333,281.244444444444,44.2598344721287,1.39573268470983e-16,2.64491343752513e-14,1.61611152966402e-14,"Eef2/Rpl27a/Rpl5/Rpl10/Rps28/Rpl14/Rpl8",7
"GO:0140236","translation at presynapse","6/15","47/28928",0.127659574468085,246.195744680851,38.3183229825993,6.53439099299742e-14,8.25511395448674e-12,5.04409129284011e-12,"Rpl27a/Rpl5/Rpl10/Rps28/Rpl14/Rpl8",6
"GO:0002181","cytoplasmic translation","7/15","171/28928",0.0409356725146199,78.9458089668616,23.2846537633105,1.37817862648038e-12,1.30582424859016e-10,7.97892889014959e-11,"Eef2/Rpl27a/Rpl5/Rps23/Rps28/Rpl14/Rpl8",7
"GO:0019646","aerobic electron transport chain","3/15","66/28928",0.0454545454545455,87.6606060606061,16.0539249271795,5.06083432824116e-06,0.00038361124208068,0.000234396537308012,"Cox4i1/Cox8a/Uqcr11",3
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","3/15","81/28928",0.037037037037037,71.4271604938272,14.4571640824664,9.39201357065479e-06,0.000547273350208629,0.000334398380907925,"Cox4i1/Cox8a/Uqcr11",3
"GO:0042773","ATP synthesis coupled electron transport","3/15","83/28928",0.036144578313253,69.7060240963855,14.2774070388515,1.01079510592623e-05,0.000547273350208629,0.000334398380907925,"Cox4i1/Cox8a/Uqcr11",3
"GO:0042254","ribosome biogenesis","4/15","320/28928",0.0125,24.1066666666667,9.46715067347342,1.82184163498704e-05,0.00086309747457511,0.000527375210127828,"Rpl5/Rps23/Rps28/Rpl14",4
"GO:0022904","respiratory electron transport chain","3/15","118/28928",0.0254237288135593,49.0305084745763,11.9079583797853,2.90454836464673e-05,0.00122313758911234,0.00074736916985062,"Cox4i1/Cox8a/Uqcr11",3
"GO:0006417","regulation of translation","4/15","381/28928",0.010498687664042,20.2470691163605,8.61385596291876,3.60427052182659e-05,0.00124642519084615,0.000761598505724633,"Eef2/Rpl5/Rack1/Rpl10",4
"GO:0022900","electron transport chain","3/15","127/28928",0.0236220472440945,45.555905511811,11.461833631761,3.617592902192e-05,0.00124642519084615,0.000761598505724633,"Cox4i1/Cox8a/Uqcr11",3
"GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","2/15","20/28928",0.1,192.853333333333,19.549068717921,4.74251583127159e-05,0.00149784458337661,0.00091522235340329,"Cox4i1/Cox8a",2
"GO:0140694","non-membrane-bounded organelle assembly","4/15","435/28928",0.00919540229885057,17.7336398467433,8.0097084125969,6.0359601286619e-05,0.00173880097987012,0.00106245303588787,"Rpl5/Actg1/Rps23/Rps28",4
