"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","11/92","171/28928",0.064327485380117,20.2267988812611,14.2433239828252,7.91039727222979e-12,1.6627655066227e-08,1.14992196136309e-08,"Rpl14/Rps23/Rps21/Rps25/Rpl17/Rps3/Rps5/Rps2/Rpl29/Rpl7a/Rpl22",11
"GO:0006119","oxidative phosphorylation","10/92","154/28928",0.0649350649350649,20.4178430265387,13.6470671900793,6.75373488943162e-11,7.09817536879263e-08,4.90889888542372e-08,"Cox4i1/Cox8a/Chchd10/Chchd2/Uqcr10/Ndufa2/Cox7a2/Iscu/Ndufs7/Ndufv1",10
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","8/92","81/28928",0.0987654320987654,31.0552871712292,15.2999907100074,2.04020341143709e-10,1.04638135733357e-07,7.23647981610329e-08,"Cox4i1/Cox8a/Chchd2/Uqcr10/Cox7a2/Iscu/Ndufs7/Ndufv1",8
"GO:0015980","energy derivation by oxidation of organic compounds","13/92","380/28928",0.0342105263157895,10.7569794050343,10.8142759060461,2.47551170525797e-10,1.04638135733357e-07,7.23647981610329e-08,"Abcc9/Cox4i1/Cox8a/Chchd10/Chchd2/Uqcr10/Ndufa2/Cox7a2/Ppp1ca/Iscu/Grb10/Ndufs7/Ndufv1",13
"GO:0042773","ATP synthesis coupled electron transport","8/92","83/28928",0.0963855421686747,30.3069669984285,15.1026359165164,2.48901369489433e-10,1.04638135733357e-07,7.23647981610329e-08,"Cox4i1/Cox8a/Chchd2/Uqcr10/Cox7a2/Iscu/Ndufs7/Ndufv1",8
"GO:0045333","cellular respiration","11/92","271/28928",0.040590405904059,12.7630354564415,10.989218098124,1.0946435999877e-09,3.51070745408258e-07,2.42790675251041e-07,"Abcc9/Cox4i1/Cox8a/Chchd10/Chchd2/Uqcr10/Ndufa2/Cox7a2/Iscu/Ndufs7/Ndufv1",11
"GO:0009060","aerobic respiration","10/92","206/28928",0.0485436893203883,15.2638243984804,11.6048720879788,1.1691223681531e-09,3.51070745408258e-07,2.42790675251041e-07,"Cox4i1/Cox8a/Chchd10/Chchd2/Uqcr10/Ndufa2/Cox7a2/Iscu/Ndufs7/Ndufv1",10
"GO:0019646","aerobic electron transport chain","7/92","66/28928",0.106060606060606,33.3491436100132,14.8610552081255,1.74385144532049e-09,4.58196967257959e-07,3.16876163945736e-07,"Cox4i1/Cox8a/Uqcr10/Cox7a2/Iscu/Ndufs7/Ndufv1",7
"GO:0022904","respiratory electron transport chain","8/92","118/28928",0.0677966101694915,21.3176123802506,12.4916598021857,4.21690932604182e-09,9.848826003711e-07,6.81117167165351e-07,"Cox4i1/Cox8a/Chchd2/Uqcr10/Cox7a2/Iscu/Ndufs7/Ndufv1",8
"GO:0022900","electron transport chain","8/92","127/28928",0.062992125984252,19.8069154399178,11.9975826885185,7.54886769649471e-09,1.56256885149977e-06,1.08062876654874e-06,"Cox4i1/Cox8a/Chchd2/Uqcr10/Cox7a2/Iscu/Ndufs7/Ndufv1",8
"GO:0140236","translation at presynapse","6/92","47/28928",0.127659574468085,40.1406105457909,15.1687053247101,8.47744717202456e-09,1.56256885149977e-06,1.08062876654874e-06,"Rpl14/Rpl17/Rps5/Rpl29/Rpl7a/Rpl22",6
"GO:0140241","translation at synapse","6/92","48/28928",0.125,39.304347826087,15.0019667882731,9.6638416125105e-09,1.56256885149977e-06,1.08062876654874e-06,"Rpl14/Rpl17/Rps5/Rpl29/Rpl7a/Rpl22",6
"GO:0140242","translation at postsynapse","6/92","48/28928",0.125,39.304347826087,15.0019667882731,9.6638416125105e-09,1.56256885149977e-06,1.08062876654874e-06,"Rpl14/Rpl17/Rps5/Rpl29/Rpl7a/Rpl22",6
"GO:0030336","negative regulation of cell migration","10/92","326/28928",0.0306748466257669,9.64523873032809,8.86677508638467,9.16990925279543e-08,1.37679637495543e-05,9.52153735196277e-06,"Dlc1/Lrp1/Cd63/Col3a1/Emilin1/Arhgdia/Mif/Sfrp1/Egfl7/Adarb1",10
"GO:2000146","negative regulation of cell motility","10/92","342/28928",0.0292397660818713,9.19399949148233,8.61014358749386,1.42996022365116e-07,2.00385092674316e-05,1.38580706586825e-05,"Dlc1/Lrp1/Cd63/Col3a1/Emilin1/Arhgdia/Mif/Sfrp1/Egfl7/Adarb1",10
