"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001",2135.37677668485,-0.0606166054404057,0.0693947431402295,0.37321268063985,0.531032208118783
"ENSMUSG00000000028",37.9853492687888,0.208958814232072,0.31906322182988,0.356648777839024,0.514013590031909
"ENSMUSG00000000031",2.54399258347625,0.169817444608857,0.67031563059047,0.449194185322398,0.603487108340798
"ENSMUSG00000000037",10.329260939034,0.162523139383369,0.465644562420453,0.523737072983962,0.670136814499358
"ENSMUSG00000000049",108.561579540448,-2.106294372046,0.78620525415977,5.23529653907556e-05,0.000285743174713704
"ENSMUSG00000000056",875.860659769932,-0.0451633364972215,0.119248557927718,0.688658030939148,0.801634061649814
"ENSMUSG00000000058",1524.0131899223,1.0643938996125,0.116313695167453,5.36992877601017e-21,1.95251395660085e-19
"ENSMUSG00000000078",2105.74156082698,1.41188746876383,0.133365130045935,3.77109883742681e-27,2.17401115297339e-25
"ENSMUSG00000000085",364.210046607852,0.0729539058470969,0.173317656311011,0.635808499636873,0.760818181930368
"ENSMUSG00000000088",4760.30107272411,-0.156713830762367,0.0715727282188016,0.0253587378683664,0.0653062200523033
"ENSMUSG00000000093",1102.57377304696,-0.0762332621438934,0.139755111684379,0.555636450731004,0.69626092292017
"ENSMUSG00000000094",0.824154546331652,-0.0177019867583505,0.684682331042179,0.926564895513315,NA
"ENSMUSG00000000120",19.0337955003326,0.179551860576307,0.357337530524832,0.449748588052029,0.603987148397489
"ENSMUSG00000000126",49.4310145787653,0.130546941358474,0.29010262072403,0.543647745882352,0.686513268777154
"ENSMUSG00000000127",146.143495600754,0.156085353647055,0.177367364247778,0.319096328384659,0.474505186934018
"ENSMUSG00000000131",769.080357236854,-0.0678018175773389,0.108621399596405,0.51299228678336,0.661012405848402
"ENSMUSG00000000134",473.569490280556,-0.0771042826227719,0.109030504797417,0.458417571262899,0.612033770211975
"ENSMUSG00000000142",65.5116199631735,0.498409553484973,0.251438564366064,0.0134668519757792,0.0385317182676273
"ENSMUSG00000000148",252.401001916982,-0.0821746679120526,0.151043373067291,0.55159324690352,0.692714734513823
"ENSMUSG00000000149",1443.6191971938,-0.798844195772814,0.0723901250593625,1.99776285255725e-29,1.34689848727156e-27
"ENSMUSG00000000154",3214.86017464325,-1.53441159105809,0.1139199573105,2.2346882740792e-42,2.81301994197223e-40
"ENSMUSG00000000157",2.78452989723124,0.0139191403477909,0.544065945942936,0.954142660502928,0.976029592899385
"ENSMUSG00000000159",1115.02876309792,0.128217687751331,0.124827134060822,0.274254416903038,0.426751131732425
"ENSMUSG00000000167",40.2230845224815,-0.15139919967085,0.269927368774939,0.464645991527997,0.61815010872912
"ENSMUSG00000000168",2978.30992295334,-0.225974703583505,0.115644754053112,0.0389188265921904,0.09346251413814
"ENSMUSG00000000171",4621.82824085516,-0.208242181010928,0.0789378210548308,0.00678502933768326,0.0214440566497986
"ENSMUSG00000000184",334.726694781134,0.0958423483751085,0.224357423753772,0.604618311687916,0.738100311333735
"ENSMUSG00000000194",1131.06724315477,0.251974531460778,0.107854344273746,0.0141730894405404,0.0402123503399298
"ENSMUSG00000000197",3.19595057054456,-0.151587159224569,0.528870931042191,0.549609746193425,0.691128764242461
"ENSMUSG00000000202",2.14321490609302,0.0976123146251362,0.634919472371249,0.661457039682964,0.781604995715708
"ENSMUSG00000000204",4.09454771202794,-0.00906399219062167,0.513216413581744,0.970635651589363,0.985534975782302
"ENSMUSG00000000215",0.973631453766293,0.186665357700912,0.699110878784875,0.392611521447229,NA
"ENSMUSG00000000216",843.603888540085,0.528908592283727,0.11374878779674,7.98177177673666e-07,6.03380687447797e-06
"ENSMUSG00000000223",1.09455481286745,0.0330883079965054,0.706192658503955,0.854996796460132,NA
"ENSMUSG00000000244",12.7538292129336,0.721663960450478,0.656701161837124,0.0339572964345119,0.0834829009624237
"ENSMUSG00000000247",25.0096977810165,0.251442424597286,0.405974739778729,0.319375757878019,0.474634026723567
